 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	41.483	92.294	252	173	7441868	29531.223	12752.550	26735.000	12611	65535	722.429	360.103	4.183	1.865	0.387	1.864	722.297	360.116	4.130	716	356	3	13	9	4
2	14.321	42.578	87	81	1755272	20175.541	4744.459	19702.000	12721	32376	728.437	386.103	4.368	1.203	0.328	1.224	728.367	386.237	4.341	725	383	3	8	7	3
3	15.474	45.991	94	89	1778431	18919.479	4000.251	18373.000	12536	27459	717.649	396.681	4.362	1.242	0.402	1.264	717.658	396.680	4.339	714	394	3	9	6	3
4	16.297	45.543	99	85	2096977	21181.586	6431.244	19624.000	12645	39284	597.889	406.596	4.242	1.294	0.246	1.299	597.907	406.631	4.276	595	403	3	7	8	3
5	31.277	84.055	190	139	5155343	27133.385	10932.636	25519.000	12548	59473	664.295	419.705	4.874	1.761	0.469	1.752	664.372	419.668	4.911	658	416	3	13	9	5
6	18.931	52.440	115	84	3216868	27972.766	13793.344	24789.000	12645	65535	566.252	421.800	4.817	1.429	0.227	1.413	566.312	421.800	4.846	563	419	3	8	7	4
7	14.486	46.855	88	71	2031394	23084.023	8203.923	21269.500	12565	43926	580.011	435.318	4.523	1.299	0.287	1.344	580.044	435.372	4.537	577	433	3	8	6	4
8	34.404	79.023	209	140	7047247	33718.887	17111.043	29856.000	12608	65535	720.445	444.651	4.842	1.823	0.324	1.858	720.505	444.879	4.829	717	440	3	8	10	5
9	28.643	72.645	174	112	5596643	32164.615	16739.252	26932.500	12573	65535	621.000	490.948	4.902	1.715	0.307	1.695	620.976	490.984	4.927	617	487	3	9	8	5
10	28.314	67.542	172	112	5774748	33574.117	16946.562	28059.000	12598	65535	705.959	504.651	5.407	1.681	0.212	1.672	705.869	504.611	5.396	703	501	3	7	9	5
11	22.388	59.818	136	95	4306251	31663.609	15898.989	28327.000	12623	65535	531.456	528.368	5.125	1.525	0.240	1.504	531.466	528.316	5.115	528	525	3	8	8	5
12	28.314	79.745	172	133	3858556	22433.465	7693.290	21371.000	12558	40095	649.058	538.669	4.442	1.655	0.408	1.628	649.091	538.580	4.461	645	534	3	9	11	4
13	38.520	84.919	234	137	8438134	36060.402	19277.709	31282.000	12633	65535	532.744	546.120	4.983	1.929	0.252	1.970	532.769	546.083	5.009	529	542	3	9	9	5
14	46.586	115.360	283	200	7661876	27073.768	12572.780	23224.000	12572	65535	601.993	554.357	4.551	2.219	0.756	2.204	602.151	554.237	4.555	596	547	3	13	16	4
15	45.104	101.018	274	179	8380331	30585.150	15152.503	26838.500	12535	65535	619.383	554.894	4.679	1.980	0.406	1.962	619.566	554.611	4.728	614	549	3	11	12	5
16	48.726	112.087	296	186	10678356	36075.527	18376.027	33518.000	12568	65535	543.527	556.679	5.044	2.230	0.592	2.256	543.455	556.764	5.032	540	550	3	9	15	5
17	3.622	21.343	22	22	531917	24178.045	9553.205	21908.500	12768	49587	764.773	554.136	4.227	0.935	0.393	0.899	764.798	554.017	4.220	764	552	3	2	6	4
18	28.807	70.058	175	120	5398134	30846.480	14055.110	29889.000	12574	65535	658.874	573.771	4.811	1.654	0.286	1.673	658.839	573.676	4.870	656	569	3	8	10	5
19	12.181	42.167	74	56	1848234	24976.135	12075.644	20372.500	12613	55984	754.622	581.676	4.676	1.298	0.302	1.300	754.502	581.602	4.619	752	579	3	7	6	4
20	32.429	80.468	197	146	4558053	23137.324	8349.324	21770.000	12558	40806	710.563	587.904	4.259	1.700	0.393	1.766	710.515	587.705	4.300	706	583	3	9	11	4
21	29.301	97.052	178	154	3751894	21078.057	7709.971	18469.500	12552	42075	511.281	586.843	4.708	1.980	0.740	1.876	511.320	586.486	4.679	506	579	3	10	17	4
22	28.972	72.367	176	125	4716862	26800.352	11769.316	23294.000	12620	64552	598.244	595.222	4.795	1.688	0.361	1.654	598.328	595.180	4.802	595	590	3	7	12	4
23	40.824	93.432	248	170	7144148	28807.049	13324.352	25937.000	12555	65535	472.988	606.073	4.940	1.821	0.358	1.892	473.302	606.117	4.954	468	601	3	11	11	5
24	35.063	80.468	213	160	6063815	28468.615	11828.213	27681.000	12549	63380	643.343	613.775	4.897	1.746	0.408	1.729	643.236	613.593	4.918	640	608	3	8	13	4
25	27.984	71.507	170	109	5522645	32486.146	16770.576	29302.000	12640	65535	624.518	625.218	4.994	1.718	0.299	1.714	624.486	625.088	5.007	621	621	3	8	9	5
26	29.960	72.645	182	119	6244308	34309.383	17400.465	30680.000	12946	65535	465.890	630.121	4.742	1.748	0.273	1.760	465.846	630.105	4.798	462	626	3	8	9	5
27	23.375	64.506	142	105	3715813	26167.697	11843.164	22589.000	12628	60997	662.380	628.099	4.817	1.544	0.334	1.526	662.262	628.198	4.817	658	623	3	9	10	4
28	38.190	98.291	232	209	5111241	22031.211	6006.897	22362.500	12553	38392	662.302	365.780	4.659	1.928	0.701	1.820	662.164	365.692	4.632	657	359	4	12	15	3
29	25.021	74.023	152	111	3992088	26263.736	11501.241	24298.500	12559	52339	517.487	403.125	5.671	1.658	0.444	1.665	517.485	403.185	5.646	514	398	4	8	11	4
30	3.786	21.135	23	23	326867	14211.608	1368.489	14092.000	12549	16943	543.870	422.217	4.565	0.807	0.207	0.786	543.851	422.190	4.558	542	420	4	5	5	2
31	12.840	40.028	78	64	2082390	26697.309	11334.123	23734.000	12644	62239	709.436	421.667	5.090	1.238	0.237	1.230	709.404	421.622	5.120	706	420	4	8	5	3
32	26.667	69.610	162	116	5100442	31484.209	14894.249	28473.000	12553	65535	394.086	436.809	5.963	1.590	0.282	1.599	394.113	436.750	5.977	391	433	4	8	9	5
33	8.231	31.719	50	41	1004704	20094.080	6097.876	18497.000	13421	40326	604.500	439.840	5.020	1.064	0.179	1.092	604.549	439.886	5.037	602	438	4	6	5	3
34	1.811	11.240	11	11	225834	20530.363	5873.648	19951.000	12625	30182	590.545	439.273	5.182	0.696	0.318	0.812	590.555	439.345	5.242	590	438	4	2	3	3
35	14.651	46.751	89	73	2076797	23334.797	9204.639	20661.000	12755	44396	450.461	444.685	5.506	1.274	0.279	1.255	450.594	444.731	5.508	447	442	4	7	7	4
36	6.255	26.616	38	38	653979	17209.975	3531.072	16547.000	12590	24252	619.105	448.289	4.526	0.909	0.267	0.893	619.070	448.194	4.533	616	446	4	7	6	2
37	32.429	78.330	197	152	4684660	23780.000	7525.561	22761.000	12566	45885	675.670	450.761	5.157	1.657	0.377	1.699	675.707	450.687	5.198	670	447	4	12	9	4
38	21.235	59.025	129	96	3713065	28783.449	12732.124	26544.000	12563	61298	436.318	451.682	5.085	1.462	0.262	1.443	436.322	451.793	5.081	432	448	4	9	8	4
39	6.420	25.341	39	33	1053056	27001.436	11823.265	25842.000	13142	57011	609.615	453.103	5.077	1.006	0.196	1.042	609.613	453.167	5.116	608	451	4	5	5	3
40	40.495	139.805	246	212	4954685	20140.996	9025.380	16333.000	12555	56963	538.862	460.846	6.337	2.546	0.898	2.564	539.696	460.211	6.137	528	454	4	18	16	5
41	7.078	28.065	43	35	1192386	27729.906	14002.966	20706.000	13028	61814	623.163	461.721	5.302	1.065	0.282	0.979	623.211	461.765	5.334	621	460	4	5	4	4
42	13.828	40.166	84	66	1988667	23674.607	8974.094	21340.000	12812	46302	491.429	464.321	4.952	1.251	0.188	1.222	491.437	464.321	4.956	488	462	4	8	6	3
43	2.634	14.653	16	15	340198	21262.375	7154.019	18981.000	12950	41548	393.250	470.938	4.875	0.763	0.275	0.843	393.245	470.954	4.868	392	470	4	3	3	3
44	3.457	18.652	21	20	341813	16276.810	2917.515	15367.000	12660	21623	584.333	470.476	5.000	0.751	0.262	0.722	584.288	470.503	5.003	582	469	4	5	4	3
45	17.943	56.164	109	81	3159697	28988.045	14836.585	25112.000	12549	65535	609.128	500.294	5.294	1.437	0.266	1.433	609.165	500.239	5.309	605	498	4	9	6	4
46	3.457	18.204	21	21	327459	15593.286	2398.646	14967.000	12724	21099	374.667	507.238	4.762	0.747	0.240	0.778	374.668	507.232	4.784	372	505	4	6	5	2
47	13.169	41.062	80	66	1871447	23393.088	9070.405	21373.000	12569	50930	553.963	511.275	5.100	1.250	0.235	1.241	553.819	511.298	5.120	551	509	4	8	6	3
48	17.614	52.199	107	87	2458953	22980.869	7944.691	20525.000	12684	41424	480.411	521.804	5.841	1.435	0.380	1.383	480.513	521.709	5.793	476	519	4	10	6	4
49	27.984	72.952	170	136	3943476	23196.918	7475.022	22735.500	12688	41584	566.135	530.512	5.700	1.573	0.370	1.606	566.050	530.475	5.659	562	526	4	9	10	4
50	19.589	54.474	119	94	3460818	29082.504	12187.909	26728.000	12651	64410	281.613	528.580	6.059	1.403	0.256	1.424	281.581	528.578	6.075	278	526	4	9	7	5
51	7.408	28.443	45	45	779398	17319.955	3326.137	16549.000	12591	24779	678.933	532.178	4.511	0.934	0.260	0.970	678.915	532.173	4.516	676	530	4	7	5	2
52	25.021	81.572	152	128	3449961	22697.111	8189.154	21028.500	12584	44528	459.092	539.237	5.605	1.675	0.562	1.704	459.023	539.393	5.596	456	533	4	11	12	4
53	2.963	16.377	18	18	288603	16033.500	2137.108	15797.500	12593	18945	464.944	536.056	4.722	0.742	0.237	0.742	464.956	536.023	4.755	464	534	4	3	5	2
54	4.445	18.997	27	27	425902	15774.148	2980.220	14866.000	12558	22730	542.852	538.852	4.593	0.789	0.197	0.755	542.847	538.842	4.605	541	536	4	4	6	2
55	5.103	27.065	31	29	543493	17532.033	4261.932	15614.000	12564	26644	445.129	559.226	4.871	0.878	0.263	0.912	445.099	559.201	4.889	443	557	4	5	5	3
56	23.704	63.369	144	106	3566827	24769.633	9221.462	23526.000	12727	43344	294.035	561.271	5.431	1.523	0.223	1.528	294.125	561.258	5.435	290	558	4	9	8	4
57	22.058	63.228	134	134	2248526	16780.045	3159.081	16342.000	12582	28433	673.060	562.575	4.530	1.474	0.507	1.465	673.126	562.507	4.543	667	559	4	13	8	2
58	5.268	27.513	32	30	587796	18368.625	4818.305	17024.000	13007	32125	458.219	569.906	5.188	0.925	0.276	0.913	458.262	569.804	5.181	456	567	4	5	7	3
