 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	20.412	63.094	124	93	3854225	31082.459	14247.303	27169.500	13253	65535	489.766	140.258	6.048	1.484	0.324	1.441	489.777	140.192	6.081	486	136	4	8	9	5
2	78.850	149.800	479	293	15158909	31646.992	15455.959	27606.000	13227	65535	422.486	249.451	6.340	2.379	0.539	2.444	422.562	249.492	6.352	415	242	4	15	15	5
3	34.404	76.091	209	138	7114591	34041.105	16336.466	29242.000	13366	65535	505.904	309.507	6.435	1.781	0.250	1.744	505.935	309.569	6.395	501	306	4	10	8	5
4	36.051	83.366	219	139	7468747	34103.867	17952.799	28342.000	13286	65535	483.918	337.301	6.288	1.857	0.305	1.842	484.145	337.451	6.306	479	333	4	10	10	5
5	30.124	68.816	183	119	5991075	32738.115	15952.105	27064.000	13255	65535	502.995	387.940	5.464	1.706	0.210	1.695	502.980	387.884	5.443	500	384	4	8	9	4
6	35.557	80.987	216	143	7992253	37001.172	18182.314	31804.500	13316	65535	416.412	400.602	6.523	1.829	0.346	1.823	416.352	400.587	6.523	413	395	4	8	12	5
7	21.071	58.199	128	87	4515128	35274.438	17429.344	30023.000	13623	65535	491.102	548.227	5.734	1.548	0.253	1.522	491.083	548.213	5.777	488	545	4	8	7	5
8	20.083	53.681	122	88	3839639	31472.451	15278.160	24661.000	13207	65535	507.451	125.459	6.721	1.462	0.235	1.475	507.439	125.471	6.690	505	122	5	6	8	4
9	12.511	38.338	76	63	1714082	22553.711	7121.776	20302.000	13437	37896	438.803	146.316	6.092	1.197	0.200	1.180	438.869	146.319	6.114	436	144	5	7	6	3
10	11.029	32.683	67	67	1307501	19514.939	4249.379	19151.000	13343	29893	472.791	156.627	5.522	1.042	0.275	1.076	472.884	156.586	5.581	470	154	5	7	6	2
11	10.206	34.269	62	61	1287182	20761.000	5086.208	20083.500	13480	32677	439.500	156.823	6.403	1.037	0.294	1.053	439.403	156.822	6.357	437	154	5	6	7	3
12	68.315	144.462	415	226	15847714	38187.262	18907.207	33500.000	13252	65535	525.246	168.106	8.800	2.572	0.717	2.629	525.219	168.068	8.778	519	163	5	14	11	9
13	27.655	74.472	168	118	5588319	33263.805	16852.244	28251.000	13276	65535	416.018	266.494	6.839	1.753	0.452	1.822	416.021	266.515	6.813	413	262	5	7	11	5
14	26.009	65.025	158	100	5690408	36015.242	18504.703	30626.000	13323	65535	379.791	317.070	7.127	1.677	0.272	1.627	379.888	317.091	7.151	376	314	5	8	7	5
15	26.997	70.369	164	113	6032736	36784.977	19123.152	30727.000	13735	65535	391.561	345.079	7.433	1.720	0.374	1.713	391.533	345.085	7.358	389	341	5	6	10	6
16	16.626	50.027	101	74	2951781	29225.555	13515.226	24967.000	13256	62715	451.040	380.267	6.644	1.387	0.241	1.403	450.972	380.266	6.639	448	377	5	8	7	4
