 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	26.503	78.367	161	126	3980029	24720.678	8314.547	22899.000	13444	44565	396.963	659.453	4.839	1.838	0.621	1.853	396.767	659.509	4.820	391	656	3	13	8	4
2	62.060	152.771	377	247	10619997	28169.754	12686.668	25494.000	13216	65535	296.464	713.111	6.310	2.873	1.064	2.918	296.107	713.216	6.103	287	707	3	19	11	8
3	25.680	64.369	156	113	4671286	29944.141	12576.175	27769.500	13228	57513	399.372	719.250	4.205	1.636	0.353	1.629	399.382	719.271	4.201	396	715	3	8	9	4
4	19.095	55.957	116	88	3330367	28710.061	12744.143	25625.500	13391	63723	361.422	752.767	4.147	1.468	0.328	1.454	361.418	752.698	4.109	358	750	3	9	7	4
5	30.783	74.298	187	140	5178246	27691.154	9945.649	26279.000	13232	49915	672.401	197.701	5.866	1.642	0.317	1.662	672.444	197.657	5.821	668	194	4	10	9	4
6	31.606	74.954	192	123	6229803	32446.891	14843.957	30140.500	13221	65535	634.031	266.401	5.948	1.751	0.294	1.748	634.052	266.508	5.955	630	262	4	10	9	5
7	14.980	49.716	91	84	2078203	22837.396	6479.354	22573.000	13288	37931	673.176	279.000	5.593	1.306	0.403	1.347	673.130	279.034	5.549	670	275	4	8	10	4
8	21.400	59.059	130	106	3132620	24097.076	7505.828	22516.500	13233	39409	590.869	281.762	5.723	1.426	0.271	1.436	590.885	281.716	5.673	587	278	4	9	8	4
9	27.161	78.885	165	118	5296624	32100.752	13489.538	31508.000	13270	62625	651.642	300.509	6.030	1.704	0.406	1.734	651.639	300.483	6.023	647	296	4	10	10	5
10	16.461	48.545	100	77	2954554	29545.539	11475.184	28000.000	13649	58983	543.810	314.120	5.860	1.354	0.249	1.342	543.841	314.039	5.866	541	311	4	6	8	4
11	13.663	43.786	83	66	1907583	22982.928	8764.665	20363.000	13349	48169	639.542	311.988	5.795	1.275	0.268	1.283	639.576	312.081	5.736	637	308	4	6	8	4
12	16.132	47.648	98	75	3019236	30808.531	13140.141	27402.500	13736	65535	543.673	323.194	6.041	1.334	0.219	1.333	543.703	323.199	6.068	541	320	4	7	7	5
13	18.272	50.957	111	89	2712664	24438.414	8526.341	23060.000	13220	44963	433.027	350.694	5.964	1.391	0.278	1.369	433.078	350.699	5.955	430	347	4	7	8	4
14	18.272	54.785	111	81	3433853	30935.613	14310.472	28302.000	13370	65535	518.757	361.180	5.712	1.463	0.300	1.478	518.803	361.170	5.741	516	358	4	7	8	4
15	23.704	63.713	144	106	3476170	24140.070	8654.780	21584.500	13233	46480	629.715	365.007	5.521	1.551	0.284	1.519	629.727	365.038	5.532	626	361	4	9	9	4
16	17.943	52.062	109	82	3463176	31772.258	15577.373	28313.000	13315	65535	504.239	369.605	5.771	1.444	0.316	1.441	504.232	369.550	5.815	502	365	4	5	9	4
17	54.487	138.496	331	235	10530091	31812.963	14763.670	27880.000	13293	65535	467.085	376.459	8.819	2.905	1.017	3.078	466.591	376.319	8.457	460	373	4	16	8	10
18	11.029	42.167	67	56	1502124	22419.762	7355.952	20948.000	13581	38857	354.463	385.866	5.761	1.247	0.329	1.254	354.451	385.862	5.696	352	382	4	6	8	4
19	16.297	48.786	99	77	2388943	24130.738	7913.116	22476.000	13259	43181	487.747	407.374	5.747	1.328	0.231	1.340	487.751	407.419	5.723	485	404	4	7	7	4
20	33.581	93.813	204	153	5503395	26977.426	10273.739	25787.000	13245	59141	632.819	412.775	6.279	1.946	0.601	2.026	632.921	412.986	6.297	629	407	4	8	13	5
21	8.395	35.270	51	48	918261	18005.117	4119.765	17105.000	13266	27770	516.725	440.784	4.882	1.018	0.276	1.072	516.741	440.763	4.905	514	438	4	6	7	3
22	39.672	104.120	241	185	6364284	26407.818	10287.912	24189.000	13320	55955	542.627	461.593	5.394	1.983	0.647	1.849	542.573	461.187	5.261	539	455	4	8	16	4
23	20.412	55.371	124	92	3419842	27579.371	11122.976	26051.500	13265	53319	440.452	470.605	5.734	1.503	0.303	1.515	440.436	470.602	5.741	437	468	4	9	6	4
24	25.515	76.402	155	116	3948008	25471.020	9324.430	23994.000	13224	53664	507.439	476.716	5.774	1.767	0.567	1.743	507.431	476.695	5.740	501	473	4	13	8	4
25	50.372	129.120	306	201	8403965	27463.938	11239.285	24690.500	13367	59537	303.641	496.778	7.111	2.440	0.772	2.569	303.596	496.590	7.003	298	491	4	14	12	8
26	17.778	55.371	108	77	2939210	27214.908	11634.742	24351.500	13541	57710	431.574	498.130	5.278	1.444	0.277	1.457	431.549	498.123	5.242	428	495	4	8	7	4
27	7.243	35.615	44	44	747795	16995.342	2558.836	16849.000	13235	23663	522.727	506.295	5.227	1.034	0.402	0.998	522.725	506.314	5.200	520	502	4	7	9	3
28	70.290	172.939	427	281	13281210	31103.537	14529.973	27516.000	13237	65535	259.044	553.546	6.963	2.656	0.920	2.708	259.044	553.437	6.946	253	544	4	13	18	7
29	21.894	56.853	133	95	4139146	31121.398	14188.427	27905.000	13437	65535	419.338	562.586	5.346	1.554	0.256	1.596	419.294	562.604	5.261	416	559	4	8	7	4
30	12.840	42.786	78	63	1505084	19295.949	4808.068	18129.500	13293	36882	179.744	576.141	4.962	1.261	0.251	1.229	179.780	576.076	4.974	177	573	4	7	8	3
31	25.021	66.300	152	104	3960151	26053.625	9157.401	23975.000	13217	46863	327.842	579.059	5.586	1.660	0.329	1.642	327.871	579.004	5.600	324	574	4	8	10	4
32	5.926	29.822	36	35	618425	17178.473	2704.236	17289.000	13228	23549	367.139	582.556	5.083	0.926	0.301	1.010	367.124	582.604	5.073	365	580	4	6	6	3
33	5.432	29.822	33	33	553241	16764.879	2113.353	17022.000	13269	20495	365.879	592.818	5.061	1.110	0.481	1.161	365.904	592.827	5.052	363	589	4	7	8	3
34	15.803	52.751	96	74	2386143	24855.656	9335.751	22329.000	13448	58658	376.094	625.469	5.146	1.410	0.341	1.374	376.040	625.478	5.150	373	621	4	8	9	4
35	9.877	36.304	60	59	1162742	19379.033	4026.024	18580.500	13485	30430	450.450	649.167	4.550	1.052	0.300	1.061	450.584	649.120	4.581	447	646	4	7	7	3
36	9.548	35.270	58	50	1150041	19828.293	5645.417	17944.500	13369	35141	332.103	666.897	5.121	1.101	0.217	1.143	332.158	666.915	5.116	330	664	4	6	7	3
