Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
164	234	164	109	164	1.000	0.000	1.000	1	1	28.537	616.640	6.006	3.045	0.567	2.990	28.537	616.640	6.006	26	613	3	7	8	7
954	1080	954	529	265890	278.711	8.936	279.000	3	279	332.158	839.267	8.298	6.183	1.761	5.983	332.155	839.266	8.303	327	828	3	13	22	14
1425	1528	1425	726	395876	277.808	7.259	278.000	4	278	318.274	839.673	8.491	7.079	2.015	6.925	318.275	839.672	8.495	311	828	3	15	24	14
122	178	122	95	35095	287.664	25.803	290.000	5	290	382.828	845.574	5.713	2.720	0.615	2.698	382.835	845.554	5.735	380	842	3	6	7	5
584	846	584	370	3504	6.000	0.000	6.000	6	6	292.933	867.233	8.765	5.226	1.534	5.200	292.933	867.233	8.765	286	863	3	16	13	13
593	764	593	386	4151	7.000	0.000	7.000	7	7	399.185	885.376	9.408	5.452	1.842	5.351	399.185	885.376	9.408	393	878	3	12	13	14
688	974	688	457	6193	9.001	0.038	9.000	9	10	333.907	955.302	7.297	5.640	1.881	5.388	333.907	955.302	7.296	324	948	3	19	15	11
583	748	583	371	286253	491.000	0.000	491.000	491	491	5.290	535.525	8.400	5.277	1.791	5.119	5.290	535.524	8.400	2	529	4	10	16	14
236	354	236	149	2832	12.000	0.000	12.000	12	12	16.322	544.623	7.979	3.562	0.852	3.538	16.322	544.623	7.979	12	542	4	9	6	10
407	744	407	329	520095	1277.875	866.517	1381.000	14	2397	7.889	549.057	9.025	4.905	1.684	4.977	7.627	548.679	10.845	2	545	4	12	12	14
76	152	76	62	1140	15.000	0.000	15.000	15	15	23.934	548.329	5.711	2.281	0.531	2.353	23.934	548.329	5.711	21	546	4	7	6	5
355	476	355	217	5680	16.000	0.000	16.000	16	16	16.608	551.842	8.696	4.149	1.008	4.083	16.608	551.842	8.696	13	546	4	9	10	12
479	644	479	290	8143	17.000	0.000	17.000	17	17	41.134	559.459	10.670	4.841	1.658	5.071	41.134	559.459	10.670	37	555	4	11	11	14
465	670	465	315	8835	19.000	0.000	19.000	19	19	22.034	560.776	7.172	5.173	1.724	5.227	22.034	560.776	7.172	16	555	4	15	15	7
724	954	724	466	898485	1241.001	90.755	1251.000	20	1251	51.706	562.261	8.362	5.676	1.770	5.514	51.727	562.239	8.386	42	556	4	16	15	12
68	120	68	59	1428	21.000	0.000	21.000	21	21	27.912	565.691	6.397	2.156	0.568	2.120	27.912	565.691	6.397	26	564	4	4	4	6
666	740	666	356	16648	24.997	0.077	25.000	23	25	55.689	572.971	8.344	5.543	1.652	5.217	55.689	572.972	8.344	48	566	4	16	14	13
129	236	129	103	3096	24.000	0.000	24.000	24	24	9.721	570.333	7.853	2.972	0.921	2.961	9.721	570.333	7.853	7	567	4	8	6	9
183	366	183	152	90733	495.809	49.521	501.000	26	501	28.087	572.109	6.814	3.790	1.510	3.749	28.067	572.105	6.838	20	569	4	14	8	6
