 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	48.067	99.535	292	180	11056850	37865.926	18135.846	33845.500	13539	65535	470.932	121.353	6.226	2.053	0.378	2.041	470.853	121.436	6.259	468	115	4	8	14	5
2	55.475	108.259	337	190	13900407	41247.500	19535.664	40795.000	13574	65535	784.368	124.392	6.864	2.170	0.311	2.151	784.412	124.357	6.862	780	119	4	10	12	6
3	42.470	89.952	258	153	9306489	36071.664	17985.785	31972.000	13634	65535	669.775	133.640	6.004	1.983	0.288	2.001	669.766	133.681	6.008	665	130	4	10	9	5
4	29.137	78.230	177	117	5789806	32710.768	15197.862	29922.000	13490	65535	824.424	176.362	6.028	1.670	0.255	1.704	824.453	176.512	6.044	820	172	4	10	9	5
5	39.014	86.401	237	146	9342797	39421.086	19122.172	36161.000	13619	65535	841.890	178.194	6.114	1.964	0.367	2.036	841.755	178.156	6.162	837	175	4	12	7	5
6	48.067	102.915	292	182	11402815	39050.734	18700.621	34452.500	13671	65535	583.147	178.685	6.616	2.048	0.388	2.035	583.138	178.699	6.596	580	173	4	8	13	6
7	39.343	94.847	239	154	8523545	35663.367	18342.617	30838.000	13493	65535	904.728	223.531	6.326	1.905	0.316	1.908	904.634	223.369	6.365	901	219	4	8	12	5
8	31.771	78.196	193	130	7487411	38794.875	18526.635	34361.000	13484	65535	979.218	227.036	6.575	1.823	0.399	1.812	979.243	227.044	6.573	974	225	4	11	6	6
9	42.964	95.088	261	163	8822866	33804.086	16597.918	30361.000	13510	65535	980.448	240.705	6.153	1.935	0.293	1.933	980.423	240.774	6.139	975	237	4	12	8	5
10	41.647	96.744	253	155	9571017	37830.105	18805.104	34157.000	13559	65535	907.372	246.945	6.466	2.009	0.426	2.016	907.429	246.839	6.535	901	244	4	13	8	6
11	32.758	74.713	199	127	7468402	37529.660	18519.949	31396.000	13514	65535	598.889	276.312	6.568	1.768	0.234	1.753	598.839	276.350	6.582	595	273	4	9	8	6
12	53.829	108.637	327	195	12070335	36912.340	17935.854	33128.000	13534	65535	945.138	357.890	6.242	2.113	0.338	2.117	945.073	357.910	6.263	940	354	4	12	10	5
13	47.244	97.190	287	189	9020092	31428.893	13619.964	28054.000	13532	65535	308.652	85.150	6.711	1.952	0.338	1.943	308.588	85.220	6.721	304	80	5	10	12	4
14	37.861	104.983	230	179	6270537	27263.205	10885.836	25772.000	13505	65535	135.113	90.922	6.813	2.062	0.712	2.066	134.967	90.566	6.782	132	83	5	8	17	4
15	46.421	99.639	282	172	10298446	36519.312	18261.664	32291.500	13530	65535	265.418	91.936	6.794	2.010	0.334	2.024	265.565	91.900	6.766	261	86	5	9	12	5
16	36.874	91.608	224	136	8673955	38723.012	18877.102	35402.500	13573	65535	435.353	101.402	7.366	1.899	0.319	1.860	435.355	101.429	7.339	430	97	5	10	9	6
17	34.075	81.539	207	134	7171337	34644.141	17231.246	31327.000	13487	65535	116.507	103.362	7.014	1.815	0.306	1.869	116.509	103.276	7.014	113	98	5	8	11	5
18	41.318	92.742	251	171	7175081	28585.980	12554.072	24700.000	13501	59460	321.004	108.231	6.378	1.848	0.318	1.841	320.918	108.213	6.381	317	102	5	9	13	4
19	41.647	84.882	253	159	8603401	34005.539	16651.256	27481.000	13929	65535	583.941	113.494	6.474	1.878	0.236	1.876	583.888	113.499	6.472	580	109	5	10	10	4
20	19.754	54.474	120	87	3622299	30185.824	14773.297	25515.500	13605	65535	487.967	123.492	6.400	1.474	0.231	1.506	487.987	123.502	6.379	484	121	5	8	7	4
21	33.746	77.607	205	154	6643479	32407.215	12277.108	30458.000	13485	62825	603.302	131.629	6.961	1.686	0.333	1.718	603.399	131.588	6.961	599	127	5	9	10	5
22	24.034	60.508	146	98	4934636	33798.875	16562.436	28736.000	13503	65535	273.329	135.295	6.644	1.569	0.180	1.584	273.358	135.253	6.680	270	132	5	8	8	4
23	53.335	124.739	324	208	11748375	36260.418	18904.590	30295.000	13510	65535	514.284	143.651	7.191	2.240	0.565	2.265	513.756	143.389	7.124	508	140	5	14	11	5
24	31.935	84.400	194	144	5372511	27693.355	10701.528	25416.500	13500	59417	641.686	149.923	6.778	1.775	0.475	1.793	641.765	149.767	6.757	637	145	5	10	12	4
25	25.515	63.713	155	108	4855647	31326.754	14814.229	27590.000	13531	65535	253.458	150.819	6.710	1.585	0.237	1.601	253.540	150.803	6.737	249	148	5	10	7	4
26	28.643	73.886	174	105	6362186	36564.289	18532.553	29627.000	13698	65535	335.029	153.126	7.672	1.757	0.295	1.718	335.056	153.045	7.612	331	150	5	9	8	6
27	24.692	60.852	150	103	4666819	31112.127	14621.784	26315.000	13577	65535	593.193	159.780	6.387	1.587	0.219	1.596	593.202	159.752	6.386	590	157	5	8	8	4
28	24.857	60.956	151	102	5556765	36799.770	18234.404	30848.000	13500	65535	599.113	177.457	6.417	1.617	0.237	1.658	599.107	177.448	6.409	595	174	5	9	7	4
29	26.174	69.335	159	105	6058840	38105.910	19005.484	31566.000	13926	65535	562.667	195.019	6.635	1.696	0.326	1.697	562.615	195.008	6.665	558	192	5	10	7	5
30	42.964	96.570	261	164	9177757	35163.820	16429.945	34814.000	13651	65535	524.736	196.950	6.931	1.921	0.292	1.969	524.807	197.024	6.944	520	192	5	10	11	5
31	20.906	65.437	127	114	2867059	22575.268	6290.690	21525.000	13589	37424	754.063	194.575	6.567	1.434	0.429	1.453	754.183	194.728	6.560	749	190	5	11	10	4
32	36.709	87.020	223	150	6801128	30498.332	13877.492	25244.000	13651	65535	939.865	198.668	6.520	1.832	0.355	1.784	939.942	198.762	6.511	935	194	5	11	10	4
33	13.498	45.269	82	72	1935794	23607.244	7585.068	21851.500	13504	39840	964.476	198.207	6.463	1.211	0.318	1.214	964.478	198.181	6.459	961	196	5	8	6	4
34	31.606	77.644	192	119	7064639	36794.996	19339.605	30157.000	13558	65535	226.901	207.708	7.375	1.807	0.298	1.804	226.934	207.742	7.367	222	204	5	10	8	6
35	26.338	66.956	160	103	5987362	37421.012	18411.508	33671.500	13555	65535	671.369	217.300	7.169	1.686	0.276	1.682	671.384	217.285	7.150	667	214	5	9	7	5
36	62.389	150.566	379	229	12588496	33215.027	16935.574	26823.000	13516	65535	858.354	243.641	9.530	2.974	1.158	2.969	858.484	243.775	9.966	853	239	5	12	9	10
37	32.594	81.057	198	127	7220055	36464.926	18216.176	34553.500	13685	65535	876.278	242.222	7.096	1.830	0.328	1.869	876.202	242.256	7.099	871	239	5	11	8	5
38	20.906	57.198	127	92	3925321	30908.039	14418.754	28550.000	13699	65535	620.110	246.622	6.795	1.488	0.253	1.506	620.078	246.636	6.809	616	244	5	9	7	5
39	12.346	45.580	75	63	1886694	25155.920	9438.522	23235.000	13600	48205	861.720	267.920	6.733	1.337	0.397	1.329	861.703	267.926	6.666	857	266	5	11	5	4
40	26.503	68.094	161	107	5981832	37154.234	17644.605	35007.000	13708	65535	784.795	270.696	7.323	1.687	0.281	1.678	784.888	270.775	7.276	781	267	5	8	8	5
41	34.075	79.919	207	130	7783397	37600.953	18708.098	31841.000	13593	65535	733.932	274.188	6.763	1.836	0.293	1.850	733.848	274.271	6.748	729	271	5	11	7	5
42	35.721	83.573	217	137	8050256	37097.953	18098.197	31667.000	13581	65535	684.396	289.152	7.415	1.814	0.241	1.794	684.387	289.241	7.397	680	285	5	9	10	6
43	28.149	71.370	171	107	6699977	39181.152	19171.676	35869.000	13545	65535	475.170	304.854	7.596	1.751	0.333	1.740	475.196	304.890	7.534	471	302	5	9	7	6
44	35.557	78.229	216	140	8563148	39644.203	18666.766	37560.000	13561	65535	387.991	308.889	7.352	1.812	0.246	1.809	387.968	308.836	7.313	384	306	5	9	8	5
45	26.997	68.887	164	113	6129801	37376.836	18408.143	33217.000	13620	65535	778.744	316.024	7.305	1.712	0.368	1.743	778.794	316.036	7.283	774	313	5	10	6	5
46	38.355	87.402	233	135	9559032	41025.887	19463.734	38153.000	13586	65535	383.468	339.262	7.880	1.990	0.365	2.018	383.446	339.273	7.844	380	335	5	8	9	6
47	27.820	73.575	169	115	5659954	33490.852	16153.065	30364.000	13527	65535	732.787	343.899	7.101	1.688	0.360	1.716	732.783	344.050	7.095	730	339	5	7	11	5
48	23.869	63.784	145	100	5098856	35164.523	16953.588	32430.000	13555	65535	620.752	345.283	6.786	1.575	0.251	1.574	620.842	345.239	6.807	617	342	5	8	8	5
49	26.997	66.574	164	125	4726048	28817.365	10812.684	27268.500	13540	57064	899.579	343.890	6.963	1.559	0.304	1.574	899.547	343.815	6.962	895	340	5	10	9	5
50	27.655	69.817	168	118	5779792	34403.523	16242.083	32052.000	13572	65535	873.298	353.768	6.851	1.645	0.273	1.627	873.226	353.940	6.871	870	350	5	8	9	5
51	27.820	69.677	169	133	4166647	24654.717	9093.108	22989.000	13547	52758	715.207	369.604	6.876	1.577	0.323	1.581	715.214	369.702	6.853	711	364	5	9	11	4
52	19.095	53.474	116	92	2968839	25593.439	9004.023	23839.000	13519	54094	682.888	371.233	6.914	1.423	0.302	1.377	682.949	371.253	6.890	679	368	5	8	8	4
53	32.100	78.437	195	123	7319777	37537.316	18942.713	33246.000	13486	65535	329.031	379.744	7.467	1.782	0.283	1.733	329.032	379.813	7.446	325	376	5	9	8	6
54	39.178	88.228	238	145	8951589	37611.719	18581.389	33618.500	13562	65535	844.412	399.975	7.252	1.921	0.300	1.868	844.428	399.943	7.243	840	396	5	9	9	6
55	38.684	85.882	235	150	8036248	34196.801	16406.295	29479.000	13496	65535	925.885	447.936	6.604	1.872	0.319	1.810	925.819	447.871	6.626	921	443	5	10	11	5
56	15.968	49.371	97	78	2479344	25560.248	10197.252	22072.000	13583	56048	130.010	77.278	7.835	1.313	0.252	1.303	129.989	77.246	7.801	127	73	6	7	9	4
57	26.667	67.920	162	116	4513085	27858.549	11919.592	23040.500	13659	63143	314.753	93.636	7.426	1.594	0.218	1.608	314.735	93.658	7.433	311	90	6	9	9	4
58	21.894	59.474	133	92	3851284	28957.023	12346.800	26037.000	13641	53772	632.158	95.962	7.526	1.569	0.294	1.591	632.198	95.917	7.508	630	91	6	6	11	4
59	15.474	48.474	94	84	2273188	24182.852	8028.757	22909.000	13511	43285	104.617	101.043	7.511	1.282	0.332	1.327	104.621	101.111	7.491	101	97	6	8	8	4
60	33.417	100.707	203	178	4808226	23685.842	7453.428	22690.000	13484	44670	393.103	107.350	7.655	2.198	0.940	2.220	393.117	107.348	7.631	388	99	6	11	18	4
61	5.268	29.340	32	29	549369	17167.781	3053.421	16746.000	13542	27325	248.188	130.219	6.969	0.932	0.300	0.981	248.196	130.240	6.969	246	127	6	5	7	3
62	3.292	22.858	20	20	304616	15230.800	1339.470	14820.000	13508	18519	353.600	132.650	6.900	0.910	0.314	0.931	353.647	132.621	6.903	350	131	6	7	4	2
63	2.469	15.687	15	15	234089	15605.934	1620.565	15086.000	13982	19342	365.133	141.533	6.667	0.682	0.179	0.676	365.126	141.544	6.695	364	140	6	4	4	2
64	26.667	67.334	162	108	5033544	31071.260	15184.992	27550.000	13579	65535	502.309	144.309	7.438	1.668	0.255	1.651	502.301	144.312	7.375	499	140	6	8	10	4
65	25.021	63.576	152	103	4765184	31349.895	15506.147	25242.000	13585	65535	726.000	155.283	7.618	1.596	0.250	1.625	725.929	155.220	7.607	722	152	6	9	8	4
66	19.095	52.303	116	80	3878230	33433.016	15917.415	28798.000	13502	65535	270.345	156.086	7.336	1.479	0.208	1.470	270.369	156.133	7.280	267	153	6	8	7	4
67	29.960	83.640	182	138	4546807	24982.455	9234.746	21973.500	13929	55732	265.571	169.637	6.973	1.835	0.585	1.822	265.642	169.431	6.982	261	163	6	10	15	3
68	11.523	40.373	70	63	1578204	22545.771	6524.967	22111.000	13544	43252	501.471	174.786	7.543	1.128	0.296	1.162	501.580	174.818	7.523	499	172	6	6	7	4
69	13.334	48.371	81	75	1584687	19564.037	4399.017	18780.000	13501	30497	193.296	178.235	7.259	1.250	0.390	1.228	193.430	178.198	7.250	189	175	6	9	8	3
70	11.194	36.856	68	61	1482116	21795.824	5349.370	21987.500	13536	33817	492.279	181.103	7.265	1.120	0.266	1.156	492.242	181.132	7.294	489	179	6	8	6	3
71	25.186	69.402	153	117	4187574	27369.766	11907.534	24333.000	13583	61357	781.294	185.908	7.340	1.604	0.361	1.636	781.030	185.776	7.319	777	182	6	10	9	4
