 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	58.109	142.221	353	216	8661808	24537.699	15346.845	19043.000	9194	65535	268.142	285.255	8.660	2.910	1.163	3.019	267.842	284.964	8.191	263	280	4	11	12	11
2	27.161	68.749	165	102	5237651	31743.340	18822.734	26477.000	9611	65535	337.527	331.861	6.448	1.845	0.481	1.731	337.604	331.837	6.462	334	328	4	8	8	6
3	14.157	42.200	86	67	1569415	18249.012	6762.231	16461.500	9166	35982	224.640	429.872	5.953	1.254	0.193	1.251	224.543	429.860	5.917	221	427	4	8	6	4
4	36.544	85.712	222	135	6312438	28434.406	16839.754	23232.500	9157	65535	653.775	569.559	6.095	1.905	0.348	1.954	653.670	569.467	6.107	649	566	4	11	8	5
5	18.931	52.165	115	82	3269242	28428.191	17520.639	22647.000	9232	65535	760.722	596.678	5.643	1.504	0.274	1.500	760.766	596.716	5.653	758	594	4	7	6	5
6	17.284	50.683	105	75	2981523	28395.457	15970.530	23107.000	9249	65535	748.657	597.676	5.762	1.461	0.290	1.399	748.665	597.677	5.788	746	595	4	7	7	5
7	15.309	48.337	93	75	1526918	16418.473	5452.296	15516.000	9191	31804	740.237	635.484	5.871	1.319	0.276	1.308	740.121	635.501	5.801	736	633	4	9	6	4
8	32.429	80.401	197	135	4640996	23558.355	12141.156	20739.000	9164	58195	725.980	656.812	6.091	1.778	0.381	1.805	725.897	656.875	6.053	722	653	4	11	8	5
9	36.380	88.228	221	141	5449946	24660.389	13603.265	21666.000	9202	62479	840.312	711.597	6.231	1.921	0.457	1.869	840.377	711.603	6.220	835	708	4	12	8	6
10	66.669	136.425	405	250	9494055	23442.111	12287.424	19117.000	9277	65535	224.262	259.430	7.311	2.310	0.574	2.341	224.307	259.351	7.297	218	253	5	15	13	5
11	15.968	56.301	97	81	1505708	15522.763	5212.787	14401.000	9258	28996	189.196	265.309	6.784	1.392	0.417	1.349	189.115	265.272	6.755	186	261	5	9	10	4
12	27.820	66.989	169	113	3874083	22923.568	10994.928	18256.000	9187	46301	226.544	273.124	6.450	1.665	0.237	1.657	226.678	273.173	6.437	222	270	5	10	7	4
13	15.968	46.855	97	70	1846737	19038.525	8509.518	15596.000	9218	37784	295.660	291.443	6.619	1.361	0.219	1.354	295.680	291.494	6.606	293	288	5	7	7	4
14	10.700	38.442	65	58	1025428	15775.815	5425.696	14276.000	9173	29340	225.677	325.477	6.692	1.132	0.307	1.158	225.637	325.544	6.682	223	322	5	7	7	4
15	13.992	42.856	85	62	1806106	21248.307	10221.242	18255.000	9199	49536	353.282	342.741	6.624	1.339	0.251	1.338	353.248	342.716	6.676	351	340	5	6	6	4
16	12.511	37.890	76	68	1179215	15515.987	4190.284	16040.000	9193	26278	192.632	433.132	6.316	1.175	0.272	1.186	192.548	433.221	6.350	189	431	5	8	5	3
17	29.466	76.024	179	111	5101630	28500.727	17388.887	22308.000	9347	65535	315.358	451.078	7.894	1.803	0.366	1.777	315.360	451.001	7.861	312	448	5	9	7	6
18	36.051	84.126	219	139	5313426	24262.219	11890.706	20883.000	9158	53825	410.566	454.968	7.607	1.831	0.262	1.787	410.630	454.873	7.609	407	450	5	8	10	6
19	10.700	35.133	65	55	1026872	15798.031	4422.704	14844.000	9342	24994	532.354	458.185	6.046	1.158	0.196	1.146	532.349	458.173	6.081	530	456	5	6	5	3
20	16.132	46.751	98	75	1953961	19938.377	8971.284	18236.500	9465	48676	458.490	460.235	6.949	1.333	0.225	1.313	458.514	460.200	6.944	456	457	5	6	7	5
21	22.552	61.130	137	89	3494690	25508.686	15632.694	19834.000	9469	65535	395.635	464.102	7.175	1.636	0.333	1.568	395.606	464.085	7.210	393	461	5	7	7	5
22	37.367	84.367	227	140	5821436	25645.092	15532.354	21025.000	9173	65535	454.255	473.930	6.903	1.914	0.333	1.992	454.184	473.847	6.797	449	471	5	12	7	5
23	28.149	69.921	171	108	4217006	24660.854	14190.325	20024.000	9239	65535	597.760	503.023	7.170	1.726	0.285	1.701	597.780	502.909	7.118	595	499	5	7	9	5
24	22.717	70.403	138	115	2285016	16558.088	5424.183	15155.000	9309	30447	441.123	502.217	6.674	1.721	0.638	1.771	441.053	502.253	6.696	435	499	5	13	7	5
