 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	23.540	64.128	143	107	3994212	27931.553	12148.444	26195.000	11918	61270	655.713	450.126	6.014	1.533	0.294	1.529	655.759	450.062	5.978	652	446	4	8	9	5
2	21.564	57.958	131	90	4426736	33791.879	17494.445	29480.000	11982	65535	668.542	477.359	6.305	1.594	0.317	1.611	668.558	477.305	6.282	665	475	4	8	6	5
3	29.631	83.333	180	131	5295090	29417.166	13840.988	25856.500	11910	65535	736.628	575.344	5.767	1.821	0.570	1.931	736.692	575.305	5.793	731	571	4	13	9	4
4	19.424	57.265	118	111	2245939	19033.381	4288.041	18568.500	11893	28122	523.814	679.525	5.449	1.340	0.397	1.405	523.744	679.540	5.448	520	675	4	8	10	4
5	20.083	53.785	122	90	3251997	26655.713	11564.297	25027.500	12185	55091	575.361	721.590	5.779	1.467	0.243	1.455	575.354	721.563	5.810	573	718	4	6	8	4
6	31.277	72.092	190	123	5750746	30267.084	14591.279	26364.500	11848	65535	412.879	760.058	5.847	1.748	0.282	1.744	412.861	760.053	5.812	410	756	4	7	9	5
7	28.643	74.920	174	117	4693942	26976.678	12719.032	22889.500	11859	59998	459.851	768.276	6.368	1.745	0.345	1.742	459.775	768.266	6.327	455	764	4	10	9	5
8	23.046	63.991	140	93	3842310	27445.072	13612.270	24325.500	11893	65025	545.814	781.879	6.129	1.615	0.334	1.610	545.789	781.867	6.107	542	778	4	8	8	5
9	22.058	63.921	134	104	2822919	21066.561	7105.834	18846.500	11960	36703	413.463	821.149	5.866	1.594	0.426	1.556	413.475	821.163	5.793	409	816	4	9	10	4
10	24.363	63.817	148	107	3450289	23312.764	8933.402	20712.000	11887	42727	479.865	825.534	5.655	1.542	0.196	1.576	479.874	825.458	5.625	476	822	4	9	8	4
11	7.243	28.996	44	38	824332	18734.818	5548.006	17422.000	11856	33434	453.114	845.659	5.136	1.017	0.211	1.049	453.157	845.674	5.137	450	843	4	7	5	3
12	21.235	59.818	129	98	2779412	21545.830	7956.790	19419.000	11875	43314	276.822	907.504	5.690	1.503	0.354	1.525	276.811	907.598	5.668	273	904	4	8	8	4
13	26.009	68.576	158	118	3758579	23788.475	9063.272	21269.000	11823	45348	250.291	940.443	5.722	1.656	0.398	1.668	250.380	940.375	5.698	245	938	4	12	6	4
14	38.026	83.055	231	152	6138848	26575.100	11512.688	24574.000	11945	55848	143.368	972.658	5.645	1.832	0.332	1.810	143.471	972.609	5.705	138	969	4	12	8	4
15	7.572	30.823	46	40	782379	17008.238	3760.136	15576.000	12184	27617	251.478	972.304	5.196	0.999	0.202	1.014	251.474	972.350	5.191	249	970	4	6	6	3
16	28.149	70.680	171	112	5972554	34927.215	18491.219	30231.000	12062	65535	989.930	160.871	7.298	1.752	0.338	1.766	989.826	160.835	7.380	987	157	5	7	9	6
17	41.812	94.640	254	162	6978758	27475.426	12159.874	23653.000	11844	58239	869.827	178.193	6.642	2.015	0.487	1.951	869.808	178.234	6.698	864	173	5	12	11	5
18	26.997	73.679	164	119	4367431	26630.678	12571.130	22725.500	11819	65535	840.616	250.988	7.591	1.709	0.412	1.724	840.439	250.942	7.539	836	248	5	11	7	5
19	27.491	72.852	167	107	5146767	30818.965	16738.119	26467.000	11832	65535	854.222	255.479	7.042	1.722	0.304	1.714	854.237	255.473	7.053	850	252	5	10	7	5
20	70.784	193.730	430	304	10918279	25391.346	12769.476	21070.500	11870	65535	847.233	263.456	9.281	3.073	1.180	3.199	847.611	263.658	9.235	836	256	5	20	13	10
21	23.375	63.198	142	98	3880843	27329.881	13504.898	24524.000	11914	63104	909.556	290.437	7.070	1.611	0.338	1.576	909.580	290.450	7.087	907	286	5	6	10	5
22	36.544	100.951	222	153	6225260	28041.711	13320.828	23232.500	11842	59991	789.365	304.842	6.374	2.058	0.651	2.099	789.370	304.983	6.367	786	298	5	8	15	4
23	26.174	71.162	159	117	4446754	27967.006	13116.557	24100.000	11884	59986	966.560	307.094	7.409	1.749	0.450	1.727	966.559	307.106	7.412	964	302	5	6	11	5
24	40.824	117.431	248	172	5499720	22176.291	9075.988	19379.500	11908	47419	935.032	316.669	9.355	2.303	0.832	2.465	934.839	316.671	9.548	930	312	5	11	11	8
25	23.211	62.783	141	107	3662861	25977.738	10877.843	24646.000	11840	51946	784.248	324.638	6.206	1.541	0.305	1.531	784.127	324.632	6.206	780	321	5	10	8	4
26	55.146	122.293	335	198	8856924	26438.580	11194.118	23031.000	11831	60674	790.675	336.788	7.770	2.465	0.752	2.629	790.590	336.798	7.828	786	333	5	12	9	8
27	33.911	83.125	206	139	5497114	26685.020	11849.598	24037.500	11936	61720	952.651	339.859	7.427	1.822	0.397	1.746	952.612	339.855	7.439	949	335	5	8	11	6
28	26.667	67.404	162	106	5064528	31262.518	15957.454	27997.500	12131	65535	855.549	348.562	7.210	1.678	0.276	1.660	855.474	348.460	7.209	852	346	5	8	7	5
29	24.034	57.714	146	111	3447026	23609.768	8289.808	22643.000	11879	46987	875.027	368.390	5.973	1.500	0.297	1.459	875.022	368.427	5.965	872	364	5	7	10	4
30	16.461	48.441	100	72	2462157	24621.570	11733.771	20612.000	11863	56864	816.770	396.850	6.330	1.398	0.255	1.407	816.813	396.829	6.311	813	394	5	8	6	4
31	29.960	74.127	182	125	5793736	31833.715	16071.548	26556.000	11848	65535	704.176	412.659	6.473	1.751	0.346	1.736	704.159	412.651	6.460	699	409	5	11	8	4
32	13.992	47.992	85	72	1574756	18526.541	5532.961	17259.000	11970	37055	812.824	427.118	5.824	1.350	0.393	1.309	812.710	427.204	5.794	809	424	5	9	7	3
33	12.346	40.580	75	58	1742798	23237.307	9549.707	21068.000	11877	46133	743.853	434.307	6.853	1.245	0.224	1.219	743.878	434.281	6.870	741	432	5	6	6	4
34	29.466	74.401	179	125	3948637	22059.424	8239.770	20335.000	11830	43010	850.961	453.587	6.419	1.656	0.257	1.680	850.951	453.664	6.403	847	449	5	9	10	4
35	25.515	62.679	155	106	3951611	25494.264	11257.114	21310.000	12020	53663	837.561	457.310	6.419	1.594	0.200	1.598	837.495	457.215	6.407	834	454	5	8	8	4
36	17.284	51.991	105	87	2097204	19973.371	6738.011	18113.000	11829	36908	820.133	489.590	6.229	1.372	0.300	1.348	820.143	489.626	6.273	816	486	5	9	8	4
