Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
144	308	144	124	432	3.000	0.000	3.000	3	3	826.653	313.319	5.854	3.777	1.461	3.784	826.653	313.319	5.854	824	308	3	8	12	9
625	852	625	368	49924	79.878	3.040	80.000	4	80	930.896	320.224	7.698	5.206	1.365	5.099	930.897	320.221	7.705	923	315	3	17	12	11
158	276	158	126	790	5.000	0.000	5.000	5	5	852.285	323.886	5.684	3.304	1.111	3.363	852.285	323.886	5.684	850	320	3	7	10	6
383	580	383	256	683459	1784.488	204.698	1808.000	7	1808	945.728	343.193	8.621	4.561	1.527	4.326	945.719	343.246	8.685	942	335	3	9	17	10
292	492	292	206	4980	17.055	154.728	8.000	8	2652	915.668	343.041	7.538	4.151	1.288	4.246	914.251	341.427	7.783	911	339	3	10	10	10
139	224	139	100	1251	9.000	0.000	9.000	9	9	952.791	384.871	5.626	2.895	0.648	2.936	952.791	384.871	5.626	949	382	3	9	7	6
163	300	163	127	9754	59.840	365.105	10.000	10	2718	970.393	395.104	6.184	3.387	1.129	3.301	970.621	393.352	8.529	967	390	3	8	11	9
453	700	453	301	5435	11.998	0.047	12.000	11	12	927.029	421.978	7.466	5.001	1.701	4.649	927.028	421.978	7.467	917	417	3	19	12	10
587	798	587	344	7631	13.000	0.000	13.000	13	13	966.501	422.431	7.767	4.982	1.231	4.845	966.501	422.431	7.767	960	415	3	14	14	11
355	566	355	255	6035	17.000	0.000	17.000	17	17	906.487	441.223	6.761	5.288	2.075	5.261	906.487	441.223	6.761	901	434	3	12	17	10
2087	2662	2087	1238	37845	18.134	6.107	18.000	18	297	981.415	441.677	7.954	8.892	2.880	8.851	981.409	441.665	7.925	968	427	3	26	30	11
10	38	10	10	190	19.000	0.000	19.000	19	19	984.300	451.900	4.300	1.235	0.454	1.258	984.300	451.900	4.300	984	451	3	2	3	4
257	448	257	193	8000	31.128	178.402	20.000	20	2880	890.821	498.848	5.786	4.278	1.581	4.101	891.958	498.902	6.577	883	493	3	15	12	6
454	686	454	293	215196	474.000	21.307	475.000	21	475	812.533	526.119	7.333	4.762	1.449	4.557	812.535	526.121	7.342	806	522	3	15	11	10
626	730	626	352	14398	23.000	0.000	23.000	23	23	891.420	231.094	7.874	5.144	1.229	5.059	891.420	231.094	7.874	885	223	4	14	14	9
