Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
790	938	790	480	790	1.000	0.000	1	1	1	363.394	245.161	9.854	6.396	2.268	6.019	363.394	245.161	9.854	354	238	6	21	18	9
244	474	244	210	264434	1083.746	1135.376	49	2	2324	506.324	253.820	9.512	4.113	1.472	4.113	508.389	251.789	10.581	501	251	6	12	9	10
733	982	733	467	1610187	2196.708	1941.247	3957	3	3957	540.105	260.450	12.947	5.631	1.803	5.690	538.938	259.647	15.623	533	254	6	17	13	15
620	658	620	329	3100	5.000	0.000	5	5	5	382.979	196.755	12.531	5.026	1.061	5.094	382.979	196.755	12.531	378	192	7	11	12	12
50	106	50	46	200	4.000	0.000	4	4	4	391.760	197.060	8.140	1.995	0.625	1.975	391.760	197.060	8.140	389	195	7	7	5	3
263	350	263	165	1841	7.000	0.000	7	7	7	372.114	203.008	9.730	3.794	1.035	3.698	372.114	203.008	9.730	367	200	7	12	8	7
347	548	347	242	2776	8.000	0.000	8	8	8	404.207	204.631	10.398	4.404	1.421	4.312	404.207	204.631	10.398	399	200	7	13	11	10
71	146	71	63	709	9.986	0.119	10	9	10	419.380	208.620	8.761	2.342	0.768	2.260	419.384	208.623	8.763	416	206	7	8	6	4
215	296	215	137	2365	11.000	0.000	11	11	11	374.684	210.674	10.479	3.426	0.792	3.346	374.684	210.674	10.479	371	207	7	9	8	8
783	992	783	468	9396	12.000	0.000	12	12	12	346.354	216.212	13.943	5.699	1.482	5.814	346.354	216.212	13.943	340	209	7	14	14	15
348	520	348	230	544284	1564.034	2141.029	13	13	4511	419.213	217.181	12.724	4.606	1.552	4.658	418.672	219.861	16.444	416	211	7	7	13	15
205	312	205	147	3075	15.000	0.000	15	15	15	438.712	217.010	9.595	3.566	1.136	3.400	438.712	217.010	9.595	434	213	7	10	9	8
91	156	91	71	1274	14.000	0.000	14	14	14	407.088	218.275	9.066	2.419	0.551	2.400	407.088	218.275	9.066	404	217	7	7	5	5
334	424	334	208	5678	17.000	0.000	17	17	17	445.617	223.638	9.144	4.322	1.296	4.319	445.617	223.638	9.144	439	217	7	13	12	7
157	248	157	109	2512	16.000	0.000	16	16	16	336.369	223.446	9.516	3.009	0.609	2.938	336.369	223.446	9.516	333	219	7	7	9	7
583	802	583	396	1073810	1841.870	75.583	1845	20	1845	461.170	227.172	11.995	5.555	1.923	5.233	461.171	227.173	12.003	452	222	7	19	12	15
756	852	756	395	13608	18.000	0.000	18	18	18	429.771	225.561	11.386	5.526	1.353	5.501	429.771	225.561	11.386	422	220	7	16	14	13
8	30	8	8	152	19.000	0.000	19	19	19	456.000	224.375	7.625	1.264	0.652	1.155	456.000	224.375	7.625	456	222	7	1	5	2
83	150	83	69	40939	493.241	52.467	499	21	499	373.205	228.783	9.133	2.363	0.585	2.389	373.207	228.804	9.157	371	226	7	6	6	5
676	984	676	456	14872	22.000	0.000	22	22	22	417.038	228.898	14.735	6.102	1.949	6.304	417.038	228.898	14.735	412	222	7	12	15	16
868	1118	868	549	2096554	2415.385	1000.124	2833	23	2833	453.682	234.901	13.576	5.971	1.884	5.892	454.229	235.518	14.276	448	225	7	12	22	16
595	704	595	334	14280	24.000	0.000	24	24	24	362.311	233.521	12.387	5.103	1.327	5.055	362.311	233.521	12.387	355	228	7	15	12	13
103	190	103	85	2575	25.000	0.000	25	25	25	413.408	235.738	8.748	2.840	0.995	2.711	413.408	235.738	8.748	409	233	7	9	7	4
719	916	719	421	21570	30.000	0.000	30	30	30	476.976	238.177	10.669	5.716	1.688	5.803	476.976	238.177	10.669	470	229	7	14	17	9
1011	1296	1011	624	1221279	1207.991	1577.523	33	28	3325	439.842	237.753	12.043	7.291	2.928	6.975	436.109	232.706	15.945	432	228	7	18	23	16
141	266	141	116	347882	2467.248	469.757	2557	26	2557	486.589	237.723	12.177	3.099	1.004	2.984	486.610	237.786	12.337	485	234	7	5	9	11
1160	1396	1160	667	37123	32.003	0.088	32	32	35	494.809	244.692	12.686	6.750	2.018	6.738	494.809	244.692	12.686	486	236	7	17	19	15
105	226	105	92	69665	663.476	1028.797	31	31	2321	457.029	240.781	8.600	2.695	0.789	2.661	459.598	240.793	8.455	454	238	7	8	7	5
194	276	194	121	6984	36.000	0.000	36	36	36	391.536	244.253	9.046	3.289	0.719	3.297	391.536	244.253	9.046	388	240	7	8	9	6
392	516	392	260	910224	2322.000	0.000	2322	2322	2322	506.268	245.714	11.679	4.296	1.017	4.239	506.268	245.714	11.679	502	241	7	11	9	11
821	1110	821	515	30377	37.000	0.000	37	37	37	419.635	248.784	13.848	6.250	2.227	6.025	419.635	248.784	13.848	414	243	7	14	19	15
33	80	33	31	1386	42.000	0.000	42	42	42	493.333	246.727	8.424	1.703	0.483	1.741	493.333	246.727	8.424	491	246	7	5	3	4
376	528	376	259	16544	44.000	0.000	44	44	44	518.593	250.952	10.303	4.438	1.352	4.541	518.593	250.952	10.303	513	246	7	13	11	9
306	422	306	200	13770	45.000	0.000	45	45	45	470.559	251.415	9.471	4.082	1.185	4.117	470.559	251.415	9.471	465	247	7	12	10	8
205	290	205	127	9840	48.000	0.000	48	48	48	381.444	252.927	9.483	3.332	0.657	3.299	381.444	252.927	9.483	377	249	7	10	8	7
396	490	396	240	20592	52.000	0.000	52	52	52	436.146	257.212	8.896	4.636	1.534	4.544	436.146	257.212	8.896	431	250	7	10	17	5
286	420	286	206	13442	47.000	0.000	47	47	47	355.504	253.266	9.899	4.307	1.560	4.163	355.504	253.266	9.899	352	247	7	7	14	7
1018	1194	1018	597	51918	51.000	0.000	51	51	51	460.588	253.180	15.244	6.515	2.178	6.421	460.591	253.180	15.244	455	245	7	16	18	16
629	876	629	419	36500	58.029	2.445	60	55	60	378.146	262.353	9.428	5.812	2.243	5.959	378.253	262.475	9.423	370	255	7	21	17	6
268	520	268	217	532088	1985.403	1062.113	2567	53	2567	478.037	260.493	11.272	4.640	1.742	4.666	477.656	261.903	11.966	473	254	7	10	15	9
194	346	194	145	10476	54.000	0.000	54	54	54	489.696	259.314	10.634	3.593	1.216	3.777	489.696	259.314	10.634	484	256	7	11	8	9
205	288	205	133	11480	56.000	0.000	56	56	56	468.566	258.712	10.254	3.369	0.758	3.414	468.566	258.712	10.254	465	256	7	8	7	8
273	434	273	192	700518	2566.000	0.000	2566	2566	2566	509.015	257.066	14.289	4.126	1.426	3.845	509.015	257.066	14.289	505	253	7	10	8	15
14	48	14	14	798	57.000	0.000	57	57	57	511.214	261.000	8.357	1.550	0.675	1.598	511.214	261.000	8.357	509	261	7	6	1	4
33	72	33	30	2046	62.000	0.000	62	62	62	551.212	262.485	8.121	1.615	0.349	1.648	551.212	262.485	8.121	550	261	7	4	4	3
820	1094	820	496	1753472	2138.380	1217.476	2850	58	2850	301.991	263.445	14.077	6.240	2.320	6.180	300.934	265.044	15.563	295	253	7	16	18	15
150	230	150	113	9150	61.000	0.000	61	61	61	525.840	263.267	8.787	3.078	0.827	3.072	525.840	263.267	8.787	522	260	7	8	7	5
100	164	100	73	6300	63.000	0.000	63	63	63	418.280	264.140	9.160	2.552	0.546	2.538	418.280	264.140	9.160	416	261	7	5	7	5
94	164	94	71	8522	90.660	258.474	64	64	2570	430.872	265.511	8.809	2.475	0.524	2.500	431.792	265.066	9.453	428	263	7	7	6	5
107	164	107	79	7062	66.000	0.000	66	66	66	467.103	266.402	8.654	2.556	0.484	2.611	467.103	266.402	8.654	464	264	7	7	6	4
75	134	75	63	5025	67.000	0.000	67	67	67	441.240	266.293	8.480	2.248	0.486	2.298	441.240	266.293	8.480	439	264	7	6	5	5
1518	1652	1518	777	104742	69.000	0.000	69	69	69	504.022	266.426	12.594	7.474	2.317	7.453	504.019	266.426	12.594	491	258	7	26	19	15
102	176	102	76	7242	71.000	0.000	71	71	71	485.676	269.578	8.765	2.577	0.531	2.585	485.676	269.578	8.765	482	266	7	7	7	5
238	406	238	177	17136	72.000	0.000	72	72	72	315.971	269.408	9.067	3.987	1.381	3.943	315.971	269.408	9.067	310	263	7	12	13	5
224	300	224	145	15232	68.000	0.000	68	68	68	367.205	267.638	9.893	3.456	0.747	3.456	367.205	267.638	9.893	362	264	7	10	9	7
138	216	138	106	72174	523.000	0.000	523	523	523	442.594	273.420	9.239	2.923	0.811	2.912	442.595	273.420	9.239	439	270	7	7	8	5
103	198	103	84	7825	75.971	0.296	76	73	76	398.311	272.951	8.728	2.821	0.968	2.656	398.311	272.952	8.729	395	268	7	7	10	4
100	158	100	74	7500	75.000	0.000	75	75	75	475.890	272.420	8.590	2.517	0.500	2.499	475.890	272.420	8.590	474	269	7	5	7	5
180	312	180	130	258645	1436.917	1617.121	74	74	3345	423.144	273.278	11.339	3.697	1.158	3.896	422.135	274.608	14.217	419	270	7	9	8	10
117	194	117	82	9243	79.000	0.000	79	79	79	544.376	274.547	8.829	2.689	0.557	2.696	544.376	274.547	8.829	541	271	7	8	8	5
212	300	212	138	16536	78.000	0.000	78	78	78	533.420	275.349	8.948	3.510	0.977	3.523	533.420	275.349	8.948	529	272	7	11	8	5
504	662	504	315	40320	80.000	0.000	80	80	80	525.008	276.815	14.617	5.125	1.626	5.195	525.008	276.815	14.617	521	271	7	10	15	14
169	270	169	119	13689	81.000	0.000	81	81	81	426.751	278.325	9.396	3.369	0.991	3.289	426.751	278.325	9.396	422	275	7	10	7	6
100	182	100	80	8200	82.000	0.000	82	82	82	453.100	279.140	8.840	2.683	0.807	2.481	453.100	279.140	8.840	451	275	7	5	9	6
234	394	234	186	19422	83.000	0.000	83	83	83	461.850	279.085	8.739	3.953	1.363	4.085	461.850	279.085	8.739	457	273	7	12	12	4
538	698	538	336	48958	91.000	0.000	91	91	91	347.937	285.227	9.734	5.462	1.876	5.553	347.937	285.227	9.734	342	276	7	16	16	8
