Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
673	1012	673	471	161283	239.648	9.136	240.000	3	240	459.398	754.147	5.790	5.708	1.926	5.689	459.396	754.144	5.796	450	748	2	20	14	11
305	538	305	218	100016	327.921	18.610	329.000	4	329	376.043	828.243	5.561	4.054	1.106	4.051	376.033	828.238	5.572	371	823	2	11	11	11
156	378	156	129	780	5.000	0.000	5.000	5	5	393.442	839.205	7.122	3.347	1.141	3.417	393.442	839.205	7.122	388	836	2	9	8	11
656	1030	656	446	5248	8.000	0.000	8.000	8	8	478.988	847.514	5.477	5.909	2.218	5.614	478.988	847.514	5.477	468	841	2	19	20	9
387	648	387	262	3483	9.000	0.000	9.000	9	9	464.561	861.599	5.822	4.510	1.351	4.417	464.561	861.599	5.822	460	856	2	12	14	11
278	398	278	174	3058	11.000	0.000	11.000	11	11	495.867	865.130	5.094	3.807	0.951	3.687	495.867	865.130	5.094	492	859	2	9	13	7
583	918	583	372	6996	12.000	0.000	12.000	12	12	506.750	900.137	6.022	5.158	1.456	4.935	506.750	900.137	6.022	499	893	2	14	16	10
508	776	508	337	6604	13.000	0.000	13.000	13	13	470.945	897.624	4.904	5.641	2.315	5.439	470.945	897.624	4.904	461	889	2	17	18	9
134	376	134	129	109092	814.119	934.019	15.000	15	2545	349.037	905.306	4.142	4.372	1.957	4.221	349.457	901.159	4.306	345	898	2	9	18	5
778	1246	778	554	336827	432.940	20.901	434.000	21	434	460.946	913.682	5.636	6.802	2.834	6.281	460.947	913.677	5.645	452	903	2	18	27	11
190	392	190	149	239420	1260.105	886.154	1890.000	20	1890	406.916	913.132	4.900	3.704	1.269	3.722	407.413	914.884	5.186	401	907	2	11	13	7
492	854	492	355	11316	23.000	0.000	23.000	23	23	476.945	919.398	5.602	5.182	1.853	5.098	476.945	919.398	5.602	471	911	2	15	18	9
62	144	62	53	1674	27.000	0.000	27.000	27	27	395.919	927.032	3.903	2.222	0.680	2.225	395.919	927.032	3.903	393	923	2	6	8	5
783	1072	783	473	22707	29.000	0.000	29.000	29	29	506.178	929.326	5.774	6.077	2.059	5.924	506.178	929.325	5.774	498	921	2	21	19	11
321	562	321	229	148076	461.296	34.204	464.000	30	464	479.421	932.442	5.417	4.184	1.296	4.153	479.423	932.454	5.435	473	927	2	12	13	9
368	614	368	263	12142	32.995	0.104	33.000	31	33	446.921	933.636	5.348	4.577	1.543	4.432	446.921	933.636	5.348	442	926	2	9	15	10
104	206	104	87	3328	32.000	0.000	32.000	32	32	426.385	935.087	4.298	2.738	0.953	2.695	426.385	935.087	4.298	424	932	2	6	9	5
161	308	161	116	5474	34.000	0.000	34.000	34	34	528.248	937.907	4.621	3.223	1.001	3.078	528.248	937.907	4.621	525	933	2	9	12	6
260	506	260	194	9103	35.012	0.186	35.000	35	38	485.665	938.146	6.338	3.848	1.119	3.911	485.665	938.147	6.337	482	932	2	9	12	10
763	1254	763	520	357414	468.432	15.676	469.000	36	469	389.426	937.929	6.343	6.078	2.347	5.802	389.423	937.926	6.349	380	931	2	18	20	10
28	92	28	28	1036	37.000	0.000	37.000	37	37	494.964	940.571	3.429	1.809	0.694	1.744	494.964	940.571	3.429	492	939	2	7	5	3
21	58	21	21	819	39.000	0.000	39.000	39	39	460.619	941.857	3.952	1.403	0.507	1.389	460.619	941.857	3.952	459	941	2	4	4	4
252	556	252	198	546755	2169.663	829.466	2571.000	40	2571	408.286	943.659	8.143	4.959	2.234	4.448	409.190	944.287	8.830	402	937	2	17	12	11
91	238	91	83	3731	41.000	0.000	41.000	41	41	434.571	946.835	3.593	3.297	1.340	3.270	434.571	946.835	3.593	430	942	2	9	11	5
5	30	5	5	2002	400.400	200.352	490.000	42	490	480.400	953.400	3.000	1.213	0.510	1.149	480.713	953.490	3.224	479	953	2	4	2	3
285	516	285	202	12255	43.000	0.000	43.000	43	43	408.123	957.519	5.312	4.119	1.473	4.058	408.123	957.519	5.312	403	953	2	14	10	8
498	874	498	360	109193	219.263	860.799	48.000	46	4537	495.861	962.857	5.355	5.401	1.964	5.211	490.872	961.982	8.901	488	957	2	19	13	10
309	526	309	220	16377	53.000	0.000	53.000	53	53	402.825	967.696	5.518	4.353	1.539	4.218	402.825	967.696	5.518	394	962	2	15	11	9
20	82	20	20	1100	55.000	0.000	55.000	55	55	393.150	972.150	3.300	1.812	0.907	1.756	393.150	972.150	3.300	391	970	2	5	7	4
286	518	286	213	146375	511.801	38.191	515.000	56	515	424.259	970.171	4.815	4.278	1.588	4.065	424.264	970.160	4.832	416	965	2	14	11	7
247	554	247	197	127977	518.125	29.460	520.000	57	520	536.089	974.891	5.838	3.662	1.031	3.653	536.093	974.901	5.852	532	971	2	11	10	10
396	742	396	286	22968	58.000	0.000	58.000	58	58	549.952	971.326	6.268	4.810	2.014	4.350	549.952	971.326	6.268	545	963	2	10	21	11
610	964	610	405	37210	61.000	0.000	61.000	61	61	475.789	975.179	5.018	6.109	2.547	5.874	475.788	975.179	5.018	463	968	2	24	13	10
237	460	237	190	15405	65.000	0.000	65.000	65	65	491.241	981.907	4.122	3.978	1.399	3.981	491.241	981.907	4.122	484	977	2	14	9	6
47	166	47	47	43053	916.021	833.894	528.000	66	2607	410.574	982.617	4.489	2.430	1.010	2.272	409.538	983.010	5.365	406	980	2	9	6	6
407	754	407	302	218503	536.862	22.950	538.000	75	538	490.993	991.776	4.902	4.721	1.517	4.770	490.986	991.772	4.908	483	987	2	15	12	10
274	528	274	201	145304	530.307	28.031	532.000	68	532	389.109	985.606	5.704	4.382	1.725	3.990	389.116	985.598	5.716	384	977	2	12	15	9
541	970	541	380	39490	72.994	0.129	73.000	70	73	520.606	990.020	7.070	5.215	1.752	4.839	520.606	990.021	7.071	509	984	2	23	12	11
330	730	330	280	23430	71.000	0.000	71.000	71	71	440.548	994.082	7.127	4.767	1.799	4.678	440.548	994.082	7.127	436	987	2	12	16	11
129	252	129	91	69580	539.380	41.117	543.000	76	543	393.884	993.341	5.194	2.825	0.627	2.775	393.896	993.330	5.215	391	990	2	7	8	8
147	334	147	121	11466	78.000	0.000	78.000	78	78	499.837	999.599	5.333	3.428	1.327	3.304	499.837	999.599	5.333	497	994	2	7	13	9
1201	1368	1201	663	97281	81.000	0.000	81.000	81	81	545.189	1005.169	7.667	6.472	1.716	6.480	545.186	1005.168	7.667	536	999	2	17	13	12
93	176	93	77	51416	552.860	49.566	558.000	80	558	466.151	1005.634	4.667	2.536	0.682	2.510	466.143	1005.658	4.691	463	1002	2	7	6	7
1742	2342	1742	1097	146328	84.000	0.000	84.000	84	84	525.333	1004.121	7.470	7.769	2.477	7.607	525.331	1004.118	7.470	511	990	2	26	21	11
469	728	469	369	1244119	2652.706	2308.798	567.000	567	5203	557.463	1007.623	7.644	4.493	1.333	4.567	555.467	1006.891	7.741	553	1000	2	10	12	12
1288	1854	1288	863	796742	618.589	14.767	619.000	89	619	405.866	369.568	7.764	7.701	3.544	6.990	405.870	369.568	7.767	391	358	3	29	28	12
879	1406	879	609	79110	90.000	0.000	90.000	90	90	439.840	401.044	7.909	6.584	2.333	6.436	439.839	401.044	7.909	430	391	3	19	22	12
126	240	126	99	11592	92.000	0.000	92.000	92	92	398.111	436.889	6.127	2.863	0.931	2.810	398.111	436.889	6.127	394	434	3	12	6	7
309	588	309	229	215078	696.045	34.360	698.000	94	698	342.094	441.861	7.074	4.078	1.243	4.017	342.102	441.858	7.086	337	435	3	11	14	10
655	934	655	421	62225	95.000	0.000	95.000	95	95	427.047	442.005	7.765	5.609	1.818	5.297	427.048	442.005	7.765	417	435	3	18	12	12
185	374	185	142	17760	96.000	0.000	96.000	96	96	357.995	449.270	6.178	3.846	1.557	3.583	357.995	449.270	6.178	351	445	3	13	10	7
127	232	127	99	12446	98.000	0.000	98.000	98	98	358.134	458.528	5.677	3.089	1.151	2.807	358.134	458.528	5.677	355	454	3	7	11	6
448	938	448	347	48392	108.018	190.872	99.000	99	4139	402.058	463.310	8.812	5.121	1.951	4.975	401.887	463.368	8.828	392	457	3	17	15	12
