 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	26.503	69.024	161	118	3614351	22449.385	9138.267	21148.000	10074	47411	960.242	777.665	2.907	1.592	0.326	1.596	960.227	777.649	2.900	956	775	1	10	7	5
2	33.746	80.023	205	129	6134421	29924.004	16453.197	25459.000	10044	65535	945.873	796.624	3.161	1.869	0.339	1.938	945.815	796.640	3.149	941	793	1	11	8	5
3	18.601	57.402	113	112	1546974	13690.035	2283.768	13548.000	10078	19572	942.186	578.938	2.504	1.347	0.445	1.345	942.265	578.945	2.519	937	575	2	11	9	3
4	21.400	62.954	130	118	2228555	17142.730	5141.125	16878.000	10027	31994	695.131	581.885	3.569	1.421	0.460	1.438	695.341	581.874	3.552	690	579	2	11	8	4
5	18.272	54.715	111	92	1590024	14324.541	3215.554	13672.000	10064	25027	1004.342	598.982	2.955	1.408	0.350	1.390	1004.166	598.946	2.952	1000	597	2	10	6	3
6	16.461	49.579	100	76	2240642	22406.420	10406.391	20150.500	10169	49790	777.440	600.150	3.540	1.427	0.317	1.488	777.081	600.135	3.603	774	598	2	9	5	4
7	27.655	72.126	168	119	3548252	21120.547	8734.835	18389.500	10153	40642	666.798	610.196	3.655	1.644	0.284	1.645	666.682	610.185	3.616	661	606	2	12	9	4
8	21.400	64.818	130	97	2782770	21405.924	9461.600	18318.500	10210	46316	897.446	614.446	3.538	1.557	0.350	1.555	897.474	614.559	3.571	893	610	2	11	8	4
9	16.461	48.474	100	81	1729630	17296.301	5458.014	16796.500	10134	30726	785.260	621.870	3.120	1.306	0.230	1.306	785.256	621.933	3.189	782	619	2	8	7	3
10	40.330	90.467	245	171	5113497	20871.416	7321.783	19270.000	10061	40522	973.478	641.616	3.237	1.836	0.437	1.846	973.443	641.703	3.246	968	638	2	13	8	4
11	27.655	70.714	168	115	3966329	23609.102	9602.089	21912.500	10071	47740	910.792	662.244	4.113	1.698	0.367	1.738	910.780	662.228	4.087	907	658	2	8	9	5
12	20.248	63.576	123	94	2295494	18662.553	6636.143	17350.000	10074	34750	763.358	671.862	3.423	1.539	0.461	1.592	763.320	671.828	3.438	759	668	2	10	9	4
13	26.997	74.334	164	111	4039008	24628.098	13020.367	20857.500	10029	65535	921.000	674.396	3.701	1.777	0.441	1.776	921.061	674.285	3.663	916	671	2	10	8	5
14	41.318	111.257	251	180	5460803	21756.188	9396.804	19832.000	10085	46614	666.120	675.263	4.183	2.060	0.711	1.917	666.404	675.641	4.175	658	667	2	14	15	5
15	22.717	59.644	138	105	2247625	16287.138	4445.313	15111.000	10093	28691	831.638	752.891	3.014	1.495	0.317	1.453	831.660	752.930	3.009	827	750	2	10	7	3
16	27.984	72.574	170	123	3605684	21209.906	8243.711	19800.500	10043	46020	914.882	806.665	3.188	1.621	0.319	1.629	914.923	806.701	3.155	911	802	2	9	10	4
17	42.964	95.536	261	166	6654027	25494.355	12292.756	23288.000	10032	60399	668.276	831.142	4.180	1.945	0.335	1.964	668.337	831.167	4.149	664	827	2	11	9	5
18	40.824	86.916	248	163	6161143	24843.318	11438.395	21116.000	10083	51347	640.331	867.863	3.649	1.890	0.324	1.854	640.326	867.859	3.664	637	862	2	9	12	4
19	27.984	82.195	170	121	4138815	24345.971	12577.737	20359.000	10059	64206	697.659	865.088	4.365	1.863	0.564	1.823	697.662	865.246	4.299	694	858	2	7	14	5
20	33.911	79.090	206	153	4655561	22599.811	8606.116	22222.000	10076	43671	575.849	902.388	3.840	1.736	0.382	1.737	575.805	902.291	3.827	571	898	2	11	9	4
21	3.292	22.962	20	20	243045	12152.250	1727.050	12115.000	10106	15538	897.450	554.900	4.000	0.846	0.342	0.851	897.521	554.939	4.009	895	552	3	6	6	3
22	4.115	24.582	25	25	284925	11397.000	1247.296	11031.000	10058	13980	911.800	559.280	3.080	0.964	0.380	0.964	911.780	559.257	3.075	909	557	3	7	6	2
23	20.906	58.610	127	106	1921125	15126.969	3766.419	14371.000	10122	26356	875.661	562.079	3.898	1.459	0.364	1.419	875.619	562.112	3.904	871	559	3	10	7	3
24	36.380	83.537	221	168	4919778	22261.439	7542.764	21731.000	10061	41747	776.140	572.353	4.081	1.791	0.476	1.746	776.078	572.374	4.084	771	567	3	11	11	4
25	1.646	11.136	10	10	120814	12081.400	1564.166	11907.000	10304	14555	929.300	589.200	3.300	0.607	0.166	0.651	929.349	589.215	3.265	928	588	3	4	3	2
26	13.005	44.649	79	61	1948067	24659.076	12636.650	20667.000	10392	54665	474.152	601.557	4.481	1.352	0.297	1.469	474.146	601.430	4.425	472	598	3	5	8	4
27	31.112	75.643	189	130	3871078	20481.895	7406.858	19127.000	10028	44576	997.757	612.608	4.312	1.733	0.345	1.715	997.722	612.688	4.281	995	607	3	7	12	4
28	13.005	42.441	79	71	1157230	14648.481	3522.952	14015.000	10040	24283	1002.165	624.544	3.684	1.209	0.368	1.230	1002.222	624.563	3.658	998	622	3	9	6	3
29	35.886	80.883	218	142	4339231	19904.729	7825.145	18231.500	10027	43778	682.784	633.243	4.445	1.775	0.210	1.799	682.790	633.336	4.452	678	629	3	10	9	4
30	33.252	76.436	202	138	4689209	23213.906	9952.950	20673.000	10135	46580	923.718	649.218	4.356	1.783	0.333	1.747	923.662	649.152	4.284	920	645	3	9	10	4
31	23.540	76.195	143	115	2456136	17175.775	5871.617	15390.000	10036	35479	719.965	684.944	4.867	1.799	0.592	1.838	720.108	684.951	4.851	713	682	3	14	7	4
32	3.128	23.963	19	19	212747	11197.211	818.101	11122.000	10115	12644	1002.895	687.947	3.368	0.851	0.313	0.758	1002.898	687.985	3.376	1001	685	3	5	7	2
33	29.137	95.677	177	132	3718552	21008.768	9946.539	17631.000	10165	53002	780.384	689.870	4.593	1.891	0.537	1.943	780.258	689.726	4.500	775	686	3	13	9	5
34	14.321	47.303	87	73	1611510	18523.104	5437.364	18596.000	10227	30533	795.333	689.954	4.023	1.387	0.413	1.345	795.385	689.929	3.992	791	688	3	10	5	4
35	2.963	19.445	18	18	207209	11511.611	947.613	11421.500	10138	13100	835.667	699.722	3.833	0.787	0.322	0.777	835.670	699.691	3.841	833	698	3	7	4	2
36	40.660	95.466	247	171	5654142	22891.264	9033.994	22120.000	10086	45602	695.300	703.312	4.781	1.965	0.539	1.945	695.338	703.331	4.842	688	699	3	14	10	5
37	40.001	86.505	243	146	8519811	35060.949	20352.354	29656.000	10143	65535	407.584	704.881	5.144	1.973	0.329	1.944	407.622	704.929	5.196	403	701	3	9	9	6
38	20.083	57.094	122	91	2388750	19579.918	7098.604	17753.000	10128	37330	474.410	714.484	4.361	1.466	0.244	1.473	474.405	714.546	4.361	471	711	3	8	8	4
39	3.622	23.411	22	22	258306	11741.182	1370.583	11680.000	10226	15383	880.864	725.364	3.500	0.835	0.283	0.783	880.824	725.391	3.507	880	723	3	4	7	2
40	19.589	87.917	119	112	1573009	13218.563	2681.386	12576.000	10091	21235	581.395	733.252	3.824	1.776	0.582	1.800	581.424	733.092	3.825	576	727	3	10	13	3
41	17.284	61.853	105	92	1637620	15596.381	4307.158	14398.000	10126	30649	635.476	729.200	4.829	1.558	0.552	1.523	635.317	729.061	4.837	631	725	3	10	10	5
42	51.030	101.289	310	231	5290408	17065.832	4742.155	15881.500	10092	31554	415.342	736.532	3.955	1.951	0.496	1.993	415.495	736.535	3.932	409	732	3	14	12	3
43	8.395	29.477	51	51	692472	13577.883	2181.205	13075.000	10030	18017	882.569	734.412	3.549	1.004	0.296	0.987	882.684	734.395	3.549	879	732	3	7	6	2
44	8.395	33.202	51	45	695498	13637.216	2934.177	12417.000	10092	23024	1013.196	736.392	3.922	1.102	0.282	1.108	1013.192	736.293	3.907	1012	733	3	4	8	3
45	19.754	56.405	120	92	2458968	20491.400	7988.621	18874.000	10083	42858	471.642	740.058	4.908	1.427	0.255	1.397	471.607	740.039	4.878	468	736	3	7	9	4
46	31.935	76.091	194	124	4847797	24988.645	12874.688	20631.000	10087	65071	506.701	753.603	5.402	1.734	0.216	1.719	506.709	753.550	5.405	502	750	3	11	8	5
47	21.564	59.577	131	95	3314545	25301.871	12227.248	23555.000	10613	58747	883.412	766.198	4.244	1.602	0.409	1.636	883.465	766.159	4.157	878	764	3	11	5	4
48	31.277	77.125	190	132	4466176	23506.189	10422.653	22183.500	10128	55885	105.789	777.132	4.779	1.699	0.295	1.720	105.663	776.858	4.828	101	773	3	10	9	5
49	9.218	37.475	56	56	745543	13313.268	2117.933	12886.500	10060	17826	651.321	777.536	3.250	1.089	0.380	1.073	651.299	777.527	3.211	647	775	3	9	6	2
50	24.363	70.644	148	118	2541421	17171.764	5224.848	16248.000	10040	33509	921.047	784.493	4.115	1.714	0.570	1.662	921.024	784.529	4.151	916	779	3	10	12	3
51	36.874	94.539	224	140	7079780	31606.160	19358.877	24690.500	10104	65535	704.875	784.732	5.442	2.055	0.544	1.994	704.962	784.734	5.399	698	782	3	13	7	6
52	35.886	86.090	218	156	4544323	20845.518	7716.278	20589.500	10033	45995	992.954	788.133	4.294	1.845	0.441	1.816	993.140	788.171	4.268	987	785	3	13	7	4
53	34.404	73.712	209	138	6199105	29660.789	15658.389	24544.000	10096	64301	425.187	796.440	4.392	1.768	0.221	1.740	425.244	796.441	4.360	421	793	3	10	8	4
54	4.938	23.170	30	26	545780	18192.666	7462.403	17687.000	10119	35826	860.067	809.267	4.400	0.986	0.345	0.842	860.013	809.264	4.427	858	808	3	4	4	4
55	14.321	47.855	87	72	1923806	22112.713	9967.650	20141.000	10087	53991	552.460	821.609	5.000	1.336	0.332	1.369	552.595	821.489	5.012	548	819	3	9	6	5
56	14.486	52.406	88	72	1657261	18832.512	6652.498	18047.000	10271	36040	547.307	829.545	4.307	1.380	0.391	1.413	547.294	829.567	4.327	543	827	3	10	6	4
57	15.803	52.510	96	72	1888120	19667.916	7933.474	18031.000	10073	45874	1014.021	830.417	4.406	1.416	0.332	1.485	1013.981	830.640	4.353	1011	826	3	6	9	4
58	12.181	51.821	74	66	1344006	18162.244	6675.620	17191.500	10102	37460	762.338	831.487	4.919	1.580	0.618	1.543	762.054	831.602	4.940	757	829	3	12	5	5
59	31.771	75.368	193	120	5885716	30495.938	16980.637	24752.000	10029	65535	425.684	842.036	4.881	1.800	0.284	1.795	425.750	842.023	4.833	421	839	3	9	8	5
60	26.009	68.335	158	109	3852334	24381.861	11734.205	22026.000	10187	59983	548.190	840.728	5.234	1.610	0.249	1.602	548.244	840.790	5.220	544	837	3	9	8	5
61	50.866	97.983	309	193	7317485	23681.182	10628.432	19766.000	10040	51448	224.926	873.223	4.563	2.024	0.343	1.991	224.911	873.151	4.599	219	869	3	13	9	4
62	13.334	43.994	81	64	1742049	21506.777	9182.095	20051.000	10069	44873	825.704	545.173	5.951	1.267	0.261	1.256	825.685	545.214	5.964	823	542	4	6	7	5
63	24.034	64.610	146	106	2808828	19238.549	6883.677	17475.000	10153	41871	1004.041	566.007	5.726	1.595	0.346	1.644	1004.016	565.920	5.772	1000	562	4	9	8	5
64	27.326	70.506	166	113	4513634	27190.566	15127.959	24298.500	10030	65535	525.090	571.506	5.789	1.639	0.271	1.640	525.082	571.569	5.830	521	567	4	9	9	5
65	20.741	55.783	126	105	2116221	16795.404	5068.385	15396.500	10073	35106	856.460	591.825	5.230	1.400	0.300	1.416	856.486	591.826	5.246	853	588	4	8	9	3
66	25.515	70.540	155	120	3040840	19618.322	7169.162	17418.000	10034	38019	437.658	626.974	5.116	1.582	0.392	1.530	437.737	626.986	5.157	434	621	4	8	12	4
67	6.091	25.134	37	37	490664	13261.189	2179.323	12876.000	10061	17600	722.757	655.622	4.514	0.938	0.291	0.893	722.689	655.670	4.496	720	654	4	7	4	2
68	11.358	57.784	69	69	796718	11546.638	1080.036	11379.000	10065	14826	993.478	659.333	4.522	1.365	0.473	1.269	993.478	659.307	4.526	990	655	4	8	12	2
69	62.224	152.286	378	255	9749085	25791.230	15645.254	20635.500	10037	65535	567.122	661.246	6.791	2.688	0.980	2.715	567.164	662.169	6.638	563	651	4	9	22	6
70	15.474	50.301	94	88	1453347	15461.139	3484.531	14966.500	10240	24729	304.883	671.191	4.830	1.331	0.389	1.288	304.907	671.207	4.820	301	667	4	9	9	3
71	20.083	57.439	122	94	2908401	23839.352	9466.287	21897.500	10262	49927	515.172	688.566	5.984	1.492	0.369	1.454	515.281	688.608	6.009	510	686	4	11	6	5
72	10.535	42.648	64	60	988152	15439.875	4607.028	14445.500	10242	28143	265.422	699.031	4.688	1.258	0.521	1.139	265.544	699.155	4.676	262	694	4	8	10	3
73	34.075	80.987	207	143	4998898	24149.266	11122.014	20907.000	10248	50661	380.010	701.647	5.647	1.826	0.408	1.801	379.893	701.676	5.655	374	698	4	13	7	4
74	21.071	62.542	128	95	2678703	20927.367	8720.122	18388.000	10156	38589	486.961	712.906	5.453	1.522	0.322	1.564	486.952	712.941	5.463	484	708	4	7	10	4
75	29.960	78.333	182	124	4480647	24618.939	12961.828	21667.500	10063	60812	726.643	714.566	5.505	1.758	0.339	1.715	726.449	714.468	5.516	721	711	4	12	7	4
76	27.491	71.852	167	114	3992796	23908.959	11801.668	20872.000	10102	55292	869.719	716.515	5.934	1.761	0.465	1.863	869.741	716.380	5.955	867	712	4	7	11	5
77	17.614	56.475	107	78	2687223	25114.234	12265.179	22405.000	10197	58809	625.495	742.533	5.813	1.491	0.339	1.479	625.445	742.514	5.858	621	740	4	9	6	5
78	22.223	93.331	135	118	1852659	13723.400	3068.597	13070.000	10037	25232	856.919	755.185	6.304	2.097	0.873	2.019	857.005	755.044	6.256	851	747	4	11	17	5
79	4.280	23.755	26	26	330788	12722.615	1800.468	12322.000	10029	16502	969.077	756.154	4.538	0.899	0.328	0.795	969.031	756.069	4.525	966	755	4	7	5	2
80	29.795	89.399	181	142	3835334	21189.691	10102.965	18947.000	10036	55256	205.508	775.282	5.414	1.994	0.839	1.798	205.651	774.793	5.420	201	769	4	9	17	4
81	5.761	23.755	35	31	629275	17979.285	5881.846	16129.000	10578	32143	854.429	797.371	5.143	0.943	0.200	1.013	854.436	797.351	5.167	852	796	4	5	4	3
82	14.486	45.958	88	75	1510971	17170.125	6023.968	15455.000	10032	32472	559.705	811.602	5.705	1.249	0.265	1.279	559.720	811.686	5.661	557	808	4	7	8	4
83	40.166	87.402	244	148	7702470	31567.500	18279.900	26798.000	10137	65535	65.254	823.975	6.779	2.038	0.466	2.093	65.325	823.820	6.697	63	819	4	6	11	6
84	23.211	78.952	141	123	2611820	18523.547	6299.286	17985.000	10042	33670	206.766	827.482	5.589	1.698	0.750	1.583	206.613	827.666	5.571	202	820	4	12	14	4
85	4.609	24.341	28	28	361013	12893.321	2306.277	12513.500	10152	17159	479.250	859.607	4.714	1.028	0.427	1.020	479.283	859.687	4.749	478	855	4	3	9	2
86	21.071	67.505	128	117	1786531	13957.273	3024.719	13088.000	10246	23344	711.375	878.094	5.258	1.418	0.417	1.451	711.434	878.061	5.247	707	874	4	10	9	3
87	3.128	19.549	19	19	216577	11398.789	1288.938	10672.000	10028	13786	465.632	892.684	4.579	0.792	0.194	0.799	465.606	892.718	4.601	464	891	4	5	4	2
88	16.132	59.577	98	87	1820320	18574.693	7029.599	18043.500	10027	40102	644.653	899.929	5.704	1.663	0.645	1.659	644.494	899.970	5.658	639	896	4	13	8	4
89	21.400	62.887	130	99	2657888	20445.293	8406.396	18235.500	10052	45811	130.338	906.462	5.185	1.557	0.407	1.523	130.440	906.596	5.217	126	902	4	9	10	4
