 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	59.920	151.667	364	239	10789713	29642.068	16499.840	25279.500	10753	65535	660.717	431.319	4.555	2.581	0.887	2.637	660.841	431.350	4.544	654	426	1	15	13	8
2	26.997	90.611	164	112	3988360	24319.268	13283.738	19471.500	10686	60995	214.854	336.421	5.750	2.164	0.832	2.165	214.734	336.214	5.441	212	334	2	8	9	8
3	18.601	60.923	113	83	2551285	22577.744	10930.008	19790.000	10774	56275	542.460	362.292	4.035	1.524	0.394	1.475	542.418	362.267	4.016	538	359	2	10	7	5
4	75.064	187.556	456	313	10838711	23769.104	11211.427	20842.500	10743	59977	279.140	399.024	5.430	2.731	0.937	2.732	279.909	399.091	5.195	270	391	2	19	18	7
5	38.520	90.607	234	148	7524567	32156.270	18381.492	26402.500	10723	65535	585.991	425.744	4.846	1.980	0.470	1.953	586.028	425.569	4.871	582	420	2	8	12	7
6	25.515	67.542	155	110	3725026	24032.426	9556.450	23354.000	10782	49653	323.890	275.006	5.006	1.573	0.264	1.574	323.865	275.068	5.010	320	272	3	9	7	5
7	32.758	79.437	199	124	6811780	34230.051	18430.395	28623.000	11036	65535	162.543	287.462	5.060	1.882	0.340	1.959	162.569	287.413	5.085	159	284	3	8	9	6
8	25.351	67.508	154	94	4702822	30537.805	17173.559	26071.500	10734	65535	244.922	316.227	5.013	1.721	0.347	1.689	244.947	316.340	5.054	241	313	3	9	7	6
9	28.972	70.851	176	116	4619833	26249.051	11980.191	23396.500	10724	61021	381.307	316.767	4.699	1.679	0.226	1.675	381.273	316.705	4.707	378	313	3	9	8	5
10	25.351	63.713	154	108	3449954	22402.299	9281.070	19709.500	10776	51312	352.643	322.935	4.734	1.581	0.231	1.585	352.590	322.875	4.713	349	319	3	8	9	4
11	13.169	45.787	80	61	2468118	30851.475	17286.883	26332.000	11074	65535	519.188	329.975	5.300	1.368	0.326	1.402	519.187	330.010	5.228	517	327	3	6	7	5
12	29.301	73.645	178	113	5393921	30302.928	16650.072	26094.000	10696	65535	249.393	346.157	5.753	1.787	0.366	1.729	249.414	346.067	5.687	246	343	3	8	8	6
13	73.253	178.665	445	275	13773842	30952.453	17386.111	25132.000	10713	65535	118.249	348.187	5.879	2.580	0.795	2.662	118.740	348.411	5.862	109	343	3	18	12	7
14	42.800	114.259	260	183	6879899	26461.150	13475.982	23364.000	10708	65535	72.338	358.573	5.254	2.077	0.666	2.070	72.256	358.645	5.212	65	354	3	15	10	5
15	25.515	66.611	155	105	4738292	30569.625	17362.994	25792.000	10736	65535	50.929	372.923	5.523	1.661	0.322	1.683	51.038	372.934	5.478	46	370	3	10	6	6
16	80.990	178.802	492	289	16210480	32948.129	18266.396	27561.500	10737	65535	215.837	372.545	6.998	2.877	0.930	2.845	215.470	372.759	6.910	209	364	3	17	16	8
17	42.635	93.847	259	159	7677260	29641.930	16287.085	24593.000	10755	65535	523.525	374.286	5.475	1.913	0.258	1.919	523.571	374.323	5.443	519	370	3	10	10	6
18	40.166	85.712	244	143	8055868	33015.852	17480.088	29779.000	10939	65535	377.975	378.307	5.939	1.974	0.277	1.981	377.942	378.288	5.848	374	374	3	9	9	6
19	51.524	123.257	313	202	9521867	30421.301	18733.793	23130.000	10688	65535	529.022	390.067	5.492	2.291	0.667	2.341	528.282	389.553	5.504	523	386	3	15	11	6
20	22.717	63.543	138	93	4059220	29414.637	16652.736	23173.500	10694	65535	724.478	422.993	4.696	1.615	0.322	1.627	724.421	422.977	4.704	721	420	3	8	8	5
21	45.434	97.467	276	164	8681896	31456.145	17085.141	26389.500	10692	65535	492.319	452.949	4.696	2.023	0.340	2.023	492.333	452.911	4.676	487	449	3	12	9	5
22	77.369	161.388	470	276	14493414	30837.051	17224.176	26259.000	10713	65535	639.987	458.864	5.823	2.490	0.647	2.498	639.701	458.422	5.730	634	452	3	14	16	6
