 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	47.903	104.227	291	167	10584702	36373.547	20634.938	29123.000	9975	65535	572.629	179.883	3.990	2.122	0.367	2.141	572.605	179.989	4.007	568	176	1	11	9	7
2	53.500	111.880	325	175	10687291	32883.973	19725.021	27628.000	9889	65535	464.514	191.102	4.406	2.170	0.297	2.133	464.624	191.188	4.441	459	187	2	12	9	6
3	44.775	99.157	272	164	8671769	31881.504	18458.865	26103.000	9944	65535	447.349	210.312	4.522	1.986	0.309	1.961	447.408	210.221	4.557	443	206	2	11	10	6
4	37.203	89.881	226	164	5197996	22999.982	10865.598	20930.500	9908	60672	577.456	214.584	4.027	1.918	0.588	1.998	577.907	214.671	4.033	571	211	2	14	8	5
5	53.664	129.702	326	235	7008964	21499.889	8638.146	20843.500	9914	48384	651.798	221.417	4.144	2.245	0.766	2.278	652.070	221.707	4.155	645	215	2	14	15	5
6	39.014	88.469	237	151	6643192	28030.346	14554.101	25741.000	9952	64260	602.143	237.308	4.287	1.867	0.279	1.867	602.134	237.370	4.253	597	234	2	11	8	5
7	48.397	96.778	294	169	9565163	32534.568	19174.264	26368.000	10010	65535	667.126	243.878	4.139	2.067	0.271	2.076	667.166	244.005	4.180	663	239	2	10	10	6
8	33.087	92.846	201	156	4414035	21960.373	12914.473	17100.000	9887	65535	521.791	266.274	3.612	1.891	0.592	1.872	522.155	265.667	3.661	517	261	2	10	13	5
9	36.874	88.539	224	146	7978785	35619.574	20865.088	28408.500	9952	65535	582.746	266.603	4.924	1.962	0.436	2.056	582.773	266.670	4.912	577	264	2	12	6	7
10	50.701	133.497	308	207	8111985	26337.613	13491.582	23837.500	9890	65535	642.481	294.588	4.065	2.378	0.821	2.321	642.664	294.849	4.066	636	288	2	13	16	5
11	46.257	100.777	281	185	8150363	29004.850	16319.904	22954.000	10296	65535	496.648	295.199	4.406	2.074	0.498	2.026	496.846	295.035	4.401	491	291	2	13	10	5
12	36.709	83.470	223	143	6733402	30194.627	16904.650	24404.000	9991	65535	702.937	302.758	4.601	1.826	0.267	1.827	703.075	302.769	4.603	699	298	2	9	10	6
13	36.709	82.436	223	133	6743744	30241.004	17264.457	25543.000	9914	65535	721.439	306.283	4.036	1.881	0.250	1.894	721.455	306.230	4.042	717	303	2	10	9	5
14	30.618	76.195	186	122	4899968	26343.914	14742.273	21131.000	9953	65535	559.151	313.081	3.640	1.759	0.299	1.782	559.102	313.054	3.703	555	309	2	10	9	5
15	36.874	86.676	224	147	5754380	25689.197	14262.723	21362.500	10064	65535	572.263	316.415	3.969	1.817	0.268	1.847	572.290	316.372	3.949	568	312	2	9	11	5
