"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,32.264,73.264,196,130,3258650,16625.766,7342.54,13616,7512,32294,972.934,556.577,3.515,1.739,0.218,1.732,972.964,556.593,3.519,968,553,2,11,8,4,FALSE,FALSE
"2",2,18.766,56.716,114,82,1942059,17035.605,8376.059,15123.5,7541,41169,954.877,690.746,3.772,1.464,0.264,1.439,954.827,690.827,3.776,952,687,2,7,8,5,TRUE,TRUE
"3",3,37.532,85.678,228,138,5790129,25395.303,15469.18,21161.5,7529,65535,977.259,799.25,4.184,1.967,0.372,1.992,977.306,799.129,4.169,973,796,2,10,7,6,TRUE,TRUE
"4",4,33.911,87.435,206,132,3699854,17960.457,9571.633,15083,7520,47289,922.053,846.243,4.117,1.893,0.392,1.94,922.049,846.265,4.06,919,840,2,7,13,5,TRUE,TRUE
"5",5,39.343,91.538,239,150,5042889,21099.953,10990.24,18215,7545,48849,623.444,657.36,5.753,1.883,0.283,1.888,623.425,657.442,5.727,619,652,3,10,11,6,TRUE,TRUE
"6",6,59.096,129.943,359,243,6139678,17102.168,7360.357,15099,7498,40027,638.596,694.507,4.295,2.2,0.603,2.218,638.621,694.733,4.252,633,687,3,12,16,4,TRUE,FALSE
"7",7,17.284,51.543,105,87,1289113,12277.267,3702.339,11888,7484,21639,880.01,695.21,4.048,1.351,0.263,1.315,880.061,695.185,4.046,876,692,3,9,8,3,TRUE,TRUE
"8",8,11.358,38.235,69,63,795521,11529.29,2873.377,10912,7492,19752,972.667,699.768,3.667,1.113,0.284,1.141,972.731,699.827,3.676,970,697,3,6,7,3,TRUE,TRUE
"9",9,11.029,38.579,67,65,770311,11497.179,2556.938,11130,7584,18867,981.731,699.91,3.597,1.133,0.375,1.113,981.657,699.973,3.629,978,697,3,9,6,3,TRUE,TRUE
"10",10,15.145,46.269,92,66,1340856,14574.521,5800.415,12014,7655,28027,746.75,704.924,4.402,1.36,0.241,1.375,746.714,704.942,4.394,744,702,3,6,7,4,TRUE,FALSE
"11",11,17.614,57.543,107,87,1423799,13306.532,5138.465,11867,7475,26163,874.449,709.065,4.355,1.479,0.369,1.472,874.336,708.862,4.321,871,705,3,9,9,4,TRUE,TRUE
"12",12,2.963,17.618,18,18,165678,9204.333,1415.123,8614,7549,11995,846.722,712.944,4.222,0.731,0.242,0.777,846.666,712.868,4.222,845,712,3,5,4,3,TRUE,FALSE
"13",13,32.1,79.264,195,130,3583408,18376.451,9223.909,15817,7497,41133,634.318,719.487,4.472,1.824,0.395,1.811,634.248,719.475,4.483,631,715,3,9,11,4,TRUE,TRUE
"14",14,14.651,45.028,89,69,1262243,14182.506,5170.631,13217,7797,28812,958.326,718.214,4.022,1.29,0.231,1.268,958.376,718.229,3.989,956,715,3,6,7,4,TRUE,TRUE
"15",15,34.075,80.85,207,138,3940406,19035.777,7953.958,16805,7498,38693,843.348,727.763,4.478,1.859,0.383,1.824,843.233,727.804,4.491,838,723,3,11,10,4,TRUE,TRUE
"16",16,15.968,50.924,97,76,1599678,16491.525,7647.264,14698,7484,39553,949.773,732.485,4.093,1.412,0.335,1.377,949.663,732.608,4.015,946,728,3,8,8,4,TRUE,TRUE
"17",17,29.466,73.264,179,126,2506597,14003.335,4583.947,13766,7490,24327,905.799,735.184,4.726,1.657,0.289,1.687,905.742,735.162,4.72,901,731,3,10,9,4,FALSE,FALSE
"18",18,25.515,76.506,155,114,2775194,17904.477,7596.136,17229,7648,40681,953.271,807.271,5.032,1.704,0.467,1.783,953.229,807.307,5.021,948,803,3,11,10,5,FALSE,FALSE
"19",19,49.713,137.496,302,216,5108083,16914.182,8183.364,14915.5,7486,46357,490.642,810.854,5.01,2.296,0.711,2.276,490.597,810.283,5.015,486,804,3,11,16,5,TRUE,TRUE
"20",20,37.203,96.089,226,159,4003745,17715.686,7735.247,16805,7485,43009,772.323,822.15,4.929,1.923,0.575,1.975,772.326,822.287,4.933,768,816,3,9,13,5,TRUE,TRUE
"21",21,46.75,106.88,284,184,6201964,21837.902,11813.091,19064,7498,54205,571.937,836.923,5.317,2.097,0.52,2.051,571.895,836.942,5.321,565,833,3,15,8,6,FALSE,FALSE
"22",22,20.083,56.853,122,94,2165969,17753.844,7183.3,16755.5,7681,40960,431.656,846.525,4.934,1.442,0.289,1.444,431.71,846.499,4.955,429,843,3,6,9,5,TRUE,TRUE
"23",23,22.223,59.577,135,94,2573524,19063.141,9303.813,17390,7509,43142,437.985,854.926,4.756,1.543,0.249,1.517,438.057,854.893,4.77,435,851,3,7,9,5,FALSE,FALSE
"24",24,24.692,71.025,150,105,3117241,20781.607,11741.507,17234,7509,52432,998.133,477.52,6.353,1.677,0.347,1.693,998.074,477.484,6.328,994,474,4,9,8,6,FALSE,FALSE
"25",25,16.791,56.542,102,89,1237722,12134.529,3649.542,11112.5,7666,21330,793.961,595.431,4.814,1.467,0.463,1.426,794.047,595.33,4.763,790,591,4,9,10,3,TRUE,TRUE
"26",26,38.355,86.264,233,144,6032294,25889.674,16603.635,20196,7478,65535,783.549,665.888,5.897,1.948,0.315,1.998,783.483,665.825,5.828,780,662,4,9,9,5,TRUE,TRUE
"27",27,58.932,135.22,358,228,7349715,20529.93,11337.737,16798.5,7481,48609,855.022,690.659,5.679,2.297,0.567,2.228,855.181,690.137,5.701,850,685,4,11,16,5,FALSE,FALSE
"28",28,9.383,35.926,57,46,728953,12788.649,4629.882,10957,7537,27357,826.982,723.579,5.807,1.168,0.268,1.159,826.941,723.672,5.774,824,721,4,7,6,4,TRUE,FALSE
"29",29,27.984,70.955,170,118,3311647,19480.277,9604.796,17252.5,7643,46172,550.135,742.565,6.4,1.695,0.337,1.659,550.193,742.486,6.387,546,739,4,9,9,6,FALSE,FALSE
"30",30,37.532,89.677,228,142,5697746,24990.113,15442.595,19934,7490,65535,685.899,771.671,6.096,1.981,0.43,2.057,685.918,771.611,6.095,682,766,4,8,12,5,FALSE,FALSE
"31",31,16.626,56.716,101,79,1578001,15623.772,6904.29,13913,7468,40519,991.901,773.436,5.634,1.477,0.38,1.506,991.98,773.337,5.681,988,771,4,9,7,4,TRUE,TRUE
"32",32,28.149,67.953,171,134,2220566,12985.766,3768.191,12293,7756,23996,892.123,779.743,5.076,1.602,0.373,1.578,892.153,779.618,5.095,887,776,4,11,9,3,TRUE,TRUE
"33",33,8.889,31.271,54,45,667684,12364.519,3783.457,11319,7508,20929,1001.352,786.778,4.852,1.087,0.195,1.11,1001.362,786.73,4.791,999,785,4,6,5,3,FALSE,FALSE
"34",34,14.98,56.853,91,82,1041112,11440.791,2799.091,10823,7525,20888,776.44,797.352,4.857,1.606,0.663,1.516,776.385,797.459,4.856,772,793,4,9,12,3,TRUE,TRUE
"35",35,32.594,82.228,198,135,3168319,16001.611,6729.363,14036.5,7540,37419,676.222,796.576,6.162,1.728,0.299,1.754,676.232,796.607,6.146,672,792,4,10,10,5,TRUE,FALSE
"36",36,40.989,94.021,249,155,5253949,21100.197,10410.7,20784,7524,47099,588.141,812.695,6.072,1.913,0.285,1.938,588.065,812.543,6.088,584,809,4,9,9,5,FALSE,FALSE
"37",37,46.257,100.81,281,186,5030028,17900.455,7619.194,16700,7534,36710,393.69,841.957,5.569,1.996,0.439,1.968,393.664,842.068,5.591,388,837,4,12,11,5,TRUE,FALSE
"38",38,50.372,110.464,306,199,5580177,18235.873,7945.929,17050,7509,38593,632.281,866.546,6.337,2.037,0.438,1.971,632.231,866.512,6.288,625,862,4,15,10,5,TRUE,FALSE
