"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,34.404,85.812,209,158,5191077,24837.689,8503.54,25045,13381,41728,685.11,26.105,3.789,1.728,0.393,1.732,685.231,26.14,3.717,681,20,2,10,13,4,FALSE,FALSE
"2",2,27.984,70.921,170,113,6088276,35813.387,18049.037,30783.5,13559,65535,880.371,85.159,4.153,1.762,0.386,1.844,880.286,85.147,4.151,875,83,2,11,5,5,FALSE,FALSE
"3",3,10.206,39.131,62,55,1163934,18773.129,4270.49,17568,13444,32546,956.161,93.935,3.21,1.149,0.313,1.158,956.163,93.988,3.195,953,90,2,6,8,3,TRUE,FALSE
"4",4,38.355,104.709,233,159,7833151,33618.672,15635.977,29679,13609,65535,843.704,107.3,3.661,2.211,0.779,2.26,843.395,107.39,3.673,837,103,2,16,10,5,FALSE,FALSE
"5",5,25.68,69.643,156,125,3707421,23765.52,7621.735,21748.5,13457,43024,936.833,126.205,3.154,1.536,0.339,1.533,936.905,126.23,3.182,932,122,2,10,9,4,TRUE,FALSE
"6",6,24.692,70.61,150,117,4393667,29291.113,12392.058,25192,13541,62130,1003.447,136.887,3.793,1.808,0.615,1.799,1003.291,136.852,3.777,997,135,2,15,5,4,FALSE,FALSE
"7",7,26.009,76.988,158,122,3966442,25104.062,8576.546,23652,13386,45912,970.532,175.538,3.576,1.678,0.52,1.698,970.466,175.523,3.55,968,170,2,6,12,4,TRUE,TRUE
"8",8,18.931,57.161,115,99,2263000,19678.262,4968.711,18591,13410,32383,958.774,266.765,3.183,1.374,0.324,1.384,958.77,266.682,3.204,955,262,2,8,10,3,TRUE,FALSE
"9",9,36.544,100.017,222,174,5555331,25024.014,9698.244,22486,13367,53863,664.752,440.333,3.644,1.946,0.585,1.97,664.446,440.215,3.649,660,434,2,13,13,4,TRUE,TRUE
"10",10,7.737,42.304,47,47,780248,16601.021,2379.361,16023,13785,24789,831.638,8.468,3.681,1.078,0.354,1.126,831.589,8.59,3.699,829,5,3,7,8,2,TRUE,FALSE
"11",11,12.511,47.578,76,76,1322242,17397.922,2231.237,17149.5,13923,23604,963.145,12.316,3.579,1.241,0.402,1.248,963.134,12.267,3.578,959,9,3,9,9,2,TRUE,TRUE
"12",12,29.466,79.193,179,139,4421540,24701.34,8453.147,23763,13438,48339,631.95,10.196,4.715,1.718,0.49,1.736,631.899,10.223,4.713,627,6,3,12,9,4,TRUE,TRUE
"13",13,2.305,19.653,14,14,208273,14876.643,930.925,14894.5,13595,16151,885.643,27.429,3.429,0.882,0.318,0.823,885.648,27.445,3.424,884,25,3,5,6,2,TRUE,FALSE
"14",14,12.84,72.056,78,78,1299136,16655.59,2168.478,16551,13371,23142,591.308,41.667,3.936,1.894,0.985,1.845,591.347,41.603,3.945,587,35,3,9,17,3,FALSE,FALSE
"15",15,17.943,49.612,109,85,2795249,25644.486,9477.786,23861,13622,52895,743.606,72.092,4.037,1.389,0.294,1.385,743.619,72.085,4.038,740,68,3,7,9,3,FALSE,FALSE
"16",16,26.997,67.92,164,118,4257102,25957.939,8698.589,24352,13498,45979,693.677,74.921,4.823,1.613,0.302,1.607,693.677,74.886,4.811,690,70,3,8,10,4,TRUE,FALSE
"17",17,1.975,13.067,12,12,188964,15747,2189.806,15018.5,13860,21802,961.083,91.167,3.333,0.675,0.214,0.623,961.076,91.141,3.313,960,90,3,3,4,2,TRUE,TRUE
"18",18,30.947,67.401,188,145,4641986,24691.414,7325.737,23765.5,13367,46975,723.011,96.346,3.952,1.629,0.345,1.65,723.039,96.498,3.917,719,92,3,9,10,3,FALSE,FALSE
"19",19,3.786,24.548,23,22,366040,15914.782,2641.051,14916,13416,21985,800.739,110.435,4.13,0.863,0.307,0.893,800.74,110.499,4.126,798,108,3,6,6,3,TRUE,TRUE
"20",20,30.618,80.471,186,117,6644857,35725.039,18968.316,29858,13493,65535,647.581,131.414,5.118,1.819,0.345,1.847,647.572,131.427,5.115,643,128,3,10,8,5,FALSE,FALSE
"21",21,23.54,71.125,143,125,2764863,19334.707,4161.612,18855,13381,29920,939.168,147.811,3.832,1.522,0.456,1.516,939.149,147.748,3.825,934,143,3,10,9,3,FALSE,FALSE
"22",22,32.594,77.882,198,159,4798400,24234.344,6764.102,24188.5,13429,43411,898.5,149.288,3.924,1.679,0.418,1.664,898.559,149.309,3.871,895,144,3,9,11,3,FALSE,FALSE
"23",23,33.746,80.401,205,136,7187788,35062.379,15789.421,29821,13380,65535,639.844,185.224,4.649,1.811,0.339,1.764,639.862,185.152,4.683,635,182,3,11,9,5,FALSE,FALSE
"24",24,24.034,60.849,146,143,3099585,21230.035,5048.884,20702.5,13486,39072,272.733,185.514,4.5,1.457,0.463,1.528,272.612,185.301,4.516,269,181,3,9,11,4,FALSE,FALSE
"25",25,27.491,67.542,167,110,5667530,33937.305,16945.271,29595,13373,65535,669.796,209.91,5.09,1.718,0.338,1.711,669.877,209.983,5.098,667,206,3,6,9,5,FALSE,FALSE
"26",26,31.606,85.538,192,141,5104278,26584.781,10784.086,23247,13374,57018,336.995,245.729,4.464,1.866,0.548,1.874,336.863,245.758,4.501,332,241,3,13,10,4,FALSE,FALSE
"27",27,32.264,90.055,196,138,6101480,31130,13508.306,29348.5,13393,65535,638.184,254.133,5.224,1.801,0.432,1.819,638.21,254.084,5.192,634,249,3,11,11,5,TRUE,FALSE
"28",28,17.778,55.371,108,81,2530924,23434.482,8048.36,21257,13477,49087,832.296,278.648,4.491,1.458,0.311,1.479,832.315,278.677,4.475,830,274,3,6,9,4,TRUE,FALSE
"29",29,6.914,32.064,42,42,718542,17108.143,3070.372,16667,13373,25657,798.524,298.595,3.429,1.007,0.387,0.883,798.434,298.63,3.41,795,296,3,9,6,2,TRUE,TRUE
"30",30,10.535,41.27,64,57,1270906,19857.906,4434.428,19017,13459,29290,960.656,316.578,4.234,1.168,0.322,1.16,960.643,316.603,4.256,958,313,3,7,8,3,TRUE,FALSE
"31",31,10.041,41.889,61,61,1031529,16910.311,2952.601,15690,13369,23996,436.918,320.098,4.328,1.138,0.425,1.087,436.852,320.074,4.337,434,317,3,8,8,3,FALSE,FALSE
"32",32,30.618,72.641,186,143,4190534,22529.752,7242.504,20815.5,13380,44706,465.285,326.43,4.091,1.653,0.381,1.646,465.426,326.476,4.072,461,321,3,10,11,3,FALSE,FALSE
"33",33,13.992,44.476,85,70,1716320,20192,5112.425,19414,13654,34591,612.212,390.976,4.8,1.254,0.263,1.25,612.299,390.883,4.788,609,389,3,8,6,4,FALSE,FALSE
"34",34,34.24,88.158,208,157,6316469,30367.639,11783.368,29387.5,13428,62295,578.188,399.385,4.159,1.94,0.675,1.889,578.133,399.453,4.163,571,395,3,16,10,4,TRUE,FALSE
"35",35,28.149,73.956,171,110,7087362,41446.562,19646.883,37016,13856,65535,337.585,435.602,5.058,1.847,0.412,1.976,337.597,435.606,5.072,334,432,3,9,8,5,FALSE,FALSE
"36",36,25.515,67.575,155,113,4527260,29208.129,11846.351,26372,13381,59465,356.768,440.232,4.948,1.585,0.344,1.551,356.803,440.163,4.972,352,436,3,10,9,5,TRUE,TRUE
"37",37,5.268,30.374,32,32,499548,15610.875,2036.059,15007.5,13389,20601,879.875,4.531,4.188,1,0.377,1.031,879.887,4.493,4.169,877,3,4,8,5,2,FALSE,FALSE
"38",38,5.926,29.926,36,36,630446,17512.389,3069.53,16873.5,13439,23382,897.306,16.361,4.75,1.093,0.445,1.01,897.306,16.384,4.786,893,15,4,10,4,2,FALSE,FALSE
"39",39,22.552,67.093,137,107,3865583,28215.934,11305.695,26599,13604,65249,824.555,87.365,5.102,1.686,0.54,1.627,824.586,87.331,5.121,820,82,4,9,11,4,FALSE,FALSE
"40",40,3.622,18.789,22,22,397496,18068,2931.618,17709.5,14282,24540,773.136,85.409,5,0.827,0.375,0.772,773.14,85.378,5.001,770,84,4,7,4,3,TRUE,FALSE
"41",41,28.643,69.747,174,128,5252735,30188.133,13083.034,28518.5,13387,65535,539.529,102.437,5.793,1.626,0.312,1.634,539.281,102.287,5.822,535,99,4,11,8,4,TRUE,FALSE
"42",42,5.761,28.788,35,35,599360,17124.572,2408.854,16894,13378,23900,737.886,106.371,4.257,0.978,0.274,1.021,737.888,106.324,4.235,736,104,4,5,6,2,FALSE,FALSE
"43",43,6.749,30.582,41,41,794551,19379.293,4898.833,18210,13505,32833,1017.195,107.098,5.171,0.99,0.354,0.947,1017.247,107.077,5.173,1015,104,4,4,8,3,TRUE,TRUE
"44",44,21.4,63.405,130,90,4373166,33639.738,14994.66,33178,13561,65535,703.6,136.262,6.031,1.628,0.399,1.637,703.628,136.238,6.039,699,133,4,9,7,5,FALSE,FALSE
"45",45,21.564,58.336,131,94,4067022,31045.969,13914.448,26534,13531,65072,550.557,157.282,5.427,1.526,0.264,1.536,550.529,157.274,5.404,547,154,4,8,8,4,FALSE,FALSE
"46",46,11.358,49.82,69,60,1319719,19126.363,5115.983,16997,13376,35360,221.58,170.174,5,1.222,0.385,1.333,221.571,170.225,5,218,166,4,8,9,3,TRUE,TRUE
