"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,79.179,178.799,481,307,14549255,30247.932,15489.777,26361,12064,65535,174.588,199.407,4.699,2.893,0.916,2.984,174.947,199.197,4.608,166,190,2,17,19,6,TRUE,TRUE
"2",2,26.832,69.643,163,126,3669309,22511.098,7819.53,21966,12139,40112,227.472,221.693,3.675,1.565,0.312,1.597,227.484,221.688,3.628,223,218,2,10,8,4,TRUE,TRUE
"3",3,39.014,85.538,237,156,7716998,32561.174,17220.783,27670,12051,65535,188.624,145.949,4.591,1.907,0.379,1.907,188.662,145.568,4.541,186,141,3,7,12,5,TRUE,TRUE
"4",4,16.461,51.095,100,87,1891569,18915.689,5651.396,17128.5,12170,35121,102.19,158.94,4.03,1.332,0.299,1.315,102.197,159.069,4.049,99,155,3,7,9,3,TRUE,TRUE
"5",5,31.277,77.159,190,137,4522368,23801.938,9996.859,21822,12048,55549,220.621,162.837,4.263,1.671,0.281,1.702,220.578,162.858,4.231,216,159,3,10,9,4,TRUE,TRUE
"6",6,34.24,79.331,208,155,4908670,23599.375,8288.444,21567,12134,46448,214.332,171.245,4.135,1.677,0.347,1.726,214.404,171.375,4.169,209,167,3,11,9,4,TRUE,TRUE
"7",7,15.803,44.372,96,76,2300238,23960.812,8425.403,21871,12356,48400,86.573,173.271,4.094,1.295,0.2,1.291,86.564,173.434,4.077,84,170,3,7,8,3,TRUE,FALSE
"8",8,11.688,41.166,71,59,1472582,20740.592,7362.917,18954,12042,41634,128.07,185.986,4.648,1.194,0.284,1.14,128.018,186.112,4.614,126,182,3,5,9,4,TRUE,TRUE
"9",9,41.647,101.57,253,168,6795869,26861.143,12834.938,24122,12072,65535,224.178,189.889,4.585,2.002,0.507,1.981,224.566,189.661,4.607,218,185,3,13,11,5,TRUE,TRUE
"10",10,46.915,93.535,285,176,9359363,32839.871,15776.99,26862,12092,65535,89.874,213.498,4.547,1.959,0.286,1.951,89.874,213.562,4.541,86,208,3,9,12,5,FALSE,FALSE
"11",11,14.157,44.338,86,67,2026444,23563.303,9423.825,20940,12075,46481,209.512,225.93,4.221,1.297,0.242,1.298,209.533,225.946,4.23,207,223,3,6,7,4,TRUE,TRUE
"12",12,31.606,89.948,192,165,3778660,19680.521,5742.129,18727,12194,35065,132.708,234.625,4.245,1.786,0.582,1.841,132.977,234.821,4.254,127,228,3,13,13,3,TRUE,TRUE
"13",13,17.449,52.992,106,75,2508166,23661.943,10490.861,20163,12080,52849,224,243.792,4.292,1.423,0.276,1.422,223.941,243.864,4.284,221,240,3,7,9,4,TRUE,TRUE
"14",14,32.923,80.505,200,129,6241377,31206.885,15527.774,27988.5,12194,65535,219.275,274.315,4.94,1.762,0.292,1.789,219.223,274.383,4.942,215,270,3,9,9,5,TRUE,TRUE
"15",15,28.478,76.503,173,143,3598113,20798.342,6081.292,20479,12143,38038,140.786,272.428,4.653,1.687,0.549,1.637,140.849,272.475,4.593,138,266,3,7,14,4,TRUE,TRUE
"16",16,27.326,72.782,166,115,4387007,26427.754,12188.521,23928,12116,63000,254.789,284.078,4.988,1.656,0.353,1.63,254.856,284.087,4.989,250,281,3,10,8,5,FALSE,FALSE
"17",17,25.68,67.093,156,111,4307896,27614.719,12659.721,23214.5,12182,59257,207.218,285.244,4.583,1.651,0.326,1.667,207.203,285.232,4.587,203,282,3,10,7,4,TRUE,TRUE
"18",18,29.795,82.436,181,128,5149292,28449.127,14299.55,23757,12034,65535,148.586,292.669,4.917,1.797,0.451,1.846,148.642,293.042,4.921,146,285,3,6,14,5,TRUE,TRUE
