"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,32.264,80.538,196,140,6456552,32941.594,15566.584,28632.5,13268,65535,622.724,165.026,4.969,1.693,0.323,1.692,622.818,164.943,4.937,619,160,3,8,11,5,FALSE,FALSE
"2",2,24.034,64.577,146,104,4785879,32779.992,15173.303,29123.5,13300,65535,563.5,216.76,5.288,1.604,0.313,1.61,563.508,216.62,5.215,560,212,3,7,9,5,FALSE,FALSE
"3",3,58.273,129.254,354,232,11295966,31909.508,15715.695,26461,13240,65535,583.811,223.788,5.339,2.303,0.675,2.189,583.69,223.872,5.28,579,216,3,11,17,5,TRUE,FALSE
"4",4,28.972,73.508,176,107,7099743,40339.449,19885.523,38749,13282,65535,640.574,232.562,5.54,1.825,0.402,1.792,640.552,232.542,5.55,637,230,3,9,7,6,TRUE,FALSE
"5",5,37.697,88.054,229,151,7873431,34381.793,16551.447,30638,13305,65535,747.852,248.62,5.271,1.86,0.339,1.84,747.873,248.552,5.17,743,243,3,10,11,5,TRUE,FALSE
"6",6,21.729,56.164,132,91,4556376,34518,17122.582,29611,13285,65535,734.72,274.841,5.394,1.55,0.237,1.578,734.767,274.881,5.321,731,272,3,8,6,5,TRUE,TRUE
"7",7,48.561,107.466,295,197,10691622,36242.785,17762.266,32205,13292,65535,753.858,278.092,5.461,2.167,0.593,2.119,753.862,278.086,5.381,746,275,3,16,8,5,FALSE,FALSE
"8",8,52.677,123.843,320,203,11556690,36114.656,17823.777,32102,13275,65535,711.609,280.941,4.981,2.301,0.673,2.288,711.797,280.706,4.969,704,276,3,15,13,5,FALSE,FALSE
"9",9,36.051,89.225,219,167,6536419,29846.662,12426.269,27474,13313,65535,535.493,300.26,4.959,1.869,0.572,1.793,535.228,300.168,4.918,529,296,3,16,9,5,TRUE,FALSE
"10",10,35.392,90.952,215,137,7531930,35032.234,17683.871,32367,13236,65535,584.419,305.191,4.888,1.944,0.449,1.985,584.462,305.11,4.881,580,300,3,10,12,5,FALSE,FALSE
"11",11,26.009,67.06,158,106,5800290,36710.695,17991.096,33198,13235,65535,605.62,343.38,5.285,1.668,0.282,1.666,605.662,343.366,5.235,602,339,3,7,9,5,FALSE,FALSE
"12",12,40.66,91.882,247,157,8585524,34759.207,17710.176,32210,13278,65535,694.842,543.81,4.939,1.961,0.379,2,694.906,543.977,4.915,691,538,3,8,12,5,TRUE,TRUE
"13",13,30.289,89.918,184,138,5717254,31072.033,14869.951,28352,13299,65535,553.69,547.571,5.223,1.964,0.671,1.892,553.6,547.784,5.153,549,540,3,10,14,5,FALSE,FALSE
"14",14,32.594,77.61,198,122,8236317,41597.562,19723.607,37393.5,13238,65535,615.061,670.712,5.904,1.892,0.376,1.925,615.09,670.626,5.893,612,667,3,7,9,6,TRUE,FALSE
