 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	42.635	97.675	259	159	9249258	35711.422	18854.197	29410.000	11988	65535	341.907	43.471	5.529	1.973	0.363	1.976	341.844	43.430	5.479	338	38	3	9	12	6
2	45.763	104.190	278	177	8728351	31396.945	16040.684	28957.000	11943	65535	333.921	61.482	5.112	1.965	0.326	1.984	334.022	61.481	5.036	328	57	3	12	11	5
3	36.215	81.920	220	127	8783759	39926.176	20527.953	35331.500	11998	65535	257.714	79.750	5.764	1.986	0.422	1.976	257.690	79.727	5.768	255	76	3	7	9	6
4	62.060	130.324	377	233	13251879	35150.871	18255.484	32248.000	11993	65535	227.371	74.382	5.844	2.277	0.552	2.300	227.524	74.582	5.817	221	69	3	12	14	6
5	38.849	95.091	236	144	9429219	39954.316	20600.297	36589.000	12010	65535	360.013	79.047	6.085	2.050	0.482	2.080	359.989	79.057	6.059	355	76	3	12	7	7
6	30.454	74.609	185	128	5695481	30786.383	16510.385	25123.000	12035	65535	299.427	112.643	5.341	1.751	0.350	1.737	299.321	112.703	5.326	297	107	3	8	11	5
7	53.829	104.983	327	194	11915286	36438.184	18986.014	32717.000	12050	65535	202.018	135.098	5.749	2.095	0.247	2.108	201.968	135.148	5.725	197	130	3	10	11	6
8	50.372	103.708	306	177	11120345	36340.996	19442.504	32242.500	12113	65535	244.915	171.000	5.069	2.140	0.368	2.144	244.949	170.979	5.014	240	166	3	11	12	5
9	34.075	87.539	207	143	6843954	33062.578	17264.385	28927.000	11970	65535	270.879	176.870	5.246	1.928	0.515	1.900	270.974	176.802	5.159	268	171	3	7	13	5
10	25.515	64.128	155	105	5228281	33730.844	17490.506	28625.000	11999	65535	297.194	189.355	5.432	1.658	0.291	1.648	297.201	189.442	5.360	295	185	3	6	10	5
11	46.915	99.124	285	164	10891107	38214.410	20088.172	36542.000	11978	65535	211.642	194.625	5.642	2.102	0.383	2.137	211.649	194.521	5.608	208	190	3	8	11	6
12	47.903	106.536	291	171	10586768	36380.645	19052.500	32713.000	11967	65535	239.388	225.412	5.467	2.069	0.341	2.067	239.449	225.401	5.464	236	219	3	8	13	6
13	41.977	91.745	255	147	9523410	37346.707	19609.727	33868.000	11946	65535	331.173	235.302	5.871	1.984	0.273	2.012	331.178	235.302	5.845	327	231	3	10	10	6
14	66.669	124.221	405	233	14529372	35874.992	18594.002	32668.000	11950	65535	264.812	305.649	5.072	2.351	0.512	2.331	264.860	305.765	5.042	261	298	3	9	16	5
15	52.347	100.191	318	180	11883748	37370.277	20197.631	31228.500	12008	65535	233.664	333.994	5.013	2.117	0.264	2.097	233.700	333.994	4.970	230	329	3	9	11	5
16	47.080	99.846	286	184	10848076	37930.336	18155.008	33860.000	12016	65535	272.350	331.689	5.479	2.019	0.387	2.011	272.327	331.640	5.445	269	326	3	9	12	6
17	60.907	119.429	370	224	13628710	36834.352	18631.525	31600.000	12001	65535	298.489	343.768	5.354	2.188	0.396	2.164	298.435	343.768	5.313	294	337	3	11	13	5
18	40.989	86.676	249	161	8274013	33228.969	16243.467	28777.000	12275	65535	241.108	362.149	5.382	1.931	0.382	1.879	241.115	361.963	5.285	238	356	3	7	13	5
19	49.549	101.158	301	172	11686096	38824.238	20673.209	36436.000	12088	65535	297.219	569.352	5.538	2.159	0.427	2.189	297.266	569.271	5.520	294	564	3	7	12	6
20	70.126	149.080	426	257	15392832	36133.410	18511.914	31451.000	11955	65535	384.960	631.108	5.692	2.524	0.730	2.488	384.962	630.899	5.641	381	623	3	9	18	6
21	58.438	116.431	355	209	13883395	39108.156	20190.236	35038.000	12022	65535	372.854	702.358	5.893	2.251	0.430	2.264	372.871	702.329	5.862	370	696	3	8	14	6
22	43.787	99.053	266	170	8613755	32382.537	16554.820	28387.500	11998	65535	350.429	704.857	5.346	1.980	0.388	1.922	350.567	704.970	5.297	346	701	3	10	9	6
23	33.911	85.160	206	138	6235339	30268.637	15453.736	27955.000	12070	65535	355.277	715.325	5.306	1.880	0.423	1.882	355.376	715.184	5.213	351	711	3	10	11	5
24	31.441	76.058	191	121	6675288	34949.152	18334.555	30294.000	11980	65535	361.916	744.691	5.262	1.789	0.294	1.788	362.020	744.499	5.276	359	740	3	7	10	6
25	56.463	112.224	343	200	13174375	38409.258	19702.283	34763.000	11952	65535	432.172	821.796	6.023	2.180	0.324	2.186	432.190	821.900	5.994	428	816	3	10	12	6
26	41.812	94.640	254	166	7917427	31170.973	15854.026	26340.500	11948	65535	495.390	831.614	5.358	1.917	0.362	1.923	495.290	831.481	5.322	490	827	3	11	11	5
27	39.014	87.746	237	144	8858144	37376.137	19279.498	33736.000	11962	65535	458.354	1009.932	5.751	1.941	0.321	1.938	458.350	1009.942	5.672	455	1005	3	8	10	6
28	35.392	82.195	215	135	7697027	35800.125	19516.918	28955.000	12000	65535	212.372	10.595	6.256	1.902	0.382	1.939	212.373	10.456	6.175	210	6	4	7	11	5
29	2.963	18.308	18	18	304784	16932.445	5310.250	14515.500	12111	27652	311.056	24.111	5.000	0.692	0.283	0.710	311.071	24.117	5.006	309	22	4	5	5	3
30	35.392	82.988	215	132	7710486	35862.727	19718.000	30520.000	11943	65535	230.633	48.219	6.177	1.888	0.318	1.899	230.706	48.279	6.204	227	44	4	8	11	6
31	19.424	55.716	118	81	3083597	26132.178	11715.440	22692.500	12256	55477	273.475	61.483	5.407	1.506	0.256	1.548	273.515	61.564	5.381	271	57	4	6	9	4
