 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	20.741	55.612	126	92	3795540	30123.334	14911.302	25773.500	13260	65535	433.810	598.651	4.722	1.485	0.269	1.475	433.794	598.707	4.750	429	596	3	10	6	4
2	20.248	63.921	123	95	3015776	24518.504	9475.543	20921.000	13346	49956	204.016	681.821	4.870	1.542	0.429	1.493	204.166	681.589	4.819	200	678	3	9	10	4
3	23.869	64.058	145	114	3897770	26881.172	10425.457	26557.000	13271	53428	374.566	684.614	4.683	1.495	0.280	1.543	374.726	684.491	4.651	371	681	3	8	9	4
4	23.540	66.196	143	109	4198816	29362.350	12355.956	25674.000	13262	57902	456.413	683.986	4.790	1.538	0.319	1.561	456.444	683.936	4.745	452	680	3	9	10	4
5	28.478	74.987	173	131	4787514	27673.492	12532.680	23359.000	13270	62440	176.792	698.277	4.451	1.640	0.325	1.636	176.825	697.970	4.475	172	694	3	10	10	4
6	30.947	90.263	188	145	5790266	30799.287	14958.666	25930.500	13232	65535	324.596	696.362	5.271	1.975	0.600	1.989	324.475	696.344	5.248	318	694	3	14	7	5
7	11.194	42.096	68	62	1353204	19900.059	5060.209	18688.000	13302	34122	287.912	704.544	4.191	1.181	0.309	1.157	287.917	704.458	4.193	285	701	3	7	8	3
8	24.363	73.505	148	121	3399285	22968.143	8209.860	19903.000	13274	46026	208.020	713.392	4.250	1.659	0.537	1.691	207.697	713.392	4.281	203	709	3	12	9	4
9	31.935	78.193	194	148	5587932	28803.773	11277.258	26540.500	13258	54598	147.644	728.485	4.216	1.687	0.402	1.676	147.689	728.535	4.245	143	724	3	10	10	4
10	22.388	68.920	136	108	3354198	24663.221	9009.430	21676.500	13236	43367	210.949	746.184	4.176	1.732	0.577	1.695	210.849	746.224	4.202	205	742	3	12	9	4
