"","X1","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth"
"1","1",1,916873.125,124292.703,5569831,629852,245975367680,44162.09,8353.405,47073,9997,61519,590.181,393.427,9.937,106.601,48.81,104.197,596.595,398.471,10.108,82,200,1,942,450,19
"2","2",1,1074445.75,126710.719,6527055,618642,278989340672,42743.523,8259.596,45148,10933,59240,426.579,465.292,12.027,107.616,53.191,100.206,424.679,470.888,12.041,0,84,1,920,672,23
"3","3",1,887226.562,111469.172,5389734,556856,227800186880,42265.57,7570.335,43789,10792,58811,467.566,564.096,10.86,105.07,50.032,102.385,458.664,561.706,10.951,0,325,1,942,448,21
"4","4",1,1167514.875,138203.562,7092432,650744,303581396992,42803.566,8057.687,45089,10485,59535,511.215,410.499,12.55,134.768,68.132,133.765,509.973,411.528,12.613,4,2,1,1014,895,24
"5","5",1,1080244.25,140087.109,6562280,704792,279873290240,42648.789,8515.513,45248,10613,59012,522.767,418.983,10.421,123.457,60.937,120.63,529.71,418.686,10.562,0,105,1,1021,692,20
"6","6",1,942008.062,119769.258,5722521,595029,244258242560,42683.68,7557.711,44444,10374,57785,553.148,615.887,10.876,119.285,59.728,117.124,554.16,610.006,10.965,0,313,1,1021,537,21
"7","7",1,847641.688,115538.297,5149263,536386,234123051008,45467.293,7147.881,47839,10198,59884,580.254,449.923,10.857,126.63,68.216,122.335,592.56,465.574,11.037,102,1,1,868,1003,21
"8","8",1,721987.875,99731.406,4385940,476088,184619171840,42093.41,8662.285,43959,10869,59800,639.854,391.168,10.406,106.59,54.582,103.053,635.445,392.476,10.501,165,42,1,856,675,20
"9","9",1,607030.562,79427.352,3687596,373816,150422814720,40791.566,9327.753,43209,9774,58134,651.791,520.476,11.591,93.995,46.48,92.276,657.549,516.79,11.459,217,294,1,804,442,22
"10","10",1,983842.938,128327.125,5976660,643584,254811897856,42634.496,6406.807,43383,10310,57392,606.256,828.395,10.445,111.647,57.005,102.676,599.517,818.344,10.46,0,437,1,1022,585,20
"11","11",1,1351380.25,166593.656,8209380,869808,372183269376,45336.344,5848.636,47066,11361,59164,473.255,254.346,10.127,120.881,55.296,115.893,469.464,259.868,10.572,1,2,1,1021,578,20
