 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	38.520	90.778	234	162	7643755	32665.619	14458.932	31658.500	13097	65535	649.739	61.752	5.171	1.880	0.425	1.849	649.737	61.736	5.137	643	58	3	13	10	5
2	39.014	97.467	237	167	7601367	32073.279	15086.932	30139.000	12793	65535	572.945	90.312	5.228	1.942	0.511	1.950	572.961	90.350	5.182	568	85	3	11	12	5
3	29.960	76.195	182	124	4784702	26289.572	9813.931	24179.500	12740	50738	890.038	105.385	5.407	1.717	0.296	1.693	889.980	105.345	5.392	885	101	3	10	9	5
4	27.161	72.852	165	115	5270486	31942.340	15442.508	27058.000	12847	65535	1018.612	135.200	5.358	1.760	0.400	1.756	1018.572	135.350	5.318	1015	129	3	7	11	5
5	24.528	68.783	149	100	4448156	29853.396	14801.337	25796.000	12884	65535	926.134	191.604	4.926	1.675	0.384	1.736	926.023	191.822	5.018	922	188	3	9	8	5
6	6.914	33.891	42	41	712278	16959.000	3237.738	16334.000	12866	24415	947.071	5.881	4.881	0.999	0.337	0.995	947.008	5.951	4.897	944	4	4	7	5	3
7	51.689	96.430	314	198	9220086	29363.332	12551.924	24670.000	12829	61702	830.898	14.420	5.395	1.989	0.266	2.023	830.798	14.389	5.377	826	10	4	11	10	4
8	12.511	53.715	76	75	1237242	16279.500	2657.308	15877.000	12795	24205	587.250	43.882	4.684	1.372	0.534	1.333	587.247	43.898	4.708	585	38	4	7	12	3
9	13.169	43.786	80	64	1832663	22908.287	8419.628	21399.000	12812	46996	870.500	48.537	5.825	1.234	0.233	1.222	870.592	48.662	5.806	867	45	4	7	8	4
10	40.001	85.330	243	157	7833186	32235.334	14614.279	27027.000	12768	65535	904.107	67.255	5.601	1.877	0.309	1.858	904.027	67.161	5.621	899	63	4	10	11	4
11	25.351	65.266	154	104	5435742	35297.027	18274.709	28288.500	12734	65535	473.104	89.760	5.571	1.656	0.271	1.664	473.141	89.814	5.554	469	86	4	9	8	4
12	4.938	24.445	30	30	494335	16477.834	3018.808	15700.500	12844	25950	623.900	86.100	5.267	0.882	0.312	0.873	623.998	86.083	5.252	621	85	4	6	4	3
13	17.449	52.062	106	76	3272564	30873.246	14909.554	25344.500	12842	65535	502.547	93.028	5.500	1.469	0.269	1.509	502.553	93.034	5.492	499	90	4	8	7	4
