 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	26.174	67.542	159	105	5492854	34546.250	17599.986	31184.000	12970	65535	598.969	312.126	4.403	1.633	0.231	1.624	599.014	312.130	4.338	595	308	2	8	10	5
2	53.335	127.085	324	198	11785026	36373.535	19477.541	30185.000	12893	65535	571.448	315.596	5.543	2.507	0.902	2.386	571.081	315.932	5.219	565	309	2	14	12	8
3	26.009	62.991	158	106	5908376	37394.785	18590.402	33795.000	12984	65535	693.462	394.962	4.354	1.636	0.224	1.635	693.384	394.934	4.323	690	392	2	8	7	5
4	27.820	67.542	169	110	6196021	36662.848	18194.350	31763.000	13446	65535	510.858	433.107	4.396	1.670	0.225	1.646	510.858	433.094	4.369	508	429	2	7	9	5
5	26.338	70.747	160	113	5379092	33619.324	15808.363	30297.000	13130	65535	629.938	431.675	4.081	1.584	0.272	1.600	629.936	431.685	4.073	626	427	2	9	10	5
6	35.392	85.330	215	155	7157991	33292.980	15106.041	31561.000	12975	65535	627.047	535.786	3.967	1.787	0.400	1.794	627.163	535.832	3.959	623	530	2	9	12	5
7	23.375	73.920	142	114	3639214	25628.268	12731.915	20959.500	12893	65535	493.155	544.979	4.697	1.812	0.684	1.817	492.947	544.646	4.469	490	539	2	8	12	6
8	37.367	85.882	227	153	7645740	33681.676	16756.094	28905.000	12935	65535	484.374	567.621	3.687	1.861	0.391	1.839	484.430	567.811	3.727	481	562	2	8	12	5
9	33.911	78.849	206	142	6822008	33116.543	15015.581	31205.500	12900	65535	545.602	601.349	3.714	1.735	0.271	1.737	545.435	601.341	3.753	541	597	2	11	10	4
10	40.166	86.261	244	165	7299578	29916.303	13613.417	27754.500	13077	65535	423.889	620.201	3.697	1.858	0.310	1.843	424.055	620.295	3.695	420	615	2	9	11	4
11	16.955	54.267	103	88	2339564	22714.213	7552.291	21196.000	13099	42736	623.408	625.408	3.738	1.319	0.286	1.330	623.378	625.479	3.698	620	622	2	9	9	4
12	39.672	106.465	241	182	7034227	29187.664	13774.137	25847.000	12884	65535	532.033	696.631	3.855	2.042	0.672	2.135	532.108	696.673	3.832	527	690	2	11	15	4
13	22.881	62.509	139	93	4994353	35930.598	18297.451	31027.000	13117	65535	428.504	701.022	4.540	1.631	0.306	1.632	428.650	701.151	4.476	426	697	2	7	8	6
14	18.931	53.096	115	86	3653764	31771.861	15072.163	29278.000	12987	65535	451.600	718.548	4.157	1.428	0.254	1.423	451.679	718.615	4.167	448	715	2	8	7	5
15	20.577	58.647	125	86	4416921	35335.367	17900.148	32305.000	12944	65535	564.176	749.616	4.000	1.589	0.382	1.601	564.235	749.697	4.025	561	745	2	6	9	5
16	58.109	128.323	353	223	11084409	31400.592	15699.993	28149.000	12887	65535	579.807	781.034	4.113	2.263	0.576	2.208	580.133	780.608	4.096	573	776	2	14	13	5
17	30.618	73.886	186	114	6948747	37358.855	19043.082	34531.000	12965	65535	582.656	835.812	3.957	1.784	0.285	1.786	582.677	835.818	3.979	579	832	2	8	8	5
18	39.343	92.020	239	161	7175620	30023.514	14617.759	23793.000	12918	65535	465.967	856.987	3.536	2.082	0.628	1.928	465.977	857.176	3.533	463	849	2	6	16	4
19	39.343	94.502	239	157	7893104	33025.539	16433.906	27391.000	12921	65535	312.515	886.715	4.418	1.955	0.442	1.896	312.561	886.701	4.375	309	880	2	8	14	5
20	35.392	85.986	215	140	7192252	33452.336	16739.035	30219.000	12904	65535	421.279	893.512	4.172	1.822	0.312	1.837	421.428	893.459	4.124	416	889	2	11	10	5
21	28.643	83.674	174	160	3826397	21990.787	6417.456	20754.500	12907	38819	469.483	936.402	3.517	1.799	0.695	1.690	469.322	936.155	3.495	462	932	2	15	11	4
22	28.807	72.541	175	118	5730572	32746.125	16296.104	27937.000	12947	65535	422.257	941.103	4.029	1.725	0.327	1.711	422.262	940.995	4.043	419	937	2	8	9	5
23	55.804	108.982	339	206	11691348	34487.754	16597.928	32106.000	12886	65535	287.894	997.534	3.912	2.114	0.283	2.123	288.050	997.569	3.910	282	992	2	12	11	5
24	23.869	65.611	145	102	3939233	27167.125	12300.688	22875.000	12932	53333	514.738	1000.628	3.641	1.610	0.327	1.617	514.751	1000.536	3.622	512	995	2	6	11	4
25	23.375	67.645	142	104	3770216	26550.816	11072.353	22645.500	13126	53477	474.782	1005.472	3.472	1.657	0.377	1.662	474.841	1005.536	3.463	471	1001	2	10	8	4
26	25.515	64.921	155	106	5386410	34751.031	16502.682	32189.000	12955	65535	684.323	43.819	4.761	1.625	0.271	1.606	684.274	43.791	4.784	681	41	3	8	7	5
27	31.606	87.539	192	133	6194658	32263.844	18006.451	25336.000	12883	65535	631.036	57.036	4.969	1.931	0.584	1.962	631.231	57.383	4.935	627	50	3	9	13	5
28	17.614	51.958	107	83	3137633	29323.674	13787.959	25659.000	12938	63200	621.738	68.953	4.701	1.461	0.365	1.489	621.694	68.897	4.679	619	64	3	6	10	4
29	22.223	62.646	135	97	4279175	31697.592	16001.793	29435.000	12953	65535	631.356	85.059	4.852	1.540	0.297	1.532	631.429	85.065	4.845	628	81	3	7	9	5
30	21.071	57.268	128	87	4804153	37532.445	18809.932	31684.000	12951	65535	657.078	132.227	5.172	1.650	0.396	1.606	657.073	132.193	5.202	655	129	3	6	7	5
