 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	29.301	75.576	178	120	6510580	36576.293	19161.520	32189.000	11424	65535	377.303	350.747	4.506	1.772	0.360	1.777	377.306	350.757	4.530	373	347	2	10	8	6
2	6.255	29.203	38	38	745089	19607.605	5915.540	20163.500	11341	31962	297.816	294.184	4.447	0.947	0.315	0.923	297.895	294.128	4.465	295	292	3	7	5	4
3	22.223	61.301	135	100	3226452	23899.645	11764.071	18653.000	11343	53811	306.104	337.022	4.504	1.513	0.238	1.541	306.039	337.000	4.506	303	333	3	7	9	4
4	63.706	154.662	387	281	9370187	24212.369	11911.880	20031.000	11345	62728	219.450	342.140	4.966	2.946	1.369	2.672	219.034	343.031	4.911	214	328	3	15	25	5
5	45.269	105.706	275	186	6367222	23153.535	8994.129	22024.000	11338	50698	967.349	344.916	4.415	1.905	0.355	1.943	967.294	345.107	4.442	962	339	3	11	12	4
6	32.429	86.160	197	144	6196408	31453.848	17334.875	26311.000	11311	65535	309.660	347.091	4.609	1.932	0.547	1.898	309.667	347.061	4.633	307	342	3	8	13	4
7	40.330	84.986	245	162	6510048	26571.625	11821.602	22646.000	11330	52570	388.735	357.486	4.563	1.848	0.247	1.854	388.730	357.438	4.554	384	353	3	10	10	4
8	27.820	77.470	169	133	4023690	23808.816	10143.840	21801.000	11313	50875	426.716	362.621	4.811	1.620	0.419	1.626	426.491	362.388	4.824	422	359	3	10	10	4
9	23.211	59.956	141	103	3395931	24084.617	10240.644	22223.000	11359	53289	333.965	366.823	4.709	1.517	0.228	1.512	333.925	366.903	4.701	331	363	3	7	9	4
10	22.717	59.025	138	96	3478198	25204.334	10975.256	21421.500	11523	48195	344.283	369.123	4.638	1.538	0.210	1.541	344.312	369.189	4.615	340	366	3	9	7	4
11	41.977	149.258	255	207	5720173	22432.051	13496.189	17363.000	11403	65535	451.565	374.353	7.518	2.570	0.934	2.570	452.256	374.025	6.957	442	371	3	19	9	9
12	29.137	70.677	177	131	4164184	23526.463	9986.149	21238.000	11323	56632	351.627	379.870	4.904	1.621	0.348	1.630	351.620	379.959	4.875	347	376	3	10	9	4
