 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	49.220	126.326	299	214	7870453	26322.586	9030.345	26342.000	12985	49288	829.789	15.197	4.662	2.313	0.775	2.264	829.828	15.199	4.724	826	8	2	8	16	8
2	41.812	96.467	254	163	8023331	31587.918	15972.713	27338.000	12993	65535	773.441	14.831	4.146	1.995	0.511	1.995	773.493	14.708	4.099	770	8	2	7	15	5
3	14.651	47.233	89	83	2264164	25440.045	7860.939	25151.000	13249	40674	858.843	36.674	3.562	1.204	0.316	1.237	858.895	36.629	3.564	855	33	2	8	8	4
4	11.523	38.924	70	68	1366140	19516.285	4449.629	18971.500	12974	31623	801.957	65.443	3.471	1.101	0.302	1.132	801.930	65.422	3.460	799	62	2	7	8	3
5	23.704	72.815	144	119	3685956	25596.916	11062.623	22309.500	12986	57042	723.153	72.160	3.618	1.633	0.612	1.629	723.177	72.552	3.615	721	66	2	6	14	4
6	15.309	47.681	93	82	2267279	24379.344	7324.417	23360.000	13294	40231	727.452	105.828	3.409	1.309	0.382	1.276	727.442	105.833	3.457	723	103	2	9	7	4
7	20.248	59.748	123	108	2961414	24076.537	7819.143	23493.000	13011	45738	690.504	116.919	3.293	1.413	0.385	1.403	690.402	116.806	3.344	687	112	2	8	10	3
8	14.157	51.958	86	72	2228065	25907.732	12205.764	21921.500	12999	56383	772.105	138.070	3.616	1.509	0.575	1.542	772.391	137.800	3.570	768	135	2	9	9	4
9	62.389	153.113	379	262	11460414	30238.559	14501.427	27149.000	13025	65535	802.710	137.340	5.945	2.715	0.951	2.947	802.941	137.289	6.109	796	131	2	13	14	9
10	36.215	101.603	220	178	5985962	27208.918	11412.990	25172.000	12994	64198	811.391	267.300	3.695	2.144	0.842	2.186	811.324	267.294	3.693	803	263	2	18	9	4
