 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	2399	1588	2399	921	513386	214	0	214	214	214	935.670	8.447	9.693	8.790	2.567	8.644	935.671	8.447	9.693	920	2	3	27	17	13
2	4194	2362	4194	1429	146790	35	0	35	35	35	984.465	15.677	8.362	10.569	2.963	10.563	984.471	15.677	8.362	976	2	3	22	29	13
3	3946	2142	3946	1317	390654	99	0	99	99	99	965.225	22.289	9.305	9.964	2.343	10.035	965.227	22.289	9.305	953	10	3	22	26	13
4	1974	1282	1974	777	73038	37	0	37	37	37	982.565	39.584	7.626	7.832	2.021	7.943	982.557	39.584	7.626	972	30	3	18	21	11
5	1515	1044	1515	642	156045	103	0	103	103	103	1013.533	39.900	9.521	6.972	1.514	6.884	1013.535	39.900	9.521	1004	34	3	18	13	12
6	988	952	988	518	362596	367	0	367	367	367	594.891	43.641	10.748	6.546	2.185	6.323	594.891	43.641	10.748	585	38	3	23	13	13
7	2011	1430	2011	784	84462	42	0	42	42	42	916.238	63.302	8.146	7.964	2.111	8.266	916.226	63.302	8.146	907	51	3	23	24	10
8	2746	1878	2746	1025	1378492	502	0	502	502	502	565.710	73.859	11.656	8.996	2.453	8.930	565.711	73.859	11.656	555	59	3	24	25	15
9	501	632	501	299	58116	116	0	116	116	116	879.152	78.202	8.842	4.846	1.303	4.891	879.152	78.202	8.842	873	72	3	12	14	12
10	663	728	663	364	29172	44	0	44	44	44	870.523	82.857	7.163	5.770	1.966	5.589	870.523	82.857	7.163	860	77	3	20	16	9
11	1438	1486	1438	758	172560	120	0	120	120	120	893.353	90.864	8.107	7.691	2.434	7.781	893.355	90.864	8.107	882	80	3	22	22	12
12	2421	1690	2421	943	900612	372	0	372	372	372	570.620	93.403	10.017	8.376	1.987	8.422	570.617	93.403	10.017	561	83	3	21	23	14
13	1630	1342	1630	741	616140	378	0	378	378	378	1006.636	111.620	10.606	7.398	2.021	7.448	1006.634	111.620	10.606	996	104	3	24	15	12
14	1714	1408	1714	753	87414	51	0	51	51	51	1012.525	142.652	8.255	7.577	2.152	7.554	1012.529	142.652	8.255	1002	134	3	20	22	12
15	2070	1512	2070	857	552690	267	0	267	267	267	940.052	193.164	10.233	8.116	1.964	8.031	940.048	193.164	10.233	929	182	3	19	19	14
16	1923	1362	1923	783	517287	269	0	269	269	269	966.610	193.641	10.261	7.746	1.804	7.770	966.607	193.641	10.261	960	182	3	20	20	13
17	1498	1176	1498	651	83888	56	0	56	56	56	980.177	204.579	8.597	7.220	1.870	7.056	980.177	204.579	8.597	974	191	3	14	23	12
18	3244	2320	3244	1288	496332	153	0	153	153	153	738.095	196.985	9.372	10.087	3.191	10.135	738.095	196.984	9.372	724	180	3	26	31	13
19	4946	2752	4946	1722	786414	159	0	159	159	159	943.497	211.454	9.351	11.403	3.209	11.627	943.501	211.452	9.351	928	201	3	29	24	14
20	2834	2016	2834	1117	170040	60	0	60	60	60	1007.633	224.883	7.636	9.328	2.793	9.404	1007.649	224.883	7.636	996	213	3	26	23	12
21	4697	3036	4697	1672	1315160	280	0	280	280	280	982.217	227.664	9.403	11.525	3.808	11.479	982.224	227.664	9.403	967	212	3	28	38	14
22	882	892	882	466	54684	62	0	62	62	62	962.185	230.916	7.907	5.991	1.571	6.088	962.190	230.916	7.907	954	224	3	16	16	11
23	4723	2730	4723	1472	1369670	290	0	290	290	290	939.394	242.270	9.547	10.868	2.610	10.934	939.392	242.271	9.547	923	226	3	31	31	15
24	941	1018	941	490	63047	67	0	67	67	67	821.234	246.852	8.160	6.210	1.842	6.132	821.237	246.852	8.160	811	238	3	19	17	11
25	2543	1686	2543	916	175467	69	0	69	69	69	837.267	264.976	8.108	8.640	2.269	8.947	837.263	264.976	8.108	821	254	3	28	24	11
26	1510	1086	1510	595	111740	74	0	74	74	74	817.216	295.563	8.187	6.997	1.604	7.197	817.210	295.563	8.187	809	286	3	18	21	10
27	2545	1742	2545	988	791495	311	0	311	311	311	831.007	301.993	9.483	8.824	2.529	8.472	831.008	301.993	9.483	821	286	3	23	32	12
28	2352	1844	2352	978	183456	78	0	78	78	78	816.915	319.082	8.355	9.127	3.130	9.093	816.923	319.082	8.355	805	306	3	26	27	13
29	1460	1348	1460	726	118260	81	0	81	81	81	729.532	344.840	8.893	7.696	2.729	7.141	729.530	344.840	8.893	715	339	3	28	16	13
30	2380	1584	2380	998	233240	98	0	98	98	98	959.221	7.181	8.603	9.394	3.225	9.248	959.216	7.181	8.603	948	1	4	27	18	12
