 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	1945	1604	1945	862	229510	118	0	118	118	118	987.360	38.576	7.025	8.308	2.600	7.978	987.365	38.576	7.025	980	25	1	19	30	14
2	990	970	990	480	119790	121	0	121	121	121	1010.068	47.562	5.865	6.499	2.059	6.513	1010.066	47.562	5.865	999	38	1	19	17	10
3	1556	1176	1556	656	91804	59	0	59	59	59	1010.455	65.408	6.229	7.201	1.872	7.253	1010.460	65.408	6.229	1003	56	1	15	23	12
4	1371	980	1371	591	87744	64	0	64	64	64	967.353	100.962	5.482	6.771	1.604	6.829	967.353	100.962	5.482	959	92	1	16	19	9
5	4218	2766	4218	1647	961704	228	0	228	228	228	936.224	104.509	7.427	10.795	3.172	11.047	936.221	104.508	7.427	923	91	1	28	30	15
6	3635	2048	3635	1199	487090	134	0	134	134	134	987.103	106.457	6.881	9.639	2.141	9.694	987.107	106.457	6.881	976	97	1	25	22	14
7	3161	2064	3161	1185	433057	137	0	137	137	137	1008.262	110.771	7.658	9.618	2.815	9.639	1008.260	110.771	7.658	993	99	1	26	24	14
8	1992	1706	1992	983	135456	68	0	68	68	68	989.799	153.457	6.061	9.806	4.666	8.329	989.789	153.457	6.061	979	142	1	26	37	12
9	2811	1840	2811	1066	711183	253	0	253	253	253	962.421	211.585	7.261	9.118	2.311	8.890	962.427	211.585	7.261	948	197	1	24	24	14
10	2035	1728	2035	943	311355	153	0	153	153	153	1002.789	210.223	6.185	8.927	3.179	8.459	1002.786	210.223	6.185	994	197	1	27	23	12
11	4267	2450	4267	1520	1088085	255	0	255	255	255	981.334	218.731	7.801	10.934	3.212	10.715	981.369	218.731	7.801	972	205	1	25	31	14
12	2186	1322	2186	847	341016	156	0	156	156	156	962.207	228.089	6.624	8.095	1.854	8.002	962.215	228.089	6.624	950	221	1	26	15	12
13	3281	1968	3281	1139	515117	157	0	157	157	157	994.721	229.703	7.381	9.602	2.734	9.340	994.718	229.702	7.381	981	220	1	33	21	14
14	3249	2168	3249	1262	516591	159	0	159	159	159	965.682	246.512	6.998	9.932	2.935	9.890	965.692	246.512	6.998	950	237	1	28	24	14
15	4951	2590	4951	1496	836719	169	0	169	169	169	952.583	285.070	7.920	11.151	3.051	11.183	952.582	285.070	7.920	935	271	1	32	27	14
16	5657	3760	5657	2066	933405	165	0	165	165	165	974.499	286.112	7.284	13.532	5.237	13.140	974.501	286.112	7.284	951	261	1	37	46	14
17	3083	1984	3083	1152	258972	84	0	84	84	84	751.306	306.887	7.494	10.032	3.513	9.827	751.294	306.887	7.494	737	294	1	29	29	14
18	2521	1460	2521	813	693275	275	0	275	275	275	926.004	299.367	8.215	8.181	1.282	8.392	926.004	299.368	8.215	917	291	1	20	21	14
19	3746	2050	3746	1254	1524622	407	0	407	407	407	828.985	314.329	7.674	10.011	2.608	9.951	828.986	314.329	7.674	818	305	1	26	22	15
20	2025	1442	2025	779	172125	85	0	85	85	85	939.391	312.345	6.154	7.856	1.916	8.007	939.389	312.344	6.154	925	303	1	25	20	13
21	443	656	443	300	38984	88	0	88	88	88	922.005	321.388	5.842	5.051	1.817	4.910	922.005	321.388	5.842	915	313	1	13	15	11
22	1742	1276	1742	766	156780	90	0	90	90	90	807.246	330.717	5.541	7.855	2.290	7.588	807.239	330.716	5.541	794	325	1	24	19	11
23	6448	3852	6448	2167	2675920	415	0	415	415	415	836.239	340.187	7.569	13.235	4.410	13.093	836.238	340.193	7.569	819	324	1	39	41	15
24	6154	3878	6154	2256	2726222	443	0	443	443	443	665.951	438.666	7.927	13.500	4.606	13.694	665.953	438.667	7.927	651	416	1	33	44	16
25	2131	1448	2131	793	449641	211	0	211	211	211	687.154	10.004	7.242	7.975	1.832	7.958	687.155	10.004	7.242	676	1	2	23	21	12
26	858	748	858	404	47190	55	0	55	55	55	869.537	7.397	6.189	5.790	1.524	5.869	869.542	7.397	6.189	861	2	2	17	13	8
27	7964	4150	7964	2442	2572372	323	0	323	323	323	963.671	13.265	8.886	14.667	5.644	13.881	963.672	13.265	8.886	936	3	2	60	28	15
28	790	872	790	445	44240	56	0	56	56	56	1009.091	8.506	6.496	6.492	2.366	6.525	1009.091	8.506	6.496	997	3	2	21	13	9
29	278	498	278	221	129826	467	0	467	467	467	838.525	15.748	8.137	4.867	1.853	4.746	838.525	15.748	8.137	835	9	2	8	15	12
30	1971	1400	1971	762	638604	324	0	324	324	324	909.131	17.701	8.779	7.664	1.775	7.823	909.128	17.701	8.779	900	6	2	19	22	13
31	990	1146	990	541	57420	58	0	58	58	58	1008.179	29.174	6.147	7.328	2.824	7.171	1008.173	29.174	6.147	997	18	2	20	24	11
32	1651	1518	1651	769	189865	115	0	115	115	115	868.342	23.874	8.035	8.319	3.469	7.772	868.345	23.874	8.035	849	16	2	37	19	14
33	1616	1392	1616	766	187456	116	0	116	116	116	696.666	30.483	7.149	7.425	2.110	7.375	696.659	30.483	7.149	687	22	2	21	20	14
34	1744	1358	1744	738	568544	326	0	326	326	326	980.549	22.494	8.955	7.607	1.858	7.579	980.551	22.494	8.955	973	14	2	19	18	14
35	196	286	196	135	196	1	0	1	1	1	897.179	26.082	4.526	3.682	1.319	3.635	897.179	26.082	4.526	894	20	2	7	13	5
36	2255	1648	2255	916	263835	117	0	117	117	117	845.292	33.396	7.903	8.843	2.937	8.701	845.292	33.396	7.903	833	21	2	25	24	15
37	1475	1202	1475	676	177000	120	0	120	120	120	717.340	45.521	6.824	7.257	2.015	7.320	717.340	45.521	6.824	710	34	2	17	21	12
38	2841	1894	2841	1074	619338	218	0	218	218	218	927.995	57.121	8.095	9.291	2.785	8.944	927.994	57.121	8.095	915	41	2	25	27	13
39	2771	1920	2771	1092	1310683	473	0	473	473	473	954.020	45.001	9.476	9.037	2.434	8.851	954.019	45.001	9.476	941	33	2	31	22	15
40	347	480	347	219	1388	4	0	4	4	4	734.435	48.412	4.510	5.041	2.078	4.919	734.435	48.412	4.510	730	39	2	10	19	6
41	1156	1142	1156	579	143344	124	0	124	124	124	995.510	65.403	6.469	6.878	2.071	6.701	995.516	65.403	6.469	987	52	2	16	21	13
42	2609	1728	2609	991	573980	220	0	220	220	220	710.095	63.235	8.357	8.774	2.204	8.822	710.100	63.235	8.357	700	53	2	24	23	14
43	2607	1738	2607	1043	333696	128	0	128	128	128	924.967	78.616	6.858	9.168	2.877	8.874	924.967	78.616	6.858	913	69	2	24	26	11
44	3432	2146	3432	1245	442728	129	0	129	129	129	993.760	82.768	7.537	9.617	2.453	9.749	993.752	82.768	7.537	982	71	2	28	25	13
45	2388	1446	2388	896	804756	337	0	337	337	337	941.131	83.672	8.241	8.205	1.824	8.237	941.129	83.672	8.241	929	74	2	21	18	12
46	2229	1374	2229	781	289770	130	0	130	130	130	958.866	84.195	7.027	7.905	1.743	8.340	958.863	84.195	7.027	951	74	2	19	21	10
47	600	612	600	330	36600	61	0	61	61	61	1014.450	91.402	5.847	5.149	1.264	5.030	1014.448	91.402	5.847	1008	84	2	11	14	10
48	2341	1448	2341	880	531407	227	0	227	227	227	978.100	89.309	8.225	8.186	1.721	8.178	978.099	89.309	8.225	969	75	2	21	24	13
49	2864	2242	2864	1193	378048	132	0	132	132	132	895.461	98.041	7.715	9.696	3.001	9.755	895.453	98.041	7.715	879	86	2	30	26	14
50	1772	1498	1772	827	235676	133	0	133	133	133	818.367	102.837	6.805	8.166	2.729	8.315	818.366	102.837	6.805	804	93	2	27	21	9
51	2756	1928	2756	1069	942552	342	0	342	342	342	796.667	109.188	8.971	9.279	2.888	9.129	796.670	109.188	8.971	784	99	2	31	20	14
52	1459	1134	1459	616	202801	139	0	139	139	139	857.826	116.571	7.875	7.129	1.976	7.378	857.827	116.571	7.875	850	106	2	18	22	11
53	1309	950	1309	521	183260	140	0	140	140	140	960.791	113.486	6.825	6.565	1.397	6.722	960.798	113.486	6.825	952	105	2	18	17	10
54	491	468	491	262	11293	23	0	23	23	23	746.560	114.224	5.411	4.598	1.032	4.713	746.560	114.224	5.411	742	108	2	9	14	7
55	2371	1498	2371	918	550072	232	0	232	232	232	759.783	118.859	7.550	8.424	2.037	8.454	759.775	118.859	7.550	748	108	2	21	20	13
56	2270	1548	2270	894	531180	234	0	234	234	234	791.672	125.726	7.579	8.367	2.274	8.312	791.671	125.726	7.579	782	117	2	22	21	12
57	1743	1318	1743	695	113295	65	0	65	65	65	949.371	124.655	6.532	7.767	2.313	7.629	949.366	124.655	6.532	938	116	2	27	19	11
58	1809	1372	1809	750	119394	66	0	66	66	66	929.033	131.332	6.327	7.831	2.272	7.927	929.024	131.332	6.327	920	121	2	19	24	13
59	200	314	200	147	1000	5	0	5	5	5	910.575	128.065	4.050	4.174	1.733	4.047	910.575	128.065	4.050	904	123	2	14	11	5
60	1272	1016	1272	552	301464	237	0	237	237	237	1014.265	133.281	7.198	6.980	2.114	6.644	1014.263	133.281	7.198	1006	123	2	14	22	12
61	1657	1444	1657	793	994200	600	0	600	600	600	998.589	126.498	10.715	8.150	3.226	7.619	998.592	126.498	10.715	979	120	2	31	15	14
62	1425	1024	1425	593	336300	236	0	236	236	236	754.909	130.877	7.852	7.132	1.955	6.673	754.914	130.877	7.852	745	126	2	23	11	13
63	1115	928	1115	500	74705	67	0	67	67	67	784.915	140.963	6.097	6.367	1.713	6.579	784.919	140.963	6.097	777	130	2	17	21	9
64	702	662	702	340	101790	145	0	145	145	145	1016.671	154.138	7.238	5.609	1.628	5.288	1016.668	154.138	7.238	1013	145	2	8	18	11
65	1785	1320	1785	743	124950	70	0	70	70	70	974.850	158.893	6.148	7.646	1.899	7.628	974.857	158.893	6.148	965	149	2	17	21	14
66	1936	1446	1936	789	466576	241	0	241	241	241	827.887	152.859	7.667	7.937	2.258	8.222	827.886	152.859	7.667	819	140	2	18	24	12
67	2135	1304	2135	796	523075	245	0	245	245	245	992.060	167.134	7.662	7.811	1.459	7.938	992.059	167.134	7.662	985	160	2	17	18	12
68	3523	2712	3523	1411	521404	148	0	148	148	148	1011.391	178.833	7.626	10.666	3.606	10.268	1011.387	178.833	7.626	998	163	2	22	36	15
69	2916	1760	2916	987	1043928	358	0	358	358	358	810.438	164.121	8.438	8.798	1.904	9.053	810.440	164.121	8.438	800	152	2	23	26	14
70	309	368	309	181	22248	72	0	72	72	72	975.948	174.029	6.188	4.020	0.964	4.060	975.948	174.029	6.188	971	171	2	10	8	9
71	4757	2440	4757	1453	1184493	249	0	249	249	249	915.457	180.604	8.373	10.848	2.883	11.069	915.453	180.604	8.373	901	168	2	29	27	13
72	692	726	692	365	50516	73	0	73	73	73	968.169	178.017	6.434	5.748	1.816	5.470	968.166	178.017	6.434	962	169	2	17	16	9
73	175	300	175	124	1050	6	0	6	6	6	969.697	196.251	4.177	3.973	1.537	3.981	969.697	196.251	4.177	963	193	2	13	9	5
74	2312	1530	2312	832	883184	382	0	382	382	382	1012.778	247.685	8.635	8.166	1.779	8.060	1012.767	247.685	8.635	1003	237	2	18	22	14
75	3339	1794	3339	1093	1285515	385	0	385	385	385	480.556	255.699	8.440	9.224	1.898	9.427	480.557	255.699	8.440	469	246	2	23	22	13
76	4738	3198	4738	1716	1847820	390	0	390	390	390	647.732	269.051	9.338	11.358	3.435	11.605	647.736	269.051	9.338	628	253	2	37	30	14
77	1997	1262	1997	698	774836	388	0	388	388	388	926.556	266.612	8.443	7.586	1.328	7.662	926.559	266.612	8.443	919	257	2	18	18	13
78	1632	1164	1632	643	132192	81	0	81	81	81	1013.548	268.646	6.517	7.241	1.785	7.427	1013.544	268.646	6.517	1003	259	2	19	20	11
79	745	850	745	409	61090	82	0	82	82	82	758.360	272.552	6.068	5.818	1.718	5.867	758.357	272.552	6.068	751	266	2	17	18	8
80	208	294	208	144	6448	31	0	31	31	31	823.014	277.183	4.591	3.617	1.132	3.534	823.014	277.183	4.591	819	271	2	8	13	6
81	550	576	550	301	17600	32	0	32	32	32	996.255	276.753	5.644	5.179	1.569	5.071	996.255	276.753	5.644	989	272	2	16	10	8
82	2741	1862	2741	1037	748293	273	0	273	273	273	926.866	282.853	7.750	8.915	2.362	8.572	926.864	282.856	7.750	915	276	2	29	17	14
83	1506	1210	1506	706	801192	532	0	532	532	532	731.948	277.573	10.207	7.201	1.847	7.433	731.946	277.573	10.207	725	270	2	18	21	13
84	1190	930	1190	529	199920	168	0	168	168	168	747.654	285.257	6.489	6.588	1.892	6.798	747.652	285.257	6.489	740	278	2	20	17	9
85	3198	1930	3198	1120	550056	172	0	172	172	172	878.126	289.842	7.452	9.178	2.185	9.466	878.132	289.843	7.452	865	278	2	24	25	14
86	2223	1410	2223	796	380133	171	0	171	171	171	392.694	289.989	7.434	7.927	1.520	8.120	392.694	289.989	7.434	384	279	2	20	19	13
87	238	308	238	165	2380	10	0	10	10	10	991.555	285.172	4.441	3.678	0.999	3.692	991.555	285.172	4.441	988	282	2	10	8	5
88	227	298	227	151	7718	34	0	34	34	34	1001.075	286.203	4.907	3.578	0.955	3.550	1001.075	286.203	4.907	998	283	2	9	9	7
89	152	238	152	102	1672	11	0	11	11	11	1017.158	286.388	4.586	3.065	0.763	2.952	1017.158	286.388	4.586	1013	283	2	9	7	7
90	508	608	508	306	200660	395	0	395	395	395	806.220	286.193	8.864	5.023	1.600	4.866	806.221	286.193	8.864	800	279	2	14	13	12
91	1458	1126	1458	591	927288	636	0	636	636	636	905.210	291.903	10.786	6.675	1.413	6.946	905.210	291.903	10.786	897	284	2	17	16	14
92	6440	3746	6440	2251	2582440	401	0	401	401	401	811.084	305.838	7.863	13.847	4.887	13.839	811.086	305.838	7.863	794	284	2	38	40	13
