 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	987	782	987	438	4935	5	0	5	5	5	289.819	8.658	6.175	6.152	1.714	5.952	289.819	8.658	6.175	281	4	2	20	12	9
2	3507	2452	3507	1440	24549	7	0	7	7	7	98.492	12.819	6.293	11.654	4.880	11.008	98.492	12.819	6.293	76	5	2	49	25	9
3	3942	2382	3942	1523	55188	14	0	14	14	14	254.682	22.022	6.099	11.185	3.923	11.175	254.682	22.022	6.099	242	5	2	27	35	9
4	896	792	896	436	5376	6	0	6	6	6	225.890	9.413	6.324	6.064	1.715	5.932	225.890	9.413	6.324	219	5	2	19	12	9
5	1594	1144	1594	698	14346	9	0	9	9	9	208.156	10.927	6.467	7.477	2.106	7.430	208.156	10.927	6.467	196	4	2	24	15	9
6	1556	1030	1556	640	15560	10	0	10	10	10	269.961	12.796	6.303	7.136	1.784	7.350	269.961	12.796	6.303	263	5	2	17	19	9
7	2290	1828	2290	1080	27480	12	0	12	12	12	186.302	19.204	6.032	9.351	3.248	9.265	186.302	19.204	6.032	171	6	2	26	28	9
8	1934	1278	1934	814	21274	11	0	11	11	11	141.056	17.100	6.295	8.029	2.432	8.021	141.056	17.100	6.295	129	6	2	24	19	9
9	2865	1834	2865	1138	57300	20	0	20	20	20	239.056	41.724	5.991	9.635	3.228	9.758	239.056	41.724	5.991	226	25	2	27	28	9
10	4068	2356	4068	1586	130176	32	0	32	32	32	244.543	66.170	6.236	11.644	4.438	11.456	244.543	66.170	6.236	229	48	2	33	34	9
11	3857	2284	3857	1472	115710	30	0	30	30	30	222.464	67.213	6.040	11.399	4.244	11.181	222.464	67.213	6.040	210	44	2	25	42	9
