 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	3641	2362	3641	1331	14564	4	0	4	4	4	541.866	490.671	6.463	10.710	3.620	10.478	541.866	490.671	6.463	530	468	1	31	35	11
2	2919	1948	2919	1189	2919	1	0	1	1	1	300.417	325.065	7.070	10.488	3.933	10.429	300.417	325.065	7.070	283	307	2	30	34	10
3	6718	3242	6718	2035	322464	48	0	48	48	48	620.981	542.228	7.297	13.007	4.125	12.902	620.981	542.228	7.297	597	528	2	49	30	12
4	1544	1080	1544	668	9264	6	0	6	6	6	79.790	151.497	7.026	7.325	2.115	7.401	79.790	151.497	7.026	69	143	3	23	16	9
5	1860	1202	1860	773	14880	8	0	8	8	8	194.295	186.982	6.730	7.672	1.964	8.073	194.295	186.982	6.730	186	178	3	20	19	9
6	4241	2318	4241	1573	38169	9	0	9	9	9	210.084	198.069	6.994	11.573	4.337	11.193	210.084	198.069	6.994	189	185	3	41	22	9
7	2605	1604	2605	1006	26050	10	0	10	10	10	177.033	204.987	7.073	9.056	2.856	9.203	177.033	204.987	7.073	164	193	3	25	28	9
8	2970	1558	2970	1045	35640	12	0	12	12	12	216.289	216.736	7.353	8.963	2.136	9.382	216.289	216.736	7.353	207	208	3	23	20	10
9	1462	994	1462	684	16082	11	0	11	11	11	196.405	213.084	7.336	7.393	2.249	7.070	196.405	213.084	7.336	182	208	3	24	14	9
10	1382	1078	1382	640	22112	16	0	16	16	16	292.659	268.616	6.773	7.164	2.242	7.204	292.659	268.616	6.773	281	261	3	23	16	9
11	3911	2460	3911	1561	348079	89	0	89	89	89	267.154	276.261	8.033	11.094	3.742	11.320	267.150	276.261	8.033	250	263	3	36	28	10
12	2566	1756	2566	1019	233506	91	0	91	91	91	236.896	299.530	7.722	9.092	2.871	9.318	236.899	299.530	7.722	225	286	3	30	26	9
13	3386	1984	3386	1207	311512	92	0	92	92	92	185.522	302.804	7.896	9.756	2.622	10.120	185.522	302.804	7.896	173	290	3	27	26	11
14	4225	2702	4225	1673	409825	97	0	97	97	97	319.307	323.485	7.371	12.138	4.882	11.929	319.304	323.484	7.371	303	299	3	32	43	9
15	2449	1732	2449	1110	56327	23	0	23	23	23	328.477	355.260	6.457	9.353	3.318	9.691	328.479	355.260	6.457	316	341	3	33	26	8
16	1172	1016	1172	595	2344	2	0	2	2	2	347.267	351.416	6.235	6.835	2.051	7.004	347.267	351.416	6.235	340	341	3	18	20	7
17	1811	1242	1811	772	45275	25	0	25	25	25	283.284	356.318	7.488	7.878	2.326	7.738	283.284	356.318	7.488	273	346	3	25	18	10
18	3106	1972	3106	1290	74544	24	0	24	24	24	266.692	349.092	7.330	10.482	3.777	10.446	266.692	349.092	7.330	250	332	3	31	31	9
19	1626	1096	1626	701	42276	26	0	26	26	26	257.926	367.458	7.060	7.275	1.834	7.418	257.926	367.458	7.060	248	361	3	21	17	9
20	3154	1750	3154	1133	318554	101	0	101	101	101	273.847	374.858	8.118	9.441	2.501	9.654	273.845	374.858	8.118	261	364	3	24	27	10
21	3396	2096	3396	1344	91692	27	0	27	27	27	333.380	376.577	7.398	10.341	3.297	10.301	333.387	376.576	7.398	317	366	3	33	23	10
22	2903	1874	2903	1119	299009	103	0	103	103	103	339.097	395.851	8.363	9.727	3.264	9.542	339.101	395.851	8.363	322	386	3	33	21	11
23	3442	2158	3442	1366	99818	29	0	29	29	29	371.793	398.337	6.702	10.420	3.421	10.562	371.785	398.337	6.702	357	381	3	26	35	9
24	4612	2570	4612	1698	138360	30	0	30	30	30	393.690	409.764	7.412	11.694	3.957	11.644	393.701	409.764	7.412	377	390	3	34	35	10
25	985	832	985	508	30535	31	0	31	31	31	416.952	429.030	6.897	6.345	1.780	6.212	416.952	429.030	6.897	407	421	3	20	15	8
26	2107	1400	2107	885	67424	32	0	32	32	32	391.980	439.224	6.872	8.299	2.492	8.349	391.980	439.224	6.872	379	428	3	27	21	9
27	2683	1686	2683	1060	93905	35	0	35	35	35	377.429	455.769	7.326	9.055	2.648	9.336	377.435	455.770	7.326	366	445	3	26	23	9
28	2895	1700	2895	1110	110010	38	0	38	38	38	412.922	469.368	6.932	9.216	2.489	9.625	412.928	469.369	6.932	401	458	3	25	22	9
29	1853	1400	1853	834	75973	41	0	41	41	41	497.736	485.505	6.987	8.025	2.459	8.321	497.730	485.505	6.987	487	473	3	23	23	8
30	2565	1742	2565	1158	133380	52	0	52	52	52	637.218	563.290	7.132	9.564	3.222	9.747	637.211	563.290	7.132	622	552	3	27	29	9
31	5877	3230	5877	2275	376128	64	0	64	64	64	802.405	672.317	7.034	13.484	4.819	13.821	802.405	672.317	7.034	784	651	3	38	39	9
32	3081	1964	3081	1285	191022	62	0	62	62	62	772.130	673.576	7.285	9.941	3.126	10.220	772.140	673.578	7.285	758	660	3	29	28	9
33	5270	3244	5270	2216	347820	66	0	66	66	66	817.291	711.848	7.194	13.275	4.840	13.191	817.281	711.849	7.194	796	695	3	38	40	9
34	4271	2382	4271	1486	666276	156	0	156	156	156	840.287	715.333	7.902	11.515	4.285	10.829	840.296	715.335	7.902	831	697	3	22	43	11
35	945	784	945	406	64260	68	0	68	68	68	94.393	132.413	7.582	6.291	1.898	5.821	94.393	132.413	7.582	85	123	4	18	17	8
36	5571	3618	5571	2211	406683	73	0	73	73	73	80.258	171.421	7.699	13.813	5.368	13.266	80.255	171.421	7.699	56	156	4	51	36	9
37	1152	836	1152	479	81792	71	0	71	71	71	127.260	168.438	8.120	6.281	1.423	6.583	127.260	168.438	8.120	120	161	4	16	17	8
38	888	774	888	416	66600	75	0	75	75	75	137.961	179.196	7.895	5.868	1.522	6.081	137.961	179.196	7.895	129	171	4	17	17	8
39	2020	1374	2020	824	153520	76	0	76	76	76	172.494	186.949	7.519	8.379	2.698	8.106	172.494	186.949	7.519	157	178	4	28	17	8
40	4231	2664	4231	1547	334249	79	0	79	79	79	73.836	200.380	8.288	11.772	4.299	11.403	73.838	200.380	8.288	56	182	4	35	45	9
41	1932	1452	1932	815	154560	80	0	80	80	80	153.292	204.966	7.688	8.227	2.621	8.362	153.292	204.966	7.688	140	192	4	25	25	8
42	1742	1142	1742	747	141102	81	0	81	81	81	191.120	224.726	7.895	7.753	2.315	7.707	191.118	224.726	7.895	179	217	4	26	16	8
43	3329	2230	3329	1365	276307	83	0	83	83	83	180.734	239.827	7.792	10.759	3.987	10.407	180.737	239.827	7.792	167	220	4	34	35	9
44	2733	1668	2733	1018	470076	172	0	172	172	172	135.344	240.150	8.555	9.024	2.478	9.163	135.344	240.150	8.555	125	228	4	26	25	10
45	829	744	829	451	10777	13	0	13	13	13	119.246	241.117	7.438	6.520	2.673	6.082	119.246	241.117	7.438	113	226	4	13	23	8
46	1320	1000	1320	600	113520	86	0	86	86	86	117.663	256.812	8.218	6.816	1.841	7.131	117.663	256.812	8.218	108	249	4	20	17	8
47	1861	1414	1861	820	158185	85	0	85	85	85	276.920	257.206	7.722	8.029	2.342	8.260	276.917	257.206	7.722	266	247	4	23	21	9
48	152	240	152	104	2280	15	0	15	15	15	193.145	257.283	7.184	3.210	0.992	3.137	193.145	257.283	7.184	189	255	4	11	6	7
49	1776	1312	1776	792	30192	17	0	17	17	17	296.949	286.671	7.096	7.834	2.347	8.241	296.949	286.671	7.096	287	276	4	22	22	7
50	2737	1716	2737	1031	478975	175	0	175	175	175	157.198	285.320	8.687	9.117	2.676	9.244	157.200	285.320	8.687	146	273	4	24	28	10
51	2762	1946	2762	1185	256866	93	0	93	93	93	277.499	302.985	8.075	9.769	3.341	9.892	277.496	302.985	8.075	262	291	4	33	26	9
52	580	562	580	326	11020	19	0	19	19	19	209.860	300.497	6.879	5.193	1.572	5.094	209.860	300.497	6.879	204	292	4	11	18	6
53	1944	1556	1944	937	38880	20	0	20	20	20	220.470	313.944	7.206	9.152	3.692	8.722	220.470	313.944	7.206	212	294	4	20	33	8
54	1995	1500	1995	853	41895	21	0	21	21	21	256.152	317.344	7.396	8.335	2.548	8.409	256.152	317.344	7.396	245	307	4	24	25	8
55	2012	1376	2012	813	197176	98	0	98	98	98	218.005	338.206	7.805	7.996	2.261	8.366	218.003	338.206	7.805	207	328	4	25	23	8
56	2817	1986	2817	1164	278883	99	0	99	99	99	249.584	344.857	7.966	10.385	4.057	9.974	249.587	344.857	7.966	230	332	4	33	29	9
57	3120	1744	3120	1216	555360	178	0	178	178	178	307.094	370.078	8.862	9.559	2.759	10.166	307.090	370.078	8.862	296	357	4	24	25	9
58	787	846	787	466	22036	28	0	28	28	28	378.216	375.141	6.634	6.494	2.486	6.327	378.216	375.141	6.634	366	369	4	24	14	7
59	250	306	250	164	750	3	0	3	3	3	386.772	384.728	6.276	3.650	0.923	3.608	386.772	384.728	6.276	382	382	4	11	7	6
60	1127	1170	1127	649	114954	102	0	102	102	102	357.018	379.159	7.229	7.554	3.015	7.387	357.019	379.159	7.229	350	367	4	17	30	8
61	3541	2196	3541	1391	371805	105	0	105	105	105	364.043	420.671	8.308	10.837	3.957	10.447	364.040	420.670	8.308	352	407	4	37	29	10
62	2790	1934	2790	1214	290160	104	0	104	104	104	338.058	417.480	8.216	10.187	3.828	9.944	338.058	417.480	8.216	320	407	4	31	28	8
63	1302	1034	1302	622	238266	183	0	183	183	183	419.032	413.421	8.541	6.997	2.109	7.195	419.033	413.421	8.541	412	402	4	17	20	9
64	1024	728	1024	480	108544	106	0	106	106	106	403.573	426.489	7.697	6.066	1.424	6.141	403.571	426.489	7.697	395	422	4	16	12	8
65	4705	3116	4705	1889	508140	108	0	108	108	108	441.748	431.249	8.159	12.772	5.144	12.466	441.759	431.249	8.159	425	417	4	49	30	9
66	2313	1736	2313	1057	247491	107	0	107	107	107	373.575	435.522	8.211	10.080	4.252	9.267	373.578	435.522	8.211	354	426	4	36	26	9
67	2243	1464	2243	910	74019	33	0	33	33	33	417.013	446.082	7.264	8.507	2.441	8.785	417.007	446.082	7.264	406	437	4	23	22	8
68	2922	2208	2922	1345	99348	34	0	34	34	34	489.911	451.594	7.070	11.332	4.843	10.633	489.903	451.594	7.070	480	436	4	29	38	8
69	2963	2280	2963	1374	325930	110	0	110	110	110	461.696	451.602	7.853	10.980	4.279	10.777	461.700	451.603	7.853	444	436	4	38	34	9
70	1104	908	1104	582	120336	109	0	109	109	109	473.928	445.383	8.014	6.729	2.067	6.459	473.926	445.382	8.014	468	433	4	12	26	8
