 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	4010	2092	4010	1205	84210	21	0	21	21	21	284.265	187.826	7.203	9.940	2.271	10.210	284.259	187.826	7.203	267	172	1	30	29	13
2	3872	2042	3872	1246	61952	16	0	16	16	16	160.607	382.203	6.805	10.179	2.835	10.268	160.607	382.203	6.805	149	366	1	24	30	12
3	5356	2736	5356	1716	439192	82	0	82	82	82	345.473	433.588	6.880	12.112	3.910	11.922	345.466	433.588	6.880	333	411	1	29	39	12
4	732	802	732	399	2196	3	0	3	3	3	348.288	369.060	5.363	6.394	2.478	6.111	348.288	369.060	5.363	341	359	2	18	19	8
5	4347	2558	4347	1557	452088	104	0	104	104	104	409.203	147.156	8.331	11.425	3.928	10.904	409.194	147.156	8.331	393	125	3	31	36	11
6	5079	3320	5079	2008	538374	106	0	106	106	106	302.055	154.116	7.940	12.924	4.806	12.906	302.050	154.116	7.940	285	139	3	34	41	10
7	368	538	368	232	2208	6	0	6	6	6	341.356	148.492	6.484	4.908	1.808	4.559	341.356	148.492	6.484	332	141	3	17	16	7
8	1138	1094	1138	580	224186	197	0	197	197	197	323.046	143.151	8.631	7.006	2.394	6.623	323.045	143.151	8.631	314	133	3	18	22	11
9	4928	2932	4928	1850	517440	105	0	105	105	105	373.936	148.130	8.613	12.029	4.055	12.365	373.934	148.130	8.613	356	133	3	39	33	11
10	1832	1284	1832	716	201520	110	0	110	110	110	317.550	181.827	8.068	7.576	1.932	7.933	317.553	181.827	8.068	308	172	3	20	21	10
11	2131	1952	2131	1052	236541	111	0	111	111	111	357.541	179.698	7.802	9.824	3.785	9.641	357.543	179.698	7.802	341	165	3	35	26	9
