Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
42	114	42	41	48914	1164.619	183.930	1193.000	1	1193	450.167	489.857	6.476	2.021	0.803	1.900	450.219	489.878	6.561	448	489	3	5	5	7
155	276	155	115	310	2.000	0.000	2.000	2	2	430.697	496.219	4.794	3.362	1.207	3.295	430.697	496.219	4.794	425	492	3	10	9	5
205	342	205	152	820	4.000	0.000	4.000	4	4	387.820	499.083	4.815	3.735	1.323	3.517	387.820	499.083	4.815	381	496	3	13	9	5
147	256	147	115	735	5.000	0.000	5.000	5	5	422.027	500.449	4.810	3.253	1.053	3.130	422.027	500.449	4.810	418	496	3	9	10	5
212	416	212	162	3181	15.005	0.069	15.000	15	16	444.151	503.344	5.269	4.097	1.548	3.831	444.152	503.345	5.268	438	496	3	12	14	6
71	140	71	60	710	10.000	0.000	10.000	10	10	337.282	503.775	4.268	2.211	0.552	2.250	337.282	503.775	4.268	335	502	3	6	6	4
49	104	49	38	539	11.000	0.000	11.000	11	11	434.143	503.959	4.469	1.926	0.347	1.976	434.143	503.959	4.469	432	502	3	5	5	4
45	110	45	40	540	12.000	0.000	12.000	12	12	318.778	505.067	4.778	2.101	0.757	1.989	318.778	505.067	4.778	315	504	3	8	4	4
78	160	78	72	1014	13.000	0.000	13.000	13	13	327.026	504.231	6.192	2.572	0.974	2.468	327.026	504.231	6.192	324	503	3	7	4	7
305	484	305	208	5185	17.000	0.000	17.000	17	17	367.892	506.243	5.452	4.431	1.753	4.165	367.892	506.243	5.452	359	500	3	16	13	7
108	210	108	89	2160	20.000	0.000	20.000	20	20	356.269	509.778	5.176	2.790	0.872	2.816	356.269	509.778	5.176	353	505	3	8	9	6
25	78	25	25	450	18.000	0.000	18.000	18	18	418.480	508.160	4.120	1.593	0.531	1.546	418.480	508.160	4.120	417	507	3	5	4	3
8	38	8	8	10724	1340.500	815.648	1781.000	19	1781	293.125	507.875	4.250	1.348	0.623	1.355	293.659	507.670	4.496	291	507	3	4	3	3
259	462	259	207	5957	23.000	0.000	23.000	23	23	274.363	513.058	4.907	4.764	2.046	4.600	274.363	513.058	4.907	267	509	3	19	11	5
