"","Volume..pixel.3.","Surface..pixel.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...pixel.","SD.dist..to.surf...pixel.","Median.dist..to.surf...pixel.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",182,328,182,128,548,3.011,0.235,3,2,6,223.863,287.214,7.027,3.342,0.965,3.368,223.858,287.23,7.013,220,283,3,10,10,9,FALSE,FALSE
"2",535,780,535,337,2143,4.006,0.13,4,4,7,262.394,287.26,7.185,5.174,1.63,4.868,262.398,287.264,7.179,255,277,3,14,18,13,FALSE,FALSE
"3",73,160,73,62,31685,434.041,50.913,440,5,440,272.137,289.986,5.137,2.362,0.719,2.317,272.153,290.014,5.166,269,287,3,7,7,5,FALSE,FALSE
"4",78,150,78,64,624,8,0,8,8,8,244.359,295.962,4.987,2.389,0.72,2.296,244.359,295.962,4.987,242,293,3,6,7,5,FALSE,FALSE
"5",914,1192,914,556,9140,10,0,10,10,10,322.161,297.314,6.485,6.329,2.091,6.389,322.161,297.314,6.485,314,289,3,19,18,9,FALSE,FALSE
"6",241,406,241,178,113782,472.124,177.284,458,16,2381,302.44,312.319,5.585,3.96,1.409,3.749,302.325,312.25,5.694,299,305,3,8,14,7,FALSE,FALSE
"7",662,798,662,395,301655,455.672,24.139,457,17,457,322.088,312.591,6.263,5.485,1.587,5.521,322.088,312.597,6.272,316,306,3,14,17,8,FALSE,FALSE
"8",475,614,475,305,9975,21,0,21,21,21,280.105,315.082,6.048,4.748,1.364,4.593,280.105,315.082,6.048,274,310,3,12,14,8,FALSE,FALSE
"9",622,762,622,368,12440,20,0,20,20,20,337.175,311.391,6.341,5.483,1.692,5.381,337.175,311.391,6.341,331,302,3,16,17,8,FALSE,FALSE
"10",694,934,694,424,16654,23.997,0.076,24,22,24,360.102,316.947,6.911,5.752,1.865,5.707,360.102,316.947,6.911,350,310,3,19,18,8,FALSE,FALSE
"11",159,322,159,135,73811,464.22,35.053,467,25,467,259.415,317.409,5.792,3.796,1.633,3.697,259.412,317.399,5.809,255,310,3,9,13,7,FALSE,FALSE
"12",6,26,6,6,156,26,0,26,26,26,286.333,317.5,4.167,1.039,0.488,0.939,286.333,317.5,4.167,286,317,3,2,3,3,FALSE,FALSE
"13",1088,1452,1088,683,509876,468.636,178.019,461,461,4615,291.911,315.489,6.647,7.668,3.173,7.109,291.936,315.497,6.751,282,297,3,20,32,11,FALSE,FALSE
"14",1156,1484,1156,722,36862,31.888,98.176,29,29,3367,270.949,322.894,6.662,7.9,3.143,7.374,271.225,323.085,6.964,254,311,3,30,25,8,FALSE,FALSE
"15",306,442,306,223,9790,31.993,0.114,32,30,32,340.748,326.023,5.944,4.284,1.519,4.052,340.749,326.023,5.945,336,321,3,11,15,8,FALSE,FALSE
"16",493,732,493,323,15283,31,0,31,31,31,333.091,329.32,7.3,5.188,1.871,4.719,333.091,329.32,7.3,330,322,3,8,18,13,FALSE,FALSE
"17",259,392,259,176,8547,33,0,33,33,33,259.436,330.263,5.768,3.897,1.192,3.803,259.436,330.263,5.768,255,326,3,9,13,7,FALSE,FALSE
"18",179,328,179,138,6623,37,0,37,37,37,287.899,333.933,5.804,3.467,1.221,3.222,287.899,333.933,5.804,284,327,3,8,13,7,FALSE,FALSE
"19",148,230,148,103,5626,38.014,0.164,38,38,40,384.291,335.27,5.412,2.964,0.662,2.904,384.291,335.271,5.411,380,332,3,9,7,6,FALSE,FALSE
"20",149,232,149,103,6705,45,0,45,45,45,328.349,339.174,5.872,2.984,0.663,2.902,328.349,339.174,5.872,325,336,3,9,6,7,FALSE,FALSE
"21",381,546,381,255,183583,481.845,22.542,483,43,483,317.661,337.688,6.454,4.611,1.573,4.445,317.659,337.682,6.462,310,331,3,14,13,8,FALSE,FALSE
"22",249,370,249,167,11452,45.992,0.127,46,44,46,269.739,342.112,6.193,3.548,0.74,3.539,269.739,342.113,6.193,265,339,3,9,9,7,FALSE,FALSE
"23",2270,2764,2270,1252,115770,51,0,51,51,51,346.863,347.318,8.504,8.357,2.326,8.414,346.866,347.318,8.504,336,337,3,23,20,16,FALSE,FALSE
"24",1054,1322,1054,610,54404,51.617,117.417,48,48,3860,310.976,346.764,6.262,7.36,2.891,7.083,310.768,346.36,6.594,303,336,3,17,26,10,FALSE,FALSE
"25",523,974,523,405,264819,506.346,165.869,500,53,4266,287.732,349.952,8.48,5.293,1.941,5.176,287.673,350.011,8.539,281,343,3,16,13,15,TRUE,TRUE
"26",260,392,260,176,131626,506.254,28.156,508,54,508,265.854,352.908,7.085,3.734,0.963,3.57,265.85,352.911,7.099,262,348,3,8,10,11,FALSE,FALSE
"27",312,508,312,215,17784,57,0,57,57,57,301.737,352.683,6.34,3.961,1.019,3.882,301.737,352.683,6.34,297,348,3,12,10,9,FALSE,FALSE
"28",545,640,545,312,274776,504.176,19.233,505,56,505,396.125,352.028,7.051,4.98,1.339,4.906,396.128,352.028,7.058,391,345,3,10,15,9,FALSE,FALSE
"29",24,62,24,24,1464,61,0,61,61,61,329.5,357.833,4.75,1.454,0.472,1.415,329.5,357.833,4.75,328,356,3,3,5,4,FALSE,FALSE
"30",298,524,298,233,153908,516.47,26.415,518,62,518,337.06,360.641,6.48,4.137,1.403,4.02,337.052,360.649,6.49,331,357,3,14,10,8,FALSE,FALSE
"31",776,1078,776,480,48890,63.003,0.072,63,63,65,364.827,357.366,7.473,6.101,2.176,5.691,364.828,357.366,7.473,359,348,3,17,17,12,FALSE,FALSE
"32",424,570,424,262,28408,67,0,67,67,67,351.689,362.55,6.488,4.432,1.064,4.416,351.689,362.55,6.488,348,357,3,10,12,9,FALSE,FALSE
"33",846,946,846,456,55836,66,0,66,66,66,295.543,362.55,6.657,6.329,2.073,6.246,295.543,362.55,6.657,287,355,3,21,15,10,FALSE,FALSE
"34",609,852,609,406,41412,68,0,68,68,68,342.806,369.097,6.452,5.358,2.02,5.183,342.806,369.097,6.452,334,360,3,18,18,9,FALSE,FALSE
"35",532,808,532,347,36708,69,0,69,69,69,372.336,369.395,8.132,5.07,1.508,4.924,372.336,369.395,8.132,366,365,3,15,11,14,FALSE,FALSE
"36",299,434,299,206,157573,527,0,527,527,527,355.849,370.107,6.064,4.326,1.594,4.175,355.85,370.107,6.064,350,366,3,14,11,7,FALSE,FALSE
"37",197,400,197,160,181293,920.269,646.922,1410,70,1410,328.365,368.731,5.533,3.891,1.429,4.018,328.419,366.651,5.905,325,363,3,8,13,7,FALSE,FALSE
"38",1175,1452,1175,716,628885,535.221,18.867,536,77,536,301.603,379.469,6.547,7.061,2.338,7.365,301.601,379.475,6.552,292,370,3,21,22,10,FALSE,FALSE
"39",163,318,163,134,12062,74,0,74,74,74,407.687,368.337,7.006,3.566,1.485,3.307,407.687,368.337,7.006,406,362,3,6,12,10,FALSE,FALSE
"40",844,1028,844,477,65832,78,0,78,78,78,316.097,375.091,6.671,6.317,2.236,6.04,316.097,375.091,6.671,307,365,3,20,18,9,FALSE,FALSE
"41",534,892,534,403,51237,95.949,241.372,75,75,2874,361.74,378.007,6.73,5.559,2.016,5.542,362.015,377.624,7.39,354,371,3,18,16,9,FALSE,FALSE
"42",413,646,413,282,31388,76,0,76,76,76,389.487,375.852,6.361,4.885,1.752,4.744,389.487,375.852,6.361,384,366,3,11,19,8,FALSE,FALSE
"43",595,966,595,429,326482,548.709,204.429,535,79,3406,283.017,375.205,6.405,5.817,2.043,5.892,282.836,375.286,6.505,275,366,3,18,20,9,FALSE,FALSE
"44",701,940,701,424,1438922,2052.67,123.657,2048,2048,5322,412.298,373.611,8.519,5.565,1.669,5.498,412.302,373.609,8.534,405,366,3,15,16,14,FALSE,FALSE
"45",283,430,283,196,151348,534.799,38.014,538,85,538,399.509,379.481,6.64,3.938,1.119,3.88,399.52,379.468,6.658,394,375,3,11,11,8,FALSE,FALSE
"46",677,960,677,436,72203,106.651,255.089,87,87,3413,346.959,383.945,6.843,6.666,2.845,5.891,346.137,383.679,7.517,336,377,3,25,14,9,FALSE,FALSE
"47",1044,1386,1044,658,91872,88,0,88,88,88,348.94,396.405,7.548,7.399,3.176,6.432,348.94,396.405,7.548,332,391,3,30,12,13,FALSE,FALSE
"48",200,290,200,136,17800,89,0,89,89,89,364.565,395.575,5.775,3.519,1.127,3.603,364.565,395.575,5.775,361,391,3,9,10,6,FALSE,FALSE
"49",38,82,38,36,3420,90,0,90,90,90,409.079,400.474,4.316,1.786,0.557,1.728,409.079,400.474,4.316,407,398,3,4,6,3,FALSE,FALSE
"50",242,362,242,175,22264,92,0,92,92,92,337.099,400.335,6.818,3.637,0.968,3.547,337.099,400.335,6.818,331,398,3,11,6,9,FALSE,FALSE
"51",452,564,452,275,249494,551.978,21.731,553,91,553,375.285,399.372,6.257,4.623,1.244,4.696,375.285,399.369,6.263,368,394,3,14,11,8,FALSE,FALSE
"52",661,1046,661,478,62134,94,0,94,94,94,352.413,406.151,6.906,6.079,2.399,5.876,352.413,406.151,6.906,340,402,3,23,10,12,FALSE,FALSE
"53",512,712,512,322,50173,97.994,0.133,98,95,98,383.629,408.404,5.824,5.056,1.566,5.039,383.629,408.404,5.824,376,402,3,16,14,8,FALSE,FALSE
