Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
494	680	494	313	6321	12.796	185.193	1.000	1	2915	1009.860	516.968	4.478	5.035	1.631	4.979	1009.528	514.693	7.725	1000	512	1	18	11	8
403	628	403	275	1209	3.000	0.000	3.000	3	3	989.938	474.546	5.638	5.080	1.957	4.837	989.938	474.546	5.638	984	469	2	18	11	9
92	154	92	66	368	4.000	0.000	4.000	4	4	1002.946	478.761	4.707	2.398	0.344	2.417	1002.946	478.761	4.707	1000	476	2	6	6	6
20	50	20	20	140	7.000	0.000	7.000	7	7	1013.000	481.650	2.550	1.314	0.394	1.294	1013.000	481.650	2.550	1012	480	2	3	4	2
521	936	521	398	4689	9.000	0.000	9.000	9	9	1010.610	489.451	5.205	5.555	1.977	5.633	1010.610	489.451	5.205	1004	480	2	16	19	11
85	176	85	75	510	6.000	0.000	6.000	6	6	982.047	483.129	3.706	2.683	1.014	2.476	982.047	483.129	3.706	978	481	2	9	8	4
580	744	580	358	4640	8.000	0.000	8.000	8	8	993.817	487.571	4.650	5.382	1.743	5.520	993.817	487.571	4.650	986	481	2	18	15	6
305	390	305	181	3050	10.000	0.000	10.000	10	10	982.725	497.495	4.951	3.994	1.016	3.907	982.725	497.495	4.951	979	491	2	9	12	8
208	312	208	136	2288	11.000	0.000	11.000	11	11	1003.111	498.327	5.024	3.481	0.919	3.435	1003.111	498.327	5.024	1000	492	2	7	11	7
133	264	133	111	1596	12.000	0.000	12.000	12	12	1012.827	502.008	3.714	3.356	1.266	3.241	1012.827	502.008	3.714	1007	498	2	11	8	5
125	200	125	85	1750	14.000	0.000	14.000	14	14	976.512	525.904	4.016	2.719	0.412	2.700	976.512	525.904	4.016	973	523	2	8	7	5
284	444	284	186	4544	16.000	0.000	16.000	16	16	1007.468	527.940	5.954	3.862	0.894	3.711	1007.468	527.940	5.954	1002	524	2	12	9	10
119	210	119	94	2023	17.000	0.000	17.000	17	17	945.210	528.891	4.160	2.841	0.921	2.745	945.210	528.891	4.160	941	526	2	10	6	5
435	668	435	312	7830	18.000	0.000	18.000	18	18	932.977	530.554	5.002	5.538	2.227	5.501	932.977	530.554	5.002	927	520	2	12	19	7
288	378	288	182	5760	20.000	0.000	20.000	20	20	959.347	534.642	5.125	3.887	0.955	3.815	959.347	534.642	5.125	956	530	2	8	12	8
496	772	496	355	11402	22.988	0.201	23.000	19	23	1016.530	532.458	5.494	5.179	2.125	4.929	1016.531	532.458	5.496	1011	521	2	10	18	10
159	340	159	137	4128	25.962	0.354	26.000	22	26	991.654	537.799	3.906	3.551	1.369	3.449	991.657	537.802	3.908	988	533	2	11	11	5
188	302	188	131	5076	27.000	0.000	27.000	27	27	918.638	538.532	5.846	3.486	1.131	3.498	918.638	538.532	5.846	914	536	2	11	6	9
86	166	86	76	2408	28.000	0.000	28.000	28	28	947.651	540.314	3.837	2.529	0.838	2.495	947.651	540.314	3.837	944	538	2	8	7	4
249	418	249	180	7470	30.000	0.000	30.000	30	30	982.064	538.960	5.474	3.852	1.167	3.704	982.064	538.960	5.474	978	533	2	9	11	10
255	370	255	164	7905	31.000	0.000	31.000	31	31	938.251	544.929	6.235	3.924	1.243	3.845	938.251	544.929	6.235	934	541	2	12	8	9
98	172	98	84	3136	32.000	0.000	32.000	32	32	983.347	546.776	3.684	2.630	0.815	2.526	983.347	546.776	3.684	980	545	2	9	5	4
131	214	131	93	4323	33.000	0.000	33.000	33	33	995.366	547.687	4.198	2.892	0.719	2.875	995.366	547.687	4.198	992	545	2	9	7	6
367	628	367	284	267148	727.924	77.812	737.000	34	737	1010.188	543.755	5.330	4.467	1.431	4.400	1010.178	543.723	5.361	1005	537	2	11	13	8
244	402	244	166	9028	37.000	0.000	37.000	37	37	971.701	552.361	4.594	4.009	1.396	3.747	971.701	552.361	4.594	968	547	2	11	15	7
369	570	369	265	15129	41.000	0.000	41.000	41	41	953.512	552.306	4.580	4.613	1.518	4.578	953.512	552.306	4.580	946	544	2	14	15	7
267	420	267	197	142955	535.412	330.447	755.000	40	755	1015.779	552.285	4.749	4.167	1.561	4.158	1017.589	551.896	5.161	1006	549	2	15	9	9
121	200	121	93	5322	43.983	0.182	44.000	42	44	947.248	558.612	4.727	2.782	0.763	2.767	947.248	558.613	4.728	945	554	2	5	9	6
249	328	249	151	10707	43.000	0.000	43.000	43	43	998.281	554.478	5.281	3.564	0.665	3.563	998.281	554.478	5.281	994	551	2	10	8	8
338	524	338	236	18477	54.666	159.317	46.000	46	2975	964.799	557.515	5.169	4.541	1.536	4.523	964.831	557.592	5.617	959	549	2	12	15	7
93	164	93	77	4371	47.000	0.000	47.000	47	47	1006.806	562.667	3.925	2.540	0.739	2.622	1006.806	562.667	3.925	1004	560	2	7	7	4
179	294	179	125	8592	48.000	0.000	48.000	48	48	1016.408	564.978	4.363	3.311	0.961	3.208	1016.408	564.978	4.363	1012	559	2	9	10	6
93	166	93	69	4557	49.000	0.000	49.000	49	49	990.290	572.097	4.140	2.466	0.525	2.466	990.290	572.097	4.140	987	570	2	7	5	5
161	270	161	119	8050	50.000	0.000	50.000	50	50	1007.087	571.745	4.186	3.117	0.818	3.115	1007.087	571.745	4.186	1003	568	2	9	8	6
198	314	198	141	54423	274.864	15.990	276.000	51	276	963.141	571.753	4.449	3.378	1.011	3.486	963.134	571.743	4.460	958	568	2	10	10	6
83	138	83	63	4316	52.000	0.000	52.000	52	52	970.108	574.675	4.205	2.338	0.467	2.342	970.108	574.675	4.205	968	572	2	5	6	5
