Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
861	1028	861	478	861	1.000	0.000	1.000	1	1	275.596	425.547	8.012	5.829	1.766	5.960	275.596	425.547	8.012	269	418	1	14	13	19
572	680	572	328	2287	3.998	0.042	4.000	3	4	312.626	622.201	5.640	5.181	1.486	5.082	312.626	622.201	5.642	308	615	1	12	13	14
3075	3334	3075	1485	7275450	2366.000	0.000	2366.000	2366	2366	336.498	645.854	10.096	9.502	2.966	8.805	336.499	645.850	10.096	321	633	1	36	27	23
408	670	408	291	651053	1595.718	1325.797	2698.000	5	2698	389.551	630.431	7.319	5.057	1.858	4.996	390.309	628.223	9.677	385	622	1	10	16	14
1461	1596	1461	716	11689	8.001	0.059	8.000	7	10	307.335	640.563	7.643	7.012	1.632	7.066	307.335	640.563	7.642	297	634	1	18	15	15
117	184	117	97	43277	369.889	33.652	373.000	9	373	327.966	641.923	3.923	2.698	0.724	2.541	327.957	641.931	3.948	326	639	1	6	6	8
81	236	81	80	95343	1177.074	1342.836	13.000	13	2707	325.173	679.012	4.519	3.276	1.356	3.027	322.939	678.096	5.899	322	675	1	7	10	10
849	1060	849	525	11886	14.000	0.000	14.000	14	14	942.206	130.802	5.691	6.603	2.260	6.477	942.206	130.802	5.691	932	121	2	21	22	9
138	248	138	113	64816	469.681	38.988	473.000	15	473	747.616	157.377	4.609	2.920	0.867	2.943	747.613	157.379	4.627	745	154	2	7	9	6
208	346	208	157	263792	1268.231	817.994	1800.000	16	1800	703.399	168.365	5.111	3.517	1.001	3.632	702.619	167.125	5.285	699	164	2	10	9	7
128	194	128	87	2176	17.000	0.000	17.000	17	17	744.609	171.680	4.750	2.739	0.399	2.734	744.609	171.680	4.750	742	169	2	7	7	7
381	602	381	269	622497	1633.850	906.349	2141.000	18	2141	711.856	187.108	7.270	5.000	1.764	5.089	710.128	187.561	8.210	706	183	2	15	9	13
459	624	459	283	9637	20.996	0.093	21.000	19	21	893.841	195.002	7.222	4.781	1.486	4.727	893.841	195.002	7.223	889	190	2	14	11	12
460	642	460	290	9200	20.000	0.000	20.000	20	20	789.922	194.702	6.596	4.889	1.577	4.746	789.922	194.702	6.596	784	190	2	15	10	10
405	576	405	274	8910	22.000	0.000	22.000	22	22	804.025	197.425	5.348	4.624	1.434	4.564	804.025	197.425	5.348	799	189	2	11	16	10
129	210	129	93	68119	528.054	44.815	532.000	23	532	650.891	199.031	4.713	2.755	0.522	2.803	650.906	199.024	4.733	647	196	2	8	7	6
420	534	420	249	10500	25.000	0.000	25.000	25	25	797.250	225.829	6.012	4.617	1.329	4.451	797.250	225.829	6.012	789	222	2	15	10	10
653	982	653	421	16978	26.000	0.000	26.000	26	26	602.415	231.138	7.934	5.912	2.346	5.689	602.415	231.138	7.934	596	219	2	15	20	12
418	600	418	277	11286	27.000	0.000	27.000	27	27	630.983	238.072	6.548	4.707	1.421	4.727	630.983	238.072	6.548	624	233	2	14	11	12
626	706	626	359	384403	614.062	23.461	615.000	28	615	567.756	252.746	6.904	4.997	1.275	5.129	567.758	252.744	6.912	563	246	2	11	13	12
312	394	312	189	9048	29.000	0.000	29.000	29	29	591.606	256.804	5.077	4.045	1.129	3.990	591.606	256.804	5.077	587	251	2	9	12	7
638	990	638	449	838770	1314.687	1157.970	2178.000	30	5707	580.765	258.923	6.876	5.464	1.843	5.403	580.851	256.292	8.626	575	251	2	12	18	13
346	424	346	208	11072	32.000	0.000	32.000	32	32	651.107	267.101	5.529	4.097	0.965	4.153	651.107	267.101	5.529	646	262	2	10	10	8
311	410	311	195	10263	33.000	0.000	33.000	33	33	527.646	265.421	4.981	3.986	0.995	4.069	527.646	265.421	4.981	522	260	2	11	12	7
132	204	132	91	5014	37.985	0.174	38.000	36	38	499.765	273.333	4.780	2.758	0.403	2.783	499.766	273.334	4.781	497	271	2	7	6	6
128	218	128	99	4736	37.000	0.000	37.000	37	37	514.805	272.633	4.367	2.730	0.637	2.825	514.805	272.633	4.367	512	270	2	7	6	6
503	596	503	287	19617	39.000	0.000	39.000	39	39	556.370	274.871	7.179	4.752	1.413	4.806	556.370	274.871	7.179	553	269	2	8	13	13
548	782	548	339	21920	40.000	0.000	40.000	40	40	815.040	281.179	6.912	5.092	1.453	5.091	815.040	281.179	6.912	809	275	2	14	13	13
119	204	119	89	4879	41.000	0.000	41.000	41	41	542.395	281.748	4.370	2.708	0.663	2.735	542.395	281.748	4.370	539	278	2	7	8	6
493	672	493	310	20706	42.000	0.000	42.000	42	42	518.493	282.515	7.034	4.788	1.573	4.795	518.493	282.515	7.034	513	277	2	15	11	12
298	426	298	191	12814	43.000	0.000	43.000	43	43	545.732	287.077	7.131	3.948	1.217	4.212	545.732	287.077	7.131	542	283	2	9	9	12
333	436	333	196	229456	689.057	35.455	691.000	44	691	590.138	293.580	6.036	4.082	0.895	4.028	590.144	293.581	6.047	586	289	2	10	11	11
617	894	617	416	27765	45.000	0.000	45.000	45	45	539.242	297.073	6.838	5.524	1.832	5.271	539.242	297.073	6.838	530	291	2	17	15	11
87	142	87	72	4002	46.000	0.000	46.000	46	46	531.069	296.540	3.931	2.365	0.578	2.406	531.069	296.540	3.931	528	294	2	6	6	5
256	434	256	183	12032	47.000	0.000	47.000	47	47	514.609	303.242	6.832	4.033	1.295	4.193	514.609	303.242	6.832	510	300	2	11	8	11
149	224	149	101	7152	48.000	0.000	48.000	48	48	483.309	303.940	4.651	2.975	0.658	2.906	483.309	303.940	4.651	480	301	2	8	7	6
432	632	432	277	624888	1446.500	95.419	1453.000	49	1453	567.521	303.775	5.898	4.715	1.449	4.577	567.530	303.768	5.913	561	297	2	14	13	11
124	198	124	80	6323	50.992	0.090	51.000	50	51	521.702	308.065	4.782	2.749	0.432	2.730	521.702	308.065	4.783	519	305	2	6	7	6
399	476	399	239	21546	54.000	0.000	54.000	54	54	537.268	309.020	5.105	4.450	1.207	4.308	537.268	309.020	5.105	530	305	2	14	9	9
160	222	160	104	8480	53.000	0.000	53.000	53	53	506.506	309.462	4.781	3.008	0.533	2.956	506.506	309.462	4.781	503	307	2	8	6	6
690	866	690	420	489934	710.049	24.974	711.000	55	711	805.523	309.438	6.749	5.564	1.671	5.306	805.527	309.437	6.756	800	301	2	11	19	13
497	698	497	331	1248961	2513.000	0.000	2513.000	2513	2513	540.642	315.958	6.495	5.104	1.712	5.080	540.642	315.958	6.495	534	310	2	16	13	11
538	694	538	313	30128	56.000	0.000	56.000	56	56	731.513	310.530	6.989	4.934	1.195	4.877	731.513	310.530	6.989	726	303	2	13	14	11
374	566	374	235	22066	59.000	0.000	59.000	59	59	761.447	312.142	7.160	4.579	1.386	4.419	761.447	312.142	7.160	756	307	2	11	11	14
277	360	277	167	15789	57.000	0.000	57.000	57	57	490.368	314.083	5.859	3.795	0.881	3.698	490.368	314.083	5.859	484	310	2	12	8	8
421	560	421	244	25260	60.000	0.000	60.000	60	60	474.732	316.114	8.143	4.556	1.335	4.766	474.732	316.114	8.143	470	311	2	11	10	13
282	436	282	187	22536	79.915	317.635	61.000	61	5395	523.585	315.635	7.213	4.209	1.520	4.413	524.393	315.011	8.583	519	310	2	10	12	12
212	382	212	157	454355	2143.184	1669.958	732.000	62	4101	449.269	321.429	7.910	4.163	1.323	4.295	449.808	321.427	10.544	445	319	2	9	6	13
442	614	442	290	28288	64.000	0.000	64.000	64	64	529.889	327.394	5.113	5.212	2.037	4.988	529.889	327.394	5.113	520	322	2	19	12	6
724	878	724	422	45612	63.000	0.000	63.000	63	63	439.319	325.606	6.744	5.700	1.754	5.595	439.320	325.606	6.744	432	319	2	18	13	12
295	410	295	182	19175	65.000	0.000	65.000	65	65	418.739	325.224	6.393	3.909	0.943	3.885	418.739	325.224	6.393	414	322	2	11	8	10
283	376	283	163	18961	67.000	0.000	67.000	67	67	779.272	326.813	6.145	3.845	0.863	3.884	779.272	326.813	6.145	775	322	2	10	10	9
401	482	401	232	27268	68.000	0.000	68.000	68	68	551.783	330.950	6.359	4.312	0.990	4.251	551.783	330.950	6.359	546	327	2	12	8	10
165	246	165	112	11550	70.000	0.000	70.000	70	70	449.867	335.491	4.558	3.075	0.654	3.101	449.867	335.491	4.558	447	332	2	7	8	6
140	212	140	103	9940	71.000	0.000	71.000	71	71	756.507	336.100	4.400	2.826	0.600	2.898	756.507	336.100	4.400	753	333	2	8	8	6
1750	2018	1750	985	131250	75.000	0.000	75.000	75	75	434.450	342.762	6.751	8.071	2.441	8.112	434.452	342.761	6.751	425	331	2	21	22	13
642	778	642	368	48792	76.000	0.000	76.000	76	76	464.045	339.872	6.202	5.332	1.578	5.284	464.045	339.872	6.202	456	335	2	16	12	11
455	622	455	297	33215	73.000	0.000	73.000	73	73	541.057	341.851	5.446	5.372	2.142	5.184	541.057	341.851	5.446	534	335	2	14	15	9
144	208	144	100	10656	74.000	0.000	74.000	74	74	562.688	338.382	4.854	2.844	0.471	2.857	562.688	338.382	4.854	560	335	2	6	7	6
127	204	127	97	9906	78.000	0.000	78.000	78	78	421.843	350.929	4.480	2.806	0.655	2.718	421.843	350.929	4.480	420	347	2	6	8	7
643	678	643	332	52083	81.000	0.000	81.000	81	81	502.322	353.784	6.771	5.204	1.135	5.170	502.320	353.784	6.771	496	347	2	14	14	10
773	976	773	467	889261	1150.402	1393.817	80.000	80	2963	794.273	350.220	7.361	5.737	1.826	5.839	791.353	346.913	8.808	787	344	2	15	17	13
933	1192	933	567	76506	82.000	0.000	82.000	82	82	632.001	349.435	6.222	6.344	2.104	6.372	631.999	349.435	6.222	622	341	2	19	18	14
728	872	728	418	61152	84.000	0.000	84.000	84	84	765.279	362.129	6.157	5.529	1.606	5.488	765.279	362.129	6.157	759	355	2	13	16	11
1595	1646	1595	766	135575	85.000	0.000	85.000	85	85	265.170	369.026	11.779	7.252	1.913	7.106	265.168	369.026	11.779	258	360	2	17	19	20
168	220	168	108	13944	83.000	0.000	83.000	83	83	429.857	363.875	4.839	3.029	0.452	3.075	429.857	363.875	4.839	427	361	2	7	7	6
148	222	148	102	12728	86.000	0.000	86.000	86	86	614.405	368.014	4.399	2.921	0.562	2.940	614.405	368.014	4.399	612	365	2	7	7	6
681	988	681	455	1252923	1839.828	1315.274	842.000	842	3571	405.360	374.996	7.032	5.989	2.128	6.023	407.159	374.935	9.030	397	368	2	18	16	13
128	208	128	100	11136	87.000	0.000	87.000	87	87	417.125	370.711	4.125	2.835	0.838	2.857	417.125	370.711	4.125	413	369	2	9	5	6
444	618	444	281	39960	90.000	0.000	90.000	90	90	453.245	375.216	7.095	4.634	1.425	4.717	453.245	375.216	7.095	448	370	2	11	11	15
240	342	240	159	21360	89.000	0.000	89.000	89	89	335.125	372.450	5.488	3.523	0.776	3.558	335.125	372.450	5.488	331	368	2	8	9	8
312	392	312	189	28392	91.000	0.000	91.000	91	91	294.808	376.689	5.410	3.876	0.767	3.816	294.808	376.689	5.410	291	372	2	8	11	8
292	408	292	183	27156	93.000	0.000	93.000	93	93	417.719	382.449	6.418	4.012	1.231	4.018	417.719	382.449	6.418	413	378	2	11	10	10
123	198	123	89	11562	94.000	0.000	94.000	94	94	459.382	381.732	4.675	2.726	0.551	2.739	459.382	381.732	4.675	456	379	2	7	7	6
439	682	439	292	41705	95.000	0.000	95.000	95	95	367.604	384.560	8.677	4.930	1.717	4.955	367.604	384.560	8.677	362	380	2	13	11	15
275	420	275	187	26675	97.000	0.000	97.000	97	97	325.276	383.764	7.520	3.926	1.275	4.179	325.276	383.764	7.520	321	380	2	9	8	12
362	466	362	223	35474	97.994	0.105	98.000	96	98	452.644	385.964	5.456	4.304	1.167	4.212	452.644	385.964	5.456	448	381	2	11	10	8
174	284	174	118	17226	99.000	0.000	99.000	99	99	768.138	386.184	4.891	3.182	0.707	3.109	768.138	386.184	4.891	764	383	2	8	7	9
277	452	277	200	344082	1242.173	1083.869	2267.000	100	2267	438.336	388.469	5.011	4.115	1.462	4.094	435.829	389.650	5.492	432	383	2	15	11	7
143	216	143	96	14443	101.000	0.000	101.000	101	101	388.510	388.091	4.413	2.926	0.620	2.849	388.510	388.091	4.413	385	385	2	8	7	6
405	582	405	247	41310	102.000	0.000	102.000	102	102	264.805	389.593	7.398	4.624	1.323	4.516	264.805	389.593	7.398	261	385	2	11	10	14
167	270	167	115	17201	103.000	0.000	103.000	103	103	359.228	391.545	4.659	3.193	0.861	3.055	359.228	391.545	4.659	355	388	2	9	9	7
236	300	236	140	24544	104.000	0.000	104.000	104	104	279.347	393.144	4.788	3.478	0.628	3.457	279.347	393.144	4.788	276	389	2	7	10	7
154	228	154	103	16170	105.000	0.000	105.000	105	105	335.513	392.825	4.584	2.957	0.520	2.925	335.513	392.825	4.584	332	390	2	8	7	6
441	524	441	243	47187	107.000	0.000	107.000	107	107	454.868	396.848	5.483	4.465	0.908	4.482	454.869	396.848	5.483	449	392	2	12	12	8
137	208	137	96	14522	106.000	0.000	106.000	106	106	465.737	394.431	4.474	2.877	0.615	2.794	465.737	394.431	4.474	462	392	2	8	6	6
296	472	296	213	31969	108.003	0.058	108.000	108	109	321.834	399.456	4.703	4.201	1.363	4.231	321.835	399.456	4.703	317	394	2	13	11	9
243	340	243	160	26730	110.000	0.000	110.000	110	110	622.082	402.543	5.280	3.598	0.861	3.627	622.082	402.543	5.280	618	399	2	10	9	8
249	310	249	148	28884	116.000	0.000	116.000	116	116	352.835	405.550	5.084	3.546	0.634	3.551	352.835	405.550	5.084	350	401	2	7	9	8
672	806	672	388	78624	117.000	0.000	117.000	117	117	401.936	406.051	6.129	5.544	1.713	5.416	401.935	406.050	6.129	396	400	2	15	15	12
183	292	183	144	20313	111.000	0.000	111.000	111	111	233.355	405.705	6.656	3.302	0.989	3.201	233.355	405.705	6.656	232	401	2	4	11	10
806	1122	806	462	162034	201.035	817.794	115.000	115	9797	279.639	403.813	10.906	6.286	2.400	5.886	281.257	402.241	14.643	274	399	2	12	13	24
388	598	388	261	45784	118.000	0.000	118.000	118	118	439.843	406.423	9.753	5.571	2.316	5.568	439.843	406.423	9.753	436	402	2	9	10	19
473	760	473	328	56287	119.000	0.000	119.000	119	119	597.753	404.996	6.197	5.306	1.877	5.213	597.754	404.996	6.197	588	398	2	19	15	11
139	214	139	97	16680	120.000	0.000	120.000	120	120	251.194	406.784	4.676	2.865	0.555	2.803	251.194	406.784	4.676	248	403	2	6	8	8
244	340	244	158	29524	121.000	0.000	121.000	121	121	343.389	407.623	5.287	3.796	1.127	3.738	343.389	407.623	5.287	339	403	2	10	10	8
448	570	448	270	55552	124.000	0.000	124.000	124	124	299.879	408.199	5.862	4.524	1.122	4.536	299.879	408.199	5.862	295	403	2	12	11	11
356	608	356	266	46706	131.197	154.654	123.000	123	3041	688.466	410.480	6.994	4.928	1.632	4.844	688.500	410.200	7.057	685	405	2	8	16	13
973	1224	973	562	122598	126.000	0.000	126.000	126	126	287.620	410.267	8.673	6.065	1.588	5.928	287.620	410.268	8.673	279	400	2	16	18	16
539	700	539	314	68453	127.000	0.000	127.000	127	127	313.327	411.163	5.139	5.219	1.652	5.099	313.327	411.163	5.139	307	406	2	15	15	9
447	528	447	248	57216	128.000	0.000	128.000	128	128	360.866	410.492	5.313	4.683	1.292	4.669	360.866	410.492	5.313	356	404	2	11	15	8
2792	2938	2792	1380	365752	131.000	0.000	131.000	131	131	222.683	411.429	7.945	9.763	3.574	9.112	222.685	411.429	7.945	208	396	2	28	32	16
525	738	525	335	67725	129.000	0.000	129.000	129	129	269.547	413.238	9.549	4.961	1.443	4.888	269.547	413.238	9.549	266	407	2	10	14	14
154	222	154	104	20328	132.000	0.000	132.000	132	132	277.851	416.500	5.058	2.919	0.451	2.901	277.851	416.500	5.058	275	414	2	7	6	7
940	1146	940	531	130660	139.000	0.000	139.000	139	139	260.446	419.479	7.898	5.798	1.489	5.893	260.447	419.479	7.898	252	415	2	18	12	14
427	540	427	246	59775	139.988	0.242	140.000	135	140	335.379	417.557	4.984	4.456	1.157	4.560	335.379	417.557	4.984	329	412	2	13	12	8
454	634	454	287	64468	142.000	0.000	142.000	142	142	246.306	420.192	6.123	4.847	1.535	4.830	246.306	420.192	6.123	241	413	2	13	16	12
186	292	186	129	175706	944.656	59.245	949.000	141	949	417.796	421.022	4.892	3.305	0.888	3.274	417.799	421.031	4.906	414	416	2	8	10	7
154	228	154	102	22022	143.000	0.000	143.000	143	143	370.156	425.188	4.273	2.945	0.478	2.931	370.156	425.188	4.273	367	423	2	8	6	6
550	654	550	309	79750	145.000	0.000	145.000	145	145	297.618	427.969	5.487	4.925	1.155	4.803	297.617	427.969	5.487	290	422	2	14	13	9
430	526	430	241	61920	144.000	0.000	144.000	144	144	252.356	426.844	5.272	4.323	0.748	4.432	252.356	426.844	5.272	247	422	2	12	10	9
284	442	284	197	41464	146.000	0.000	146.000	146	146	322.261	427.187	7.211	4.082	1.346	4.277	322.261	427.187	7.211	318	423	2	10	8	12
984	1152	984	527	144648	147.000	0.000	147.000	147	147	237.509	430.060	10.360	5.966	1.591	6.165	237.510	430.060	10.360	231	423	2	14	15	17
121	204	121	90	17908	148.000	0.000	148.000	148	148	282.694	431.248	4.050	2.708	0.612	2.748	282.694	431.248	4.050	280	428	2	6	7	6
2486	2340	2486	1129	385330	155.000	0.000	155.000	155	155	221.037	436.875	10.687	8.046	1.720	8.044	221.039	436.874	10.687	213	429	2	17	19	22
798	1150	798	508	1289818	1616.313	73.595	1620.000	149	1620	336.201	430.570	9.798	6.211	2.328	6.177	336.200	430.568	9.815	325	426	2	19	10	20
153	224	153	106	22950	150.000	0.000	150.000	150	150	401.941	432.275	4.484	2.995	0.718	2.928	401.941	432.275	4.484	398	430	2	9	6	6
165	250	165	119	25245	153.000	0.000	153.000	153	153	712.400	432.885	4.339	3.054	0.713	3.130	712.400	432.885	4.339	708	429	2	9	8	6
127	190	127	90	19812	156.000	0.000	156.000	156	156	354.661	435.134	4.134	2.744	0.478	2.708	354.661	435.134	4.134	352	433	2	7	5	7
149	226	149	101	25092	168.403	200.220	152.000	152	2596	599.309	433.852	4.470	2.921	0.551	2.938	599.181	433.672	4.716	596	430	2	7	8	6
524	628	524	304	82268	157.000	0.000	157.000	157	157	233.800	439.067	4.943	5.192	1.841	5.071	233.799	439.066	4.943	229	431	2	11	18	8
206	290	206	139	32960	160.000	0.000	160.000	160	160	319.568	438.743	4.830	3.399	0.845	3.372	319.568	438.743	4.830	315	435	2	9	8	7
232	348	232	152	36656	158.000	0.000	158.000	158	158	279.961	439.332	5.323	3.637	1.034	3.377	279.961	439.332	5.323	275	436	2	11	7	9
270	372	270	167	42930	159.000	0.000	159.000	159	159	292.900	438.378	6.452	3.956	1.187	3.919	292.900	438.378	6.452	289	435	2	12	8	9
115	178	115	87	18515	161.000	0.000	161.000	161	161	352.574	441.165	4.722	2.617	0.494	2.594	352.574	441.165	4.722	351	439	2	5	6	6
764	1106	764	527	1487326	1946.762	922.768	2295.000	164	3101	343.247	446.374	6.297	5.853	1.860	6.006	344.013	446.955	6.865	337	439	2	14	18	10
153	222	153	103	24786	162.000	0.000	162.000	162	162	389.346	440.869	4.739	2.941	0.543	2.923	389.346	440.869	4.739	387	437	2	6	8	6
292	444	292	210	291166	997.144	48.806	1000.000	166	1000	306.729	445.586	4.757	3.970	1.216	3.868	306.734	445.587	4.765	301	442	2	13	9	8
748	1028	748	457	126412	169.000	0.000	169.000	169	169	299.452	453.713	8.612	6.005	1.997	5.980	299.451	453.713	8.612	295	447	2	12	14	18
296	494	296	228	441832	1492.676	1035.247	2299.000	168	2299	356.970	449.949	6.159	4.077	1.332	4.196	356.389	451.702	6.954	352	445	2	11	11	11
1195	1458	1195	641	203150	170.000	0.000	170.000	170	170	226.221	451.470	10.000	6.330	1.808	6.339	226.220	451.471	10.000	220	443	2	13	20	20
728	1078	728	462	597505	820.749	1884.807	173.000	173	6303	323.420	452.588	9.004	6.200	2.487	6.050	317.656	453.312	15.163	314	445	2	17	14	18
433	608	433	281	831898	1921.243	273.097	2000.000	172	2000	514.303	450.702	6.845	4.744	1.411	4.570	514.469	450.543	6.985	508	444	2	12	14	11
150	232	150	100	26100	174.000	0.000	174.000	174	174	384.453	456.820	4.507	2.932	0.589	2.916	384.453	456.820	4.507	381	454	2	8	7	6
795	1094	795	466	139125	175.000	0.000	175.000	175	175	282.808	459.328	10.435	5.803	1.777	5.868	282.809	459.329	10.435	274	453	2	16	14	19
268	370	268	162	47436	177.000	0.000	177.000	177	177	238.821	461.149	5.410	3.726	0.817	3.675	238.821	461.149	5.410	233	458	2	11	7	9
135	224	135	99	24165	179.000	0.000	179.000	179	179	251.015	463.874	4.081	2.830	0.625	2.930	251.015	463.874	4.081	248	460	2	8	7	5
136	220	136	96	140713	1034.654	74.002	1041.000	178	1041	341.559	460.059	5.147	2.811	0.502	2.784	341.575	460.053	5.166	339	457	2	6	7	8
401	544	401	244	72180	180.000	0.000	180.000	180	180	400.232	461.424	7.599	4.587	1.565	4.507	400.232	461.424	7.599	394	457	2	12	9	14
732	846	732	401	133223	181.999	0.037	182.000	181	182	582.592	461.806	6.508	5.483	1.503	5.479	582.593	461.806	6.508	576	456	2	15	15	10
596	876	596	383	631736	1059.960	137.230	1056.000	183	4289	596.824	465.507	6.468	5.500	1.815	5.471	596.825	465.506	6.492	590	461	2	18	11	12
333	398	333	180	350444	1052.384	47.730	1055.000	184	1055	294.694	464.922	5.895	3.957	0.622	3.955	294.700	464.922	5.905	290	461	2	10	9	8
764	960	764	434	142868	187.000	0.000	187.000	187	187	374.445	473.056	8.592	6.071	2.199	5.943	374.446	473.057	8.592	370	467	2	13	12	19
558	742	558	312	103232	185.004	0.060	185.000	185	186	236.317	471.509	7.998	5.007	1.250	4.983	236.317	471.509	7.998	231	467	2	11	12	14
109	174	109	80	20492	188.000	0.000	188.000	188	188	356.101	472.440	4.706	2.613	0.563	2.559	356.101	472.440	4.706	352	470	2	8	5	6
160	238	160	109	30560	191.000	0.000	191.000	191	191	409.769	475.331	4.550	3.038	0.623	2.990	409.769	475.331	4.550	407	472	2	7	8	7
274	360	274	174	51786	189.000	0.000	189.000	189	189	432.708	472.515	5.343	3.868	1.038	3.824	432.708	472.514	5.343	429	467	2	10	11	7
793	1016	793	453	150670	190.000	0.000	190.000	190	190	539.303	473.527	7.716	5.833	1.942	5.803	539.305	473.527	7.716	531	468	2	17	13	16
284	404	284	177	55096	194.000	0.000	194.000	194	194	269.718	480.113	6.127	3.904	0.987	4.048	269.718	480.113	6.127	266	476	2	10	9	9
131	196	131	92	25283	193.000	0.000	193.000	193	193	252.107	479.168	4.954	2.733	0.418	2.770	252.107	479.168	4.954	250	477	2	6	6	8
13	44	13	13	2496	192.000	0.000	192.000	192	192	296.923	476.615	3.846	1.409	0.569	1.395	296.923	476.615	3.846	296	475	2	2	4	4
