 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	2919	1792	2919	1079	154707	53	0	53	53	53	947.031	639.113	6.880	9.126	2.565	8.722	947.027	639.112	6.880	939	622	1	17	33	16
2	4841	2900	4841	1728	213004	44	0	44	44	44	944.735	558.221	6.953	12.312	4.584	12.113	944.757	558.221	6.953	931	546	2	38	27	12
3	3497	2156	3497	1259	353197	101	0	101	101	101	919.976	561.251	7.634	10.211	2.982	9.730	919.975	561.254	7.634	907	545	2	23	33	14
4	4130	2382	4130	1538	731010	177	0	177	177	177	1013.508	566.892	8.503	11.230	3.791	10.930	1013.519	566.891	8.503	1007	547	2	15	36	14
5	3642	2540	3642	1437	163890	45	0	45	45	45	963.504	573.357	6.600	10.567	3.360	10.774	963.499	573.356	6.600	947	559	2	32	28	12
6	7341	3812	7341	2327	1314039	179	0	179	179	179	994.606	568.982	9.646	13.283	4.075	13.220	994.601	568.978	9.646	974	543	2	33	41	15
7	3888	2396	3888	1346	408240	105	0	105	105	105	941.218	586.559	7.540	10.246	2.768	10.523	941.219	586.558	7.540	928	573	2	28	28	14
8	6260	3616	6260	2152	1151840	184	0	184	184	184	988.438	605.326	7.975	13.181	4.522	12.670	988.450	605.325	7.975	972	583	2	37	42	15
9	5087	3166	5087	1822	920747	181	0	181	181	181	962.884	600.013	8.376	11.237	3.788	11.193	962.881	600.010	8.376	943	586	2	35	32	15
10	642	588	642	312	8346	13	0	13	13	13	924.810	610.889	5.824	5.053	0.930	5.175	924.810	610.889	5.824	919	605	2	13	12	10
11	4520	2634	4520	1628	1342440	297	0	297	297	297	957.216	623.319	10.143	11.058	3.396	10.454	957.217	623.321	10.143	940	611	2	34	28	16
12	938	730	938	404	14070	15	0	15	15	15	940.619	619.704	6.389	5.749	0.846	5.698	940.619	619.704	6.389	936	610	2	11	17	11
13	4235	2358	4235	1367	796180	188	0	188	188	188	989.356	626.527	8.825	9.940	1.903	9.910	989.363	626.531	8.825	977	617	2	25	22	15
14	4361	2844	4361	1556	811146	186	0	186	186	186	907.228	617.370	9.695	11.802	4.174	11.677	907.226	617.369	9.695	894	591	2	26	44	15
15	729	650	729	388	35721	49	0	49	49	49	931.929	622.608	6.989	5.502	1.418	5.427	931.927	622.608	6.989	928	614	2	11	15	11
16	3215	1984	3215	1234	160750	50	0	50	50	50	919.601	631.548	6.545	9.883	2.979	9.772	919.589	631.549	6.545	907	618	2	31	27	12
17	1941	1238	1941	780	31056	16	0	16	16	16	931.621	642.893	6.075	7.797	1.969	7.945	931.621	642.893	6.075	921	633	2	19	19	10
18	3180	1920	3180	1134	954000	300	0	300	300	300	965.529	641.543	9.143	9.281	2.404	9.254	965.529	641.543	9.143	955	633	2	26	19	15
19	160	246	160	112	320	2	0	2	2	2	905.525	658.075	4.262	3.293	1.087	3.058	905.525	658.075	4.262	901	654	2	11	8	5
20	1498	1512	1498	754	80892	54	0	54	54	54	925.942	656.787	7.631	7.904	3.071	7.546	925.949	656.788	7.631	916	649	2	27	17	13
21	5021	3668	5021	2080	582436	116	0	116	116	116	983.088	670.683	7.501	12.492	4.305	12.413	983.081	670.683	7.501	969	651	2	38	36	13
22	5840	3696	5840	2157	332880	57	0	57	57	57	944.542	682.214	6.710	13.628	5.049	13.567	944.538	682.215	6.710	926	656	2	37	50	13
23	6129	3694	6129	2144	1201284	196	0	196	196	196	631.194	671.236	9.412	12.917	3.983	12.983	631.188	671.234	9.412	609	654	2	40	36	16
24	2095	1458	2095	804	236735	113	0	113	113	113	711.977	674.074	7.537	8.164	2.218	7.943	711.976	674.076	7.537	699	659	2	23	26	13
25	2046	1594	2046	876	38874	19	0	19	19	19	880.213	672.868	6.613	8.817	2.982	8.591	880.224	672.868	6.613	863	660	2	29	23	10
26	2185	1508	2185	945	437000	200	0	200	200	200	983.962	689.423	8.068	8.825	2.998	8.134	983.950	689.422	8.068	970	681	2	29	16	13
27	4904	2818	4904	1609	975896	199	0	199	199	199	904.900	687.772	8.591	11.018	2.858	11.022	904.902	687.770	8.591	891	673	2	31	29	14
28	1947	1452	1947	839	114873	59	0	59	59	59	872.644	686.638	6.534	8.431	2.876	8.218	872.649	686.638	6.534	856	677	2	30	20	10
29	1264	836	1264	607	77104	61	0	61	61	61	977.472	702.499	6.619	6.563	1.366	6.667	977.468	702.497	6.619	972	696	2	14	14	11
30	1646	1350	1646	753	103698	63	0	63	63	63	991.318	704.928	7.127	7.586	2.175	7.322	991.321	704.930	7.127	985	696	2	23	22	13
31	6755	3290	6755	1975	1378020	204	0	204	204	204	886.915	706.034	7.793	12.447	3.468	12.658	886.916	706.034	7.793	869	684	2	37	41	14
32	601	600	601	309	12020	20	0	20	20	20	913.750	707.694	6.755	5.177	1.319	4.851	913.750	707.694	6.755	909	699	2	9	18	11
33	516	520	516	273	10836	21	0	21	21	21	951.744	719.566	5.893	4.797	1.158	4.828	951.744	719.566	5.893	945	714	2	12	12	8
34	1700	1312	1700	733	40800	24	0	24	24	24	969.528	730.103	6.237	7.462	2.001	7.545	969.528	730.103	6.237	959	721	2	22	21	12
35	3565	2104	3565	1209	452755	127	0	127	127	127	1011.662	747.108	8.051	10.040	2.928	9.837	1011.648	747.117	8.051	1002	732	2	20	32	14
36	1979	1358	1979	765	144467	73	0	73	73	73	948.854	758.069	6.779	7.858	2.024	8.067	948.851	758.068	6.779	939	748	2	19	20	11
37	7865	4702	7865	2708	1714570	218	0	218	218	218	912.152	765.586	7.927	14.268	4.556	14.582	912.153	765.587	7.927	892	744	2	38	46	13
38	7431	4172	7431	2358	1649682	222	0	222	222	222	967.089	783.950	8.530	14.162	5.002	14.110	967.086	783.950	8.530	944	764	2	47	40	14
39	2339	1716	2339	977	205832	88	0	88	88	88	879.808	837.460	6.690	8.956	2.902	8.438	879.818	837.460	6.690	871	822	2	20	29	11
40	2102	1236	2102	759	302688	144	0	144	144	144	864.271	833.702	8.068	7.742	1.538	7.879	864.271	833.702	8.068	855	824	2	19	20	12
41	3005	1884	3005	1011	501835	167	0	167	167	167	768.453	935.405	7.823	9.173	2.318	9.222	768.454	935.406	7.823	758	924	2	23	28	12
42	380	532	380	241	4180	11	0	11	11	11	986.645	548.776	7.000	4.856	1.870	4.642	986.645	548.776	7.000	981	543	3	17	13	11
43	2894	1932	2894	1107	847942	293	0	293	293	293	892.648	568.123	10.211	9.254	2.582	9.266	892.647	568.125	10.211	881	557	3	27	20	14
44	4083	2222	4083	1445	734940	180	0	180	180	180	1002.593	590.114	8.979	10.645	3.184	10.107	1002.588	590.114	8.979	986	583	3	35	19	13
45	2676	1634	2676	899	792096	296	0	296	296	296	797.612	596.413	9.436	8.721	2.060	8.749	797.604	596.413	9.436	788	581	3	21	28	13
46	2525	1700	2525	942	992325	393	0	393	393	393	896.182	586.853	10.603	8.691	2.197	8.739	896.182	586.854	10.603	884	577	3	23	21	14
47	157	242	157	106	471	3	0	3	3	3	915.841	596.153	5.166	3.361	1.165	3.174	915.841	596.153	5.166	913	591	3	7	12	5
48	1497	1040	1497	565	70359	47	0	47	47	47	811.965	606.701	7.519	6.866	1.479	7.081	811.971	606.702	7.519	803	598	3	19	18	9
49	209	310	209	140	2926	14	0	14	14	14	874.239	613.029	5.612	3.666	1.206	3.752	874.239	613.029	5.612	869	609	3	10	10	6
50	423	496	423	255	45261	107	0	107	107	107	1015.080	618.858	7.683	4.698	1.367	4.626	1015.082	618.859	7.683	1009	616	3	12	8	11
51	1919	1410	1919	746	358853	187	0	187	187	187	706.822	620.561	8.563	7.871	2.125	7.740	706.822	620.562	8.563	698	605	3	19	26	12
52	3184	2438	3184	1376	165568	52	0	52	52	52	1006.947	638.376	7.347	10.409	3.493	10.384	1006.931	638.375	7.347	990	625	3	31	27	11
53	151	222	151	105	151	1	0	1	1	1	857.497	636.662	4.404	3.168	0.994	2.946	857.497	636.662	4.404	855	632	3	6	11	4
54	2277	1666	2277	922	116127	51	0	51	51	51	714.294	640.959	7.264	8.647	2.555	8.725	714.300	640.959	7.264	700	630	3	27	23	11
55	2811	1840	2811	1060	534090	190	0	190	190	190	738.162	637.264	8.973	9.108	2.435	9.224	738.165	637.265	8.973	727	626	3	27	25	13
56	1826	1282	1826	721	202686	111	0	111	111	111	694.711	646.587	7.950	7.644	1.955	7.670	694.715	646.586	7.950	686	636	3	20	20	10
57	1860	1428	1860	767	985800	530	0	530	530	530	880.954	641.146	12.223	7.719	2.020	7.839	880.953	641.146	12.223	870	632	3	21	20	15
58	3595	2414	3595	1383	402640	112	0	112	112	112	644.218	653.420	8.074	10.750	3.658	10.861	644.218	653.420	8.074	628	639	3	34	29	12
59	2661	1714	2661	939	510912	192	0	192	192	192	678.853	655.048	8.826	8.835	2.382	8.432	678.853	655.048	8.826	665	645	3	30	20	13
60	1937	1410	1937	778	375778	194	0	194	194	194	703.994	664.360	8.311	7.918	2.188	7.619	703.992	664.360	8.311	697	653	3	19	24	13
61	3916	2994	3916	1549	1194380	305	0	305	305	305	775.228	671.094	9.387	11.646	4.393	10.511	775.228	671.092	9.387	756	655	3	39	42	14
