 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	893	752	893	455	4465	5	0	5	5	5	437.862	173.137	8.324	6.069	1.868	5.999	437.862	173.137	8.324	427	169	4	19	13	9
2	2955	1826	2955	1177	165480	56	0	56	56	56	715.529	202.215	9.006	9.767	3.162	9.654	715.529	202.215	9.006	706	190	4	21	29	10
3	4011	2516	4011	1466	296814	74	0	74	74	74	828.052	238.664	8.886	11.357	4.618	11.124	828.046	238.664	8.886	814	224	4	43	29	10
4	5023	2752	5023	1813	472162	94	0	94	94	94	851.221	272.793	8.413	12.085	4.048	12.118	851.225	272.793	8.413	837	255	4	34	34	11
5	2848	1866	2848	1246	37024	13	0	13	13	13	869.469	264.845	8.199	10.236	3.863	9.730	869.456	264.845	8.199	861	249	4	25	38	10
6	3874	2458	3874	1544	387400	100	0	100	100	100	749.308	286.669	9.034	10.889	3.415	11.127	749.296	286.668	9.034	733	273	4	36	31	10
7	1843	1190	1843	739	36860	20	0	20	20	20	955.160	367.781	8.345	7.600	1.983	7.891	955.160	367.781	8.345	947	358	4	20	20	9
8	1830	1222	1830	711	38430	21	0	21	21	21	970.063	380.449	8.391	7.524	1.784	7.756	970.053	380.449	8.391	959	372	4	21	19	10
9	2930	1948	2930	1107	401410	137	0	137	137	137	552.381	121.274	9.456	9.669	3.261	9.664	552.379	121.274	9.456	537	110	5	36	22	10
10	1765	1148	1765	701	51185	29	0	29	29	29	594.295	136.131	8.789	7.425	1.904	7.739	594.289	136.131	8.789	587	126	5	17	21	8
11	2553	1464	2553	873	81696	32	0	32	32	32	504.315	138.817	9.564	8.425	2.066	8.899	504.315	138.817	9.564	494	127	5	21	23	10
12	2268	1408	2268	860	61236	27	0	27	27	27	576.340	136.908	9.392	8.226	2.085	8.706	576.349	136.908	9.392	566	126	5	20	23	9
13	1702	1148	1702	668	1702	1	0	1	1	1	389.223	148.354	8.609	7.307	1.850	7.730	389.223	148.354	8.609	380	139	5	20	20	9
14	920	758	920	443	1840	2	0	2	2	2	534.576	147.120	8.200	5.887	1.374	6.098	534.576	147.120	8.200	527	141	5	15	14	9
15	2273	1520	2273	970	63644	28	0	28	28	28	555.195	142.710	9.062	8.633	2.604	9.075	555.195	142.710	9.062	544	130	5	23	25	9
16	3522	2452	3522	1445	130314	37	0	37	37	37	482.832	159.150	9.061	11.225	4.148	11.025	482.825	159.150	9.061	468	137	5	30	38	9
17	620	554	620	343	2480	4	0	4	4	4	660.921	154.798	8.489	5.093	1.139	5.150	660.921	154.798	8.489	656	149	5	11	11	9
18	3546	2178	3546	1378	514170	145	0	145	145	145	431.261	154.763	9.942	10.311	3.122	10.415	431.260	154.764	9.942	421	139	5	24	29	10
19	999	864	999	506	2997	3	0	3	3	3	448.266	156.311	8.763	6.296	1.712	6.020	448.266	156.311	8.763	443	149	5	17	17	9
20	1959	1388	1959	797	74442	38	0	38	38	38	644.879	159.436	9.195	7.915	2.154	8.303	644.885	159.436	9.195	634	150	5	21	20	9
21	3557	2216	3557	1387	128052	36	0	36	36	36	680.090	157.763	9.224	10.561	3.376	10.716	680.079	157.763	9.224	667	145	5	30	29	10
22	3680	2466	3680	1538	150880	41	0	41	41	41	377.070	162.533	8.782	12.012	4.856	11.672	377.063	162.532	8.782	360	145	5	35	40	9
23	1498	1106	1498	658	59920	40	0	40	40	40	705.735	162.561	8.503	7.147	1.952	7.585	705.735	162.561	8.503	697	152	5	18	20	8
24	1126	898	1126	542	47292	42	0	42	42	42	552.484	168.564	9.082	6.441	1.581	6.454	552.484	168.564	9.082	544	161	5	15	16	9
25	1457	1058	1457	603	56823	39	0	39	39	39	536.580	164.056	8.874	6.970	1.728	7.198	536.585	164.056	8.874	528	156	5	19	18	10
26	1467	1092	1467	661	217116	148	0	148	148	148	456.144	167.057	10.041	7.111	1.943	7.190	456.140	167.057	10.041	446	157	5	20	17	10
27	1381	1026	1381	653	60764	44	0	44	44	44	565.707	171.903	9.041	7.248	2.268	7.091	565.707	171.903	9.041	560	160	5	13	25	9
28	1767	1344	1767	797	10602	6	0	6	6	6	342.178	180.291	8.556	8.072	2.759	8.272	342.178	180.291	8.556	327	170	5	27	21	8
29	901	940	901	492	132447	147	0	147	147	147	603.461	164.022	9.230	6.592	2.370	6.275	603.462	164.022	9.230	594	154	5	19	23	9
30	2157	1840	2157	1066	338649	157	0	157	157	157	376.719	192.339	9.774	9.637	3.733	9.460	376.717	192.339	9.774	365	175	5	26	33	10
31	952	802	952	520	43792	46	0	46	46	46	454.395	178.716	8.870	6.881	2.687	6.539	454.395	178.716	8.870	441	175	5	26	8	9
32	1851	1224	1851	743	281352	152	0	152	152	152	418.400	177.779	9.481	7.600	1.886	8.048	418.400	177.779	9.481	408	169	5	21	20	9
33	2538	1772	2538	1097	121824	48	0	48	48	48	431.014	193.084	8.830	9.649	3.488	9.441	431.014	193.084	8.830	421	175	5	20	36	9
34	1376	1150	1376	643	213280	155	0	155	155	155	749.072	186.510	9.897	7.137	2.187	7.363	749.073	186.510	9.897	740	177	5	18	22	9
35	1764	1208	1764	712	86436	49	0	49	49	49	604.287	189.812	8.735	7.433	1.945	7.982	604.282	189.812	8.735	595	179	5	21	21	9
36	2441	1570	2441	930	114727	47	0	47	47	47	400.252	189.494	9.375	8.529	2.261	8.974	400.258	189.494	9.375	388	179	5	26	23	9
37	420	436	420	230	2940	7	0	7	7	7	686.714	189.031	8.052	4.421	1.088	4.330	686.714	189.031	8.052	682	183	5	10	14	7
38	3280	2128	3280	1326	167280	51	0	51	51	51	506.111	201.498	9.391	10.164	3.149	10.449	506.116	201.499	9.391	494	189	5	30	32	10
39	2890	1802	2890	1110	153170	53	0	53	53	53	698.017	206.446	9.224	9.406	2.894	9.593	698.013	206.446	9.224	683	194	5	25	30	9
40	2215	1680	2215	989	115180	52	0	52	52	52	469.029	199.791	8.839	8.768	2.855	9.048	469.029	199.791	8.839	459	188	5	23	29	9
41	1815	1618	1815	862	90750	50	0	50	50	50	573.392	201.614	9.416	8.352	2.918	8.454	573.386	201.614	9.416	559	191	5	28	22	9
42	828	744	828	402	44712	54	0	54	54	54	365.960	205.313	8.565	5.832	1.639	5.978	365.960	205.313	8.565	359	199	5	15	16	8
43	1685	1310	1685	757	96045	57	0	57	57	57	733.401	205.780	9.382	7.657	2.125	7.842	733.396	205.780	9.382	725	194	5	17	22	9
44	3596	2168	3596	1267	809100	225	0	225	225	225	408.536	215.537	10.726	10.063	2.936	10.316	408.540	215.538	10.726	398	202	5	28	29	11
45	1862	1522	1862	822	305368	164	0	164	164	164	664.143	197.084	9.672	8.645	3.464	8.184	664.136	197.084	9.672	654	185	5	21	33	9
46	2528	1776	2528	1044	151680	60	0	60	60	60	323.055	214.260	8.915	9.509	3.439	9.271	323.055	214.260	8.915	307	203	5	31	23	9
47	421	450	421	271	3368	8	0	8	8	8	636.986	210.230	8.295	5.163	2.094	5.045	636.986	210.230	8.295	635	201	5	7	19	7
48	2078	1402	2078	825	132992	64	0	64	64	64	649.797	215.483	9.256	8.103	2.322	8.477	649.797	215.483	9.256	640	204	5	21	23	9
49	420	594	420	275	70980	169	0	169	169	169	445.388	214.583	10.419	4.851	1.634	4.864	445.387	214.583	10.419	439	207	5	14	15	11
50	1573	1222	1573	752	103818	66	0	66	66	66	681.614	219.603	9.318	7.703	2.445	7.975	681.608	219.603	9.318	670	210	5	24	22	10
51	3575	2384	3575	1464	210925	59	0	59	59	59	488.058	206.166	9.487	11.876	4.858	11.500	488.064	206.167	9.487	477	184	5	24	42	10
52	2573	1914	2573	1118	177537	69	0	69	69	69	814.866	226.497	9.710	10.766	4.360	10.820	814.862	226.497	9.710	803	212	5	29	33	10
