 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	2391	1586	2391	1031	66948	28	0	28	28	28	436.808	659.967	6.432	8.972	2.858	9.209	436.808	659.967	6.432	424	650	3	27	22	8
2	2806	2216	2806	1364	8418	3	0	3	3	3	298.808	682.809	6.357	10.749	4.091	10.657	298.808	682.809	6.357	279	663	3	39	33	7
3	5087	3288	5087	2134	188219	37	0	37	37	37	224.395	698.211	6.551	12.832	4.515	13.241	224.388	698.210	6.551	206	678	3	44	36	8
4	2465	1634	2465	1142	17255	7	0	7	7	7	193.120	719.278	6.221	9.320	3.035	9.578	193.120	719.278	6.221	178	708	3	28	23	8
5	2331	1604	2331	980	95571	41	0	41	41	41	250.488	718.874	6.479	8.777	2.738	9.062	250.485	718.874	6.479	237	708	3	29	23	8
6	2124	1598	2124	1038	16992	8	0	8	8	8	167.075	724.050	6.356	9.218	3.303	9.283	167.075	724.050	6.356	157	711	3	23	28	7
7	1705	1244	1705	800	76725	45	0	45	45	45	183.631	736.484	6.587	7.962	2.536	7.979	183.631	736.484	6.587	173	729	3	25	22	8
8	2068	1380	2068	857	95128	46	0	46	46	46	149.111	734.896	6.851	8.286	2.478	8.431	149.111	734.897	6.851	138	722	3	24	23	9
9	1551	1144	1551	733	74448	48	0	48	48	48	219.333	742.511	6.662	7.509	2.101	7.852	219.333	742.511	6.662	211	733	3	20	19	8
10	2069	1330	2069	868	20690	10	0	10	10	10	140.825	755.608	6.742	8.350	2.525	8.415	140.825	755.608	6.742	133	745	3	18	25	8
11	3362	2294	3362	1443	174824	52	0	52	52	52	162.540	755.482	7.016	11.043	4.281	10.820	162.540	755.480	7.016	151	735	3	30	45	8
12	2514	1488	2514	992	135756	54	0	54	54	54	103.916	762.067	6.891	8.694	2.443	9.163	103.916	762.068	6.891	93	751	3	22	22	8
13	3470	2140	3470	1451	197790	57	0	57	57	57	122.848	759.382	6.625	10.868	3.805	10.715	122.846	759.381	6.625	110	741	3	24	36	8
14	4555	2620	4555	1769	286965	63	0	63	63	63	196.978	785.252	6.844	11.846	3.991	12.056	196.983	785.251	6.844	185	767	3	26	37	9
15	1933	1432	1933	899	115980	60	0	60	60	60	173.520	771.679	6.842	8.909	3.431	8.702	173.520	771.679	6.842	161	755	3	23	30	8
16	6505	3606	6505	2544	422825	65	0	65	65	65	92.436	794.310	6.696	14.723	6.013	14.131	92.432	794.312	6.696	74	771	3	37	56	9
17	502	426	502	280	5522	11	0	11	11	11	179.000	782.088	6.327	4.568	0.833	4.543	179.000	782.088	6.327	172	778	3	12	9	8
18	1812	1296	1812	756	21744	12	0	12	12	12	72.634	783.852	6.768	7.992	2.460	7.946	72.634	783.852	6.768	58	775	3	26	20	8
19	2685	1676	2685	1098	171840	64	0	64	64	64	115.529	788.730	6.670	9.177	2.653	9.509	115.529	788.730	6.670	105	776	3	26	25	9
